frequency,Z,phase,Z_re,Z_im
1000000.0,22.18279,-6.199367,22.05307,-2.395484
794328.2,23.12992,-10.46201,22.7454,-4.200014
630957.3,24.31641,-14.2355,23.56973,-5.979599
501187.2,25.72727,-17.5807,24.52561,-7.770889
398107.1,27.37366,-20.59488,25.62424,-9.628906
316227.7,29.28379,-23.28647,26.89832,-11.57672
251188.6,31.45477,-25.72661,28.33683,-13.65381
199526.2,33.89829,-28.00292,29.9296,-15.91581
158489.3,36.67845,-30.23239,31.68983,-18.46791
125892.5,39.869,-32.55,33.60646,-21.45093
99999.97,43.75024,-34.96855,35.85187,-25.07443
79432.8,48.63583,-37.31798,38.67927,-29.48489
63095.71,54.84745,-39.26933,42.46175,-34.7166
50118.7,62.64824,-40.43938,47.68112,-40.63635
39810.7,72.11379,-40.51303,54.8251,-46.84663
31622.76,82.97115,-39.32187,64.18635,-52.57684
25118.85,94.67293,-36.90955,75.69902,-56.85616
19952.61,106.3712,-33.50747,88.69377,-58.72176
15848.92,117.0714,-29.48795,101.9059,-57.6273
12589.25,126.1395,-25.25479,114.0831,-53.81673
9999.994,133.2842,-21.16154,124.2964,-48.11544
7943.277,138.5142,-17.43451,132.1508,-41.501
6309.569,142.22,-14.18486,137.8838,-34.8512
5011.869,144.7717,-11.45393,141.8886,-28.74876
3981.069,146.3832,-9.185285,144.5061,-23.3668
3162.275,147.4558,-7.347996,146.2449,-18.85893
2511.885,148.2017,-5.871832,147.4241,-15.16155
1995.261,148.6526,-4.664552,148.1602,-12.08871
1584.892,148.9052,-3.729341,148.5899,-9.685292
1258.924,149.101,-2.968465,148.901,-7.721393
999.9991,149.2203,-2.35791,149.094,-6.139174
794.3275,149.2751,-1.878092,149.1949,-4.892194
630.9567,149.4048,-1.488397,149.3544,-3.880718
501.1867,149.3987,-1.209799,149.3654,-3.154314
398.1068,149.4104,-0.9446235,149.3901,-2.463187
316.2274,149.4832,-0.7368741,149.4709,-1.922433
251.1884,149.4345,-0.5975064,149.4264,-1.558343
199.526,149.3998,-0.4569912,149.3951,-1.191601
158.4891,149.4276,-0.3693465,149.4245,-0.9632503
125.8924,149.4447,-0.2883625,149.4428,-0.7521333
99.99988,149.4725,-0.2021264,149.4716,-0.5273037
79.43272,149.4967,-0.1847225,149.4959,-0.4819789
63.09565,149.5251,-0.1577695,149.5245,-0.4117312
50.11866,149.4437,-0.1569093,149.4431,-0.4092636
39.81066,149.5451,-0.09697321,149.5448,-0.2531052
31.62273,149.4964,-0.05906517,149.4963,-0.154113
25.11883,149.5971,-0.04015044,149.5971,-0.1048313
19.95259,149.5125,-0.09102004,149.5123,-0.2375154
15.84891,149.5122,-0.02259836,149.5122,-0.05896997
12.58923,149.4981,-0.02493851,149.4981,-0.06507044
9.999984,149.6091,-0.02473322,149.6091,-0.06458268
7.943269,149.4568,-0.01606913,149.4568,-0.04191653
6.309563,149.6317,-0.004951205,149.6317,-0.0129304
3.981065,149.5932,-0.03644894,149.5932,-0.09516431
2.511882,149.6209,-0.05963322,149.6208,-0.1557248
1.58489,149.592,-0.02383057,149.592,-0.06221858
