frequency,Z,phase,Z_re,Z_im
158489.3,2.468875,-3.159429,2.465123,-0.1360708
125892.5,2.571464,-8.169554,2.545369,-0.3654127
99999.97,2.707357,-12.64158,2.641726,-0.5925088
79432.8,2.888316,-16.60222,2.767907,-0.8252654
63095.71,3.122968,-19.89387,2.936603,-1.06268
50118.7,3.419049,-22.26705,3.164083,-1.29556
39810.7,3.772653,-23.47792,3.460329,-1.503009
31622.76,4.162521,-23.42631,3.819413,-1.65489
25118.85,4.560057,-22.2294,4.221138,-1.725142
19952.61,4.930281,-20.18168,4.627579,-1.700938
15848.92,5.243738,-17.65589,4.996733,-1.590423
12589.25,5.49046,-14.99966,5.303386,-1.421004
9999.994,5.673692,-12.46892,5.539868,-1.225007
7943.277,5.801421,-10.21013,5.709552,-1.028352
6309.569,5.887861,-8.27103,5.82662,-0.8470033
5011.869,5.946125,-6.654452,5.906066,-0.6890439
3981.069,5.981705,-5.32872,5.955853,-0.5555191
3162.275,6.004623,-4.264627,5.987998,-0.4465223
2511.885,6.021608,-3.385624,6.011098,-0.3556116
1995.261,6.030091,-2.701835,6.023387,-0.284249
1584.892,6.037271,-2.136809,6.033073,-0.225104
1258.924,6.041032,-1.697874,6.03838,-0.1789907
999.9991,6.042367,-1.355558,6.040676,-0.1429428
794.3275,6.04425,-1.060745,6.043214,-0.1118938
630.9567,6.046179,-0.8538529,6.045507,-0.09010012
501.1867,6.04661,-0.6722461,6.046194,-0.07094269
398.1068,6.045089,-0.5432452,6.044817,-0.05731515
316.2274,6.045643,-0.4374876,6.045466,-0.04616166
251.1884,6.044313,-0.3338988,6.04421,-0.03522384
199.526,6.046601,-0.2382,6.046549,-0.02513791
158.4891,6.045548,-0.2136517,6.045506,-0.02254335
125.8924,6.045313,-0.1581237,6.04529,-0.01668371
99.99988,6.043031,-0.1403912,6.043013,-0.01480715
79.43272,6.044271,-0.09292615,6.044263,-0.009803001
63.09565,6.041874,-0.06595404,6.04187,-0.006954891
50.11866,6.043397,-0.06762601,6.043393,-0.007132999
39.81066,6.045408,-0.03169184,6.045407,-0.003343877
31.62273,6.041878,-0.01709952,6.041878,-0.001803155
25.11883,6.043458,-0.01000811,6.043458,-0.001055638
19.95259,6.045964,-0.01387001,6.045964,-0.001463591
15.84891,6.042894,-0.01555748,6.042894,-0.001640822
