frequency,Z,phase,Z_re,Z_im
1000000.0,3177.229,-79.46337,581.0012,-3123.656
794328.2,3989.661,-77.68809,850.7291,-3897.904
630957.3,4979.175,-76.05886,1199.608,-4832.507
501187.2,6184.597,-74.30222,1673.324,-5953.925
398107.1,7595.08,-72.30361,2308.699,-7235.686
316227.7,9280.93,-70.01042,3172.679,-8721.799
251188.6,11230.67,-67.51128,4295.746,-10376.63
199526.2,13525.38,-64.37423,5849.61,-12195.0
158489.3,16109.2,-61.07066,7792.514,-14099.05
125892.5,18992.89,-57.23413,10279.09,-15970.91
99999.97,22031.11,-53.32637,13158.22,-17670.07
79432.8,25370.14,-49.05383,16626.31,-19162.71
63095.71,28772.95,-44.57187,20497.01,-20192.96
50118.7,32166.2,-39.92934,24666.22,-20645.63
39810.7,35386.38,-35.19935,28916.03,-20397.53
31622.76,38290.27,-30.55036,32974.92,-19462.77
25118.85,40773.48,-26.11911,36609.72,-17950.06
19952.61,42823.27,-22.02911,39696.89,-16062.05
15848.92,44430.73,-18.42692,42152.66,-14044.32
12589.25,45633.86,-15.24117,44028.82,-11996.34
9999.994,46620.8,-12.55516,45505.97,-10134.41
7943.277,47304.19,-10.23426,46551.56,-8404.69
6309.569,47776.22,-8.309182,47274.7,-6904.371
5011.869,48140.9,-6.714661,47810.69,-5628.868
3981.069,48386.85,-5.422546,48170.31,-4572.56
3162.275,48568.11,-4.370734,48426.86,-3701.362
2511.885,48709.29,-3.509943,48617.92,-2982.068
1995.261,48790.1,-2.818442,48731.08,-2399.071
1584.892,48860.8,-2.258299,48822.85,-1925.337
1258.924,48909.64,-1.822097,48884.91,-1555.143
999.9991,48949.82,-1.441908,48934.32,-1231.743
794.3275,48968.04,-1.17225,48957.79,-1001.798
630.9567,49023.93,-0.9384745,49017.36,-802.9501
501.1867,49022.63,-0.7199562,49018.76,-615.9828
398.1068,49033.81,-0.5957716,49031.16,-509.8529
316.2274,49055.99,-0.4648483,49054.37,-397.9933
251.1884,49097.43,-0.410753,49096.17,-351.9761
199.526,49118.76,-0.2620117,49118.24,-224.6177
158.4891,49087.99,-0.2352709,49087.58,-201.5671
125.8924,49092.65,-0.1937921,49092.37,-166.0462
99.99988,49167.65,-0.08530671,49167.59,-73.20485
79.43272,49117.23,-0.130025,49117.1,-111.4648
63.09565,48997.72,-0.07264271,48997.68,-62.12195
39.81066,49142.1,-0.0632765,49142.07,-54.2717
31.62273,49177.86,-0.02733858,49177.86,-23.46513
25.11883,49149.77,-0.06108083,49149.75,-52.39668
19.95259,49157.1,-0.003777424,49157.1,-3.240853
15.84891,49197.61,-0.044408,49197.6,-38.13139
12.58923,49174.56,-0.02909551,49174.55,-24.97145
9.999984,49185.66,-0.07293495,49185.62,-62.61112
6.309563,49203.01,-0.01833035,49203.01,-15.74127
5.011864,49199.31,-0.02796353,49199.3,-24.012
2.511882,49225.86,-0.05222124,49225.84,-44.86604
1.58489,49271.83,-0.008300087,49271.83,-7.137707
