frequency,Z,phase,Z_re,Z_im
1000000.0,3947.594,-81.79165,563.6104,-3907.152
794328.2,5030.681,-80.02613,871.3087,-4954.652
630957.3,6339.652,-78.42931,1271.587,-6210.817
501187.2,7921.612,-76.77348,1812.476,-7711.476
398107.1,9770.611,-75.19788,2496.211,-9446.362
316227.7,12007.85,-73.39875,3430.753,-11507.32
251188.6,14644.13,-71.45548,4657.44,-13883.76
199526.2,17789.85,-68.95245,6389.092,-16602.96
158489.3,21439.11,-66.39167,8585.982,-19644.75
125892.5,25653.84,-63.45674,11464.02,-22949.86
99999.97,30306.18,-60.03523,15136.95,-26255.24
79432.8,35633.68,-56.3849,19727.2,-29674.85
63095.71,41398.14,-52.35903,25282.32,-32781.25
50118.7,47564.41,-48.06756,31785.1,-35384.75
39810.7,53824.33,-43.48942,39049.63,-37043.02
31622.76,59910.91,-38.79424,46694.62,-37535.71
25118.85,65587.07,-34.03638,54350.84,-36710.34
19952.61,70721.56,-29.44035,61589.13,-34760.87
15848.92,75005.15,-25.15247,67893.16,-31879.33
12589.25,78350.69,-21.23385,73031.46,-28376.68
9999.994,81015.34,-17.61271,77217.63,-24513.73
7943.277,83508.16,-14.67422,80784.27,-21154.51
6309.569,85125.8,-12.07945,83240.98,-17814.09
5011.869,86338.32,-9.893183,85054.45,-14833.95
3981.069,87236.04,-8.058034,86374.72,-12228.4
3162.275,87857.17,-6.518105,87289.27,-9973.297
2511.885,88328.87,-5.283588,87953.57,-8133.795
1995.261,88682.14,-4.267412,88436.28,-6598.975
1584.892,88912.65,-3.420824,88754.23,-5305.344
1258.924,89100.12,-2.745532,88997.84,-4267.917
999.9991,89245.79,-2.227525,89178.35,-3468.792
794.3275,89270.26,-1.770445,89227.65,-2758.021
630.9567,89403.3,-1.414015,89376.07,-2206.179
501.1867,89383.43,-1.125438,89366.19,-1755.61
398.1068,89508.13,-0.9260918,89496.44,-1446.688
316.2274,89547.55,-0.7233128,89540.41,-1130.435
251.1884,89691.46,-0.5491893,89687.34,-859.694
199.526,89535.33,-0.4868453,89532.1,-760.7773
158.4891,89636.27,-0.352411,89634.57,-551.3251
125.8924,89619.68,-0.333177,89618.16,-521.1387
99.99988,89906.75,-0.2447298,89905.93,-384.0213
79.43272,89662.55,-0.1738725,89662.13,-272.0938
63.09565,89332.74,-0.1523738,89332.42,-237.5733
50.11866,88039.89,-0.3336498,88038.4,-512.6788
39.81066,89746.08,-0.1101147,89745.91,-172.4797
25.11883,89784.46,-0.07798397,89784.38,-122.2035
19.95259,89783.46,-0.04212705,89783.44,-66.01379
12.58923,89781.69,-0.03656513,89781.67,-57.29705
9.999984,89878.24,-0.02806539,89878.23,-44.02536
6.309563,89868.65,-0.0395437,89868.63,-62.02445
5.011864,89867.29,-0.02825226,89867.28,-44.31311
2.511882,89993.85,-0.04386359,89993.83,-68.89605
1.58489,90027.93,-0.0213553,90027.92,-33.55524
1.258923,89953.83,-0.02990665,89953.82,-46.95315
