frequency,Z,phase,Z_re,Z_im
1000000.0,806.2602,-70.20768,273.0092,-758.6313
794328.2,985.3876,-69.2687,348.8132,-921.5845
630957.3,1200.907,-68.06049,448.6918,-1113.936
501187.2,1459.752,-66.43539,583.5839,-1338.023
398107.1,1760.932,-64.33153,762.7708,-1587.155
316227.7,2109.195,-61.68716,1000.361,-1856.874
251188.6,2497.554,-58.57247,1302.274,-2131.164
199526.2,2921.188,-55.07238,1672.501,-2395.012
158489.3,3371.134,-51.42613,2101.98,-2635.569
125892.5,3841.63,-47.76137,2582.42,-2844.156
99999.97,4333.343,-44.0401,3115.039,-3012.374
79432.8,4842.918,-40.3858,3688.845,-3137.877
63095.71,5366.559,-36.56838,4310.133,-3197.298
50118.7,5881.62,-32.56019,4957.185,-3165.402
39810.7,6358.162,-28.42197,5591.789,-3026.24
31622.76,6766.769,-24.31068,6166.736,-2785.772
25118.85,7098.129,-20.41247,6652.41,-2475.657
19952.61,7350.614,-16.88244,7033.822,-2134.683
15848.92,7531.595,-13.79947,7314.207,-1796.47
12589.25,7658.085,-11.18796,7512.551,-1485.884
9999.994,7739.987,-9.043201,7643.78,-1216.565
7943.277,7804.183,-7.242793,7741.912,-983.9059
6309.569,7841.062,-5.79316,7801.016,-791.4575
5011.869,7867.964,-4.627519,7842.316,-634.769
3981.069,7884.406,-3.703065,7867.944,-509.2198
3162.275,7894.868,-2.944485,7884.445,-405.5463
2511.885,7905.738,-2.34073,7899.142,-322.8869
1995.261,7911.694,-1.870433,7907.479,-258.2331
1584.892,7915.591,-1.497323,7912.889,-206.8363
1258.924,7918.52,-1.188968,7916.815,-164.3086
999.9991,7918.267,-0.9475386,7917.185,-130.9437
794.3275,7919.717,-0.764431,7919.012,-105.6604
630.9567,7921.239,-0.5940793,7920.813,-82.13101
501.1867,7922.721,-0.4772844,7922.446,-65.99696
398.1068,7920.346,-0.3814946,7920.17,-52.73594
316.2274,7923.899,-0.3087058,7923.784,-42.69323
251.1884,7925.233,-0.2168427,7925.176,-29.99391
199.526,7929.286,-0.1823502,7929.246,-25.23579
158.4891,7925.546,-0.1485053,7925.519,-20.54225
125.8924,7931.044,-0.1274342,7931.024,-17.63979
99.99988,7924.933,-0.06990331,7924.927,-9.668756
79.43272,7932.276,-0.07195849,7932.27,-9.962243
63.09565,7928.006,-0.06923609,7928.0,-9.580182
39.81066,7929.805,-0.03293834,7929.804,-4.558706
31.62273,7930.304,-0.05620407,7930.3,-7.7792
25.11883,7932.198,-0.02276164,7932.197,-3.15119
19.95259,7939.1,-0.01408741,7939.1,-1.952
15.84891,7937.634,-0.01090332,7937.634,-1.510522
12.58923,7937.56,-0.03792773,7937.558,-5.254376
9.999984,7939.37,-0.02887883,7939.369,-4.001686
7.943269,7936.308,-0.01386512,7936.308,-1.920522
5.011864,7941.361,-0.01829981,7941.361,-2.536406
1.995259,7944.641,-0.03588431,7944.639,-4.975724
