frequency,Z,phase,Z_re,Z_im
1000000.0,3467.487,-73.15889,1004.595,-3318.773
794328.2,4304.615,-71.00415,1401.151,-4070.195
630957.3,5279.594,-69.00677,1891.455,-4929.149
501187.2,6446.984,-66.77493,2542.33,-5924.539
398107.1,7766.628,-64.66171,3323.821,-7019.453
316227.7,9288.883,-61.98266,4363.349,-8200.276
251188.6,10968.17,-58.90371,5664.817,-9392.049
199526.2,12868.24,-55.84463,7224.73,-10648.7
158489.3,14894.16,-52.58329,9049.805,-11829.5
125892.5,17027.95,-49.13383,11141.29,-12877.21
99999.97,19263.72,-45.6165,13474.15,-13767.28
79432.8,21664.14,-42.11465,16070.56,-14528.33
63095.71,24119.97,-38.45157,18889.17,-14999.07
50118.7,26574.29,-34.55679,21885.64,-15073.55
39810.7,28916.4,-30.50481,24913.98,-14678.27
31622.76,30994.6,-26.50955,27735.82,-13834.35
25118.85,32765.2,-22.6354,30241.38,-12610.2
19952.61,34191.08,-19.06406,32315.83,-11167.67
15848.92,35284.78,-15.85215,33942.89,-9638.251
12589.25,36115.98,-13.08711,35177.94,-8177.82
9999.994,36647.16,-10.57855,36024.31,-6727.807
7943.277,37163.05,-8.711927,36734.28,-5628.961
6309.569,37461.19,-7.05315,37177.71,-4599.86
5011.869,37692.29,-5.697235,37506.1,-3741.778
3981.069,37842.17,-4.5928,37720.65,-3030.161
3162.275,37939.14,-3.690808,37860.45,-2442.226
2511.885,38017.07,-2.959737,37966.36,-1962.98
1995.261,38067.74,-2.371278,38035.14,-1575.045
1584.892,38112.71,-1.903434,38091.68,-1265.917
1258.924,38142.97,-1.507675,38129.77,-1003.574
999.9991,38154.1,-1.204818,38145.66,-802.2468
794.3275,38164.9,-0.9632099,38159.51,-641.567
630.9567,38204.18,-0.79565,38200.5,-530.5134
501.1867,38196.26,-0.6025957,38194.15,-401.7133
398.1068,38208.87,-0.4863884,38207.49,-324.3542
316.2274,38197.89,-0.3969786,38196.98,-264.6552
251.1884,38162.72,-0.3456679,38162.03,-230.2359
199.526,38179.11,-0.1975604,38178.88,-131.6443
158.4891,38213.54,-0.2048177,38213.29,-136.6033
125.8924,38191.52,-0.1574523,38191.38,-104.9525
99.99988,38220.84,-0.0335391,38220.83,-22.37324
79.43272,38203.1,-0.1078139,38203.03,-71.88703
50.11866,38454.32,-0.2855707,38453.84,-191.6612
39.81066,38203.93,-0.06289489,38203.91,-41.93732
31.62273,38185.48,-0.09255922,38185.43,-61.68721
25.11883,38202.37,-0.04993764,38202.36,-33.29628
19.95259,38208.03,-0.03616415,38208.02,-24.11628
12.58923,38185.98,-0.017419,38185.98,-11.60926
9.999984,38217.54,-0.04093203,38217.53,-27.30256
7.943269,38177.7,-0.03934705,38177.69,-26.21798
6.309563,38206.56,-0.01117891,38206.56,-7.454437
5.011864,38184.19,-0.003654195,38184.19,-2.435301
