frequency,Z,phase,Z_re,Z_im
1000000.0,31.66856,-13.29876,30.81933,-7.284679
794328.2,33.51993,-17.40416,31.98534,-10.02615
630957.3,35.82393,-21.02614,33.43866,-12.8534
501187.2,38.59214,-24.25185,35.18634,-15.85166
398107.1,41.83182,-27.04651,37.25699,-19.0215
316227.7,45.61132,-29.4555,39.7155,-22.42925
251188.6,49.90319,-31.48304,42.55718,-26.06175
199526.2,54.68112,-33.24128,45.73363,-29.97433
158489.3,59.98685,-34.89345,49.20226,-34.3156
125892.5,65.98981,-36.6099,52.97097,-39.35392
99999.97,73.10506,-38.44079,57.25961,-45.44982
79432.8,81.90086,-40.21373,62.54288,-52.87852
63095.71,92.90484,-41.60536,69.46829,-61.68845
50118.7,106.5421,-42.24798,78.86693,-71.63259
39810.7,122.9264,-41.82894,91.59728,-81.98071
31622.76,141.5007,-40.19917,108.079,-91.33118
25118.85,161.3257,-37.41529,128.1333,-98.01955
19952.61,180.8814,-33.73281,150.4276,-100.4472
15848.92,198.5991,-29.5144,172.8273,-97.83834
12589.25,213.4441,-25.16705,193.1823,-90.769
9999.994,225.0579,-21.01527,210.0881,-80.70954
7943.277,233.5338,-17.27843,222.995,-69.36312
6309.569,239.4325,-14.04017,232.2796,-58.08683
5011.869,243.5115,-11.32098,238.7735,-47.80257
3981.069,246.11,-9.075886,243.0287,-38.82199
3162.275,247.8088,-7.26158,245.8212,-31.3229
2511.885,248.991,-5.785057,247.7229,-25.09751
1995.261,249.6666,-4.614707,248.8573,-20.08687
1584.892,250.1168,-3.662422,249.606,-15.97691
1258.924,250.4596,-2.909699,250.1367,-12.71383
999.9991,250.6155,-2.310633,250.4118,-10.10412
794.3275,250.7452,-1.848805,250.6146,-8.089573
630.9567,250.9298,-1.45951,250.8484,-6.391307
501.1867,250.9959,-1.159555,250.9445,-5.079323
398.1068,251.033,-0.9368682,250.9994,-4.104567
316.2274,251.0905,-0.7451127,251.0692,-3.265257
251.1884,251.0162,-0.5971161,251.0026,-2.615954
199.526,250.9603,-0.4774431,250.9515,-2.091216
158.4891,251.0898,-0.3824615,251.0842,-1.676065
125.8924,251.1038,-0.2998746,251.1004,-1.314221
99.99988,251.0944,-0.2242584,251.0925,-0.9827929
79.43272,251.1287,-0.1947927,251.1273,-0.8537793
63.09565,251.029,-0.1340996,251.0283,-0.5875275
50.11866,251.1349,-0.1266385,251.1343,-0.5550727
39.81066,251.1174,-0.1004183,251.117,-0.4401157
31.62273,251.1799,-0.08192791,251.1797,-0.359165
25.11883,251.0963,-0.06619414,251.0961,-0.2900929
19.95259,251.184,-0.03519669,251.1839,-0.1543018
15.84891,251.1424,-0.04100796,251.1423,-0.1797486
12.58923,251.2725,-0.003405638,251.2725,-0.01493553
9.999984,251.2065,-0.03137429,251.2065,-0.1375568
7.943269,251.1127,-0.03426133,251.1127,-0.1501586
6.309563,251.1495,-0.0505892,251.1494,-0.221752
5.011864,251.3201,-0.01113051,251.3201,-0.04882246
3.981065,251.2933,-0.03442874,251.2933,-0.1510009
2.511882,251.2613,-0.002924119,251.2613,-0.01282324
1.258923,251.42,-0.00731283,251.42,-0.03208948
