frequency,Z,phase,Z_re,Z_im
1000000.0,7053.791,-82.58307,910.5638,-6994.772
794328.2,9216.485,-80.13184,1579.536,-9080.125
630957.3,11774.55,-78.15219,2417.466,-11523.71
501187.2,14912.38,-76.75773,3415.964,-14515.86
398107.1,18487.52,-74.44267,4958.399,-17810.19
316227.7,22853.07,-72.38707,6914.997,-21781.77
251188.6,27788.32,-70.29976,9367.422,-26161.84
199526.2,33671.65,-67.31154,12987.84,-31066.0
158489.3,40319.93,-64.64277,17267.44,-36435.31
125892.5,47969.05,-61.59997,22815.27,-42195.89
99999.97,56040.61,-58.44713,29325.21,-47755.43
79432.8,65459.04,-55.0776,37473.11,-53671.71
63095.71,75441.4,-51.55456,46907.13,-59085.75
50118.7,86329.63,-47.71094,58088.73,-63863.17
39810.7,97642.1,-43.74215,70542.39,-67511.12
31622.76,108839.9,-39.49822,83985.68,-69228.08
25118.85,119888.6,-35.29011,97857.55,-69261.65
19952.61,130101.5,-31.00577,111512.0,-67018.48
15848.92,139133.8,-26.98818,123982.1,-63139.84
12589.25,146688.0,-23.15857,134867.9,-57689.04
9999.994,155321.2,-18.7806,147051.7,-50004.91
7943.277,158305.0,-16.70132,151627.0,-45494.08
6309.569,162778.1,-13.79106,158085.5,-38803.38
5011.869,166018.3,-11.43385,162723.6,-32910.88
3981.069,168322.6,-9.396901,166063.9,-27482.48
3162.275,169991.5,-7.672648,168469.5,-22696.09
2511.885,171430.5,-6.278357,170402.3,-18747.44
1995.261,172390.0,-5.079999,171712.8,-15264.54
1584.892,172961.2,-4.073704,172524.2,-12287.1
1258.924,173455.5,-3.335561,173161.7,-10092.27
999.9991,173891.3,-2.680819,173701.0,-8133.254
794.3275,174132.1,-2.110022,174014.1,-6411.287
630.9567,174131.6,-1.793313,174046.4,-5449.294
501.1867,174368.8,-1.317363,174322.7,-4008.79
398.1068,174513.4,-1.040995,174484.6,-3170.522
316.2274,174648.2,-0.8993112,174626.7,-2741.156
251.1884,174795.6,-0.8772425,174775.1,-2676.15
199.526,174922.0,-0.570473,174913.3,-1741.605
158.4891,174707.4,-0.4839492,174701.2,-1475.65
125.8924,174655.6,-0.332154,174652.7,-1012.504
79.43272,174635.1,-0.2186478,174633.8,-666.4276
63.09565,175369.2,-0.6315976,175358.5,-1933.135
50.11866,168850.2,-0.7836629,168834.5,-2309.377
39.81066,174719.9,-0.151266,174719.3,-461.2756
25.11883,174659.9,-0.09527148,174659.7,-290.4246
19.95259,174784.9,-0.08088301,174784.7,-246.7393
15.84891,174677.9,-0.1981995,174676.9,-604.2504
12.58923,174753.9,-0.03682943,174753.9,-112.3309
9.999984,174741.7,-0.01241146,174741.7,-37.85268
6.309563,174626.8,-0.03592843,174626.8,-109.5032
5.011864,174698.1,-0.01879291,174698.0,-57.30063
3.981065,174488.5,-0.08781118,174488.3,-267.4199
2.511882,174703.0,-0.06480927,174702.9,-197.6127
