frequency,Z,phase,Z_re,Z_im
1000000.0,60.95238,-10.30809,59.9686,-10.90689
794328.2,63.76113,-12.36344,62.28246,-13.65203
630957.3,66.94784,-13.97979,64.96491,-16.17323
501187.2,70.53279,-15.17858,68.07221,-18.46749
398107.1,74.35212,-16.04077,71.45724,-20.54508
316227.7,78.46182,-16.53058,75.21884,-22.32451
251188.6,82.64912,-16.74242,79.14558,-23.80869
199526.2,86.84205,-16.74583,83.15928,-25.0215
158489.3,91.15441,-16.71367,87.30349,-26.21501
125892.5,95.66549,-16.62477,91.66657,-27.37015
99999.97,100.5478,-16.43674,96.43868,-28.45065
79432.8,105.9006,-15.99812,101.7992,-29.18683
63095.71,111.4524,-15.18759,107.5597,-29.19831
50118.7,116.8857,-13.96904,113.4289,-28.21591
39810.7,121.7882,-12.42895,118.9339,-26.21232
31622.76,125.8108,-10.72642,123.6125,-23.41588
25118.85,128.9038,-9.03799,127.3034,-20.24941
19952.61,131.1791,-7.469794,130.0658,-17.05374
15848.92,132.7046,-6.097719,131.9538,-14.09648
12589.25,133.7285,-4.922268,133.2353,-11.47446
9999.994,134.4368,-3.953076,134.1169,-9.268002
7943.277,134.8689,-3.166564,134.663,-7.450003
6309.569,135.1668,-2.524368,135.0356,-5.953325
5011.869,135.375,-2.013244,135.2915,-4.755793
3981.069,135.4408,-1.611513,135.3872,-3.808933
3162.275,135.5041,-1.264136,135.4711,-2.98943
2511.885,135.5946,-1.001425,135.5739,-2.369823
1995.261,135.6308,-0.8053424,135.6174,-1.906347
1584.892,135.6473,-0.6321315,135.639,-1.496536
1258.924,135.6446,-0.5020701,135.6394,-1.188608
999.9991,135.6486,-0.3993121,135.6453,-0.9453694
794.3275,135.6608,-0.2971886,135.659,-0.7036586
630.9567,135.6194,-0.2509443,135.6181,-0.5939842
501.1867,135.6713,-0.2124589,135.6704,-0.5030828
398.1068,135.6625,-0.1517971,135.662,-0.3594182
316.2274,135.6641,-0.1148145,135.6638,-0.2718557
251.1884,135.6131,-0.09390449,135.6129,-0.2222619
199.526,135.5735,-0.08068738,135.5734,-0.1909228
158.4891,135.6687,-0.02707594,135.6687,-0.06411221
125.8924,135.6074,-0.0542063,135.6074,-0.1282952
99.99988,135.543,-0.05276013,135.543,-0.1248131
79.43272,135.6674,-0.03815889,135.6674,-0.09035426
63.09565,135.5501,-0.03918905,135.5501,-0.09271327
50.11866,135.6719,-0.0004105633,135.6719,-0.0009721817
39.81066,135.6945,-0.03520163,135.6944,-0.08336853
31.62273,135.6837,-0.01596569,135.6837,-0.03780876
19.95259,135.7308,-0.009891594,135.7308,-0.02343269
12.58923,135.6603,-0.02519125,135.6603,-0.05964579
6.309563,135.676,-0.03011094,135.676,-0.0713025
3.162272,135.6323,-0.01740341,135.6323,-0.04119789
1.995259,135.5599,-0.00102584,135.5599,-0.002427103
1.58489,135.5932,-0.01445307,135.5932,-0.03420389
