frequency,Z,phase,Z_re,Z_im
1000000.0,67.29616,-34.23773,55.63443,-37.8627
794328.2,75.57231,-37.84842,59.67468,-46.36925
630957.3,85.99144,-40.92777,64.96963,-56.3336
501187.2,98.32468,-43.32971,71.52306,-67.46996
398107.1,113.0595,-44.84563,80.16022,-79.72943
316227.7,129.682,-45.32315,91.18041,-92.21477
251188.6,148.1119,-45.9566,102.9678,-106.4648
199526.2,168.9425,-45.82831,117.721,-121.1749
158489.3,191.5283,-45.54857,134.1281,-136.7214
125892.5,216.0885,-45.30473,151.9828,-153.6082
99999.97,243.9731,-45.18106,171.969,-173.0593
79432.8,276.8565,-45.03361,195.6523,-195.882
63095.71,316.1362,-44.55329,225.2781,-221.7924
50118.7,362.5403,-43.40012,263.4121,-249.0975
39810.7,415.4259,-41.34693,311.8699,-274.4373
31622.76,471.9642,-38.33217,370.2221,-292.7214
25118.85,528.3091,-34.52105,435.2834,-299.3975
19952.61,580.0983,-30.22086,501.2581,-291.9835
15848.92,623.707,-25.7954,561.5569,-271.4116
12589.25,657.9295,-21.56297,611.8838,-241.8047
9999.994,683.3017,-17.74213,650.8022,-208.2249
7943.277,701.1656,-14.43214,679.0392,-174.7537
6309.569,713.1998,-11.64464,698.5209,-143.953
5011.869,721.4437,-9.344054,711.871,-117.1355
3981.069,726.5115,-7.465974,720.3523,-94.401
3162.275,729.822,-5.963263,725.8727,-75.82178
2511.885,732.2512,-4.752539,729.7336,-60.66875
1995.261,733.6416,-3.770618,732.0535,-48.24589
1584.892,734.452,-3.007813,733.4402,-38.53827
1258.924,735.1221,-2.382032,734.4869,-30.55339
999.9991,735.3556,-1.890203,734.9555,-24.25517
794.3275,735.7082,-1.514489,735.4512,-19.44458
630.9567,735.9031,-1.200425,735.7416,-15.41705
501.1867,736.0135,-0.9489502,735.9126,-12.18952
398.1068,736.2825,-0.7640039,736.217,-9.817582
316.2274,736.2919,-0.6094676,736.2502,-7.831948
251.1884,736.1096,-0.471873,736.0847,-6.062336
199.526,736.2637,-0.3892537,736.2467,-5.00196
158.4891,736.6107,-0.3115461,736.5999,-4.005305
125.8924,736.6003,-0.2363313,736.594,-3.03829
99.99988,736.5207,-0.2048253,736.516,-2.632965
79.43272,736.6863,-0.1543756,736.6836,-1.984897
63.09565,736.4694,-0.1199489,736.4678,-1.5418
50.11866,736.6426,-0.08285172,736.6418,-1.065211
39.81066,736.4154,-0.05948228,736.415,-0.7645181
31.62273,736.6371,-0.06053335,736.6367,-0.7782615
25.11883,736.1463,-0.05514457,736.146,-0.7085071
19.95259,736.9242,-0.05616148,736.9238,-0.722335
15.84891,736.8001,-0.02826662,736.8,-0.3634971
12.58923,736.935,-0.04444119,736.9348,-0.5716
9.999984,736.947,-0.0001011771,736.947,-0.001301355
7.943269,737.1644,-0.003406238,737.1644,-0.04382447
5.011864,736.8953,-0.00991386,736.8953,-0.1275046
3.981065,737.2586,-0.002824214,737.2586,-0.03634083
3.162272,737.0488,-0.009668054,737.0488,-0.1243692
1.58489,737.5187,-0.00432662,737.5187,-0.05569282
