frequency,Z,phase,Z_re,Z_im
1000000.0,1443.073,-73.78978,402.8517,-1385.702
794328.2,1782.601,-72.33127,541.0427,-1698.511
630957.3,2189.595,-70.75845,721.5841,-2067.279
501187.2,2680.722,-68.80406,969.238,-2499.37
398107.1,3250.853,-66.44928,1298.913,-2980.079
316227.7,3910.821,-63.53942,1742.592,-3501.128
251188.6,4662.267,-60.23419,2314.611,-4047.136
199526.2,5477.796,-56.53583,3020.541,-4569.746
158489.3,6347.964,-52.58911,3856.558,-5042.183
125892.5,7267.673,-48.56139,4809.871,-5448.322
99999.97,8202.696,-44.42942,5857.654,-5742.135
79432.8,9170.274,-40.32965,6990.807,-5934.858
63095.71,10128.25,-36.14029,8179.322,-5973.28
50118.7,11045.93,-31.86542,9381.202,-5831.433
39810.7,11873.97,-27.58866,10523.85,-5499.082
31622.76,12571.94,-23.47532,11531.38,-5008.08
25118.85,13129.98,-19.65863,12364.68,-4417.127
19952.61,13557.66,-16.24169,13016.58,-3791.938
15848.92,13865.56,-13.29924,13493.71,-3189.588
12589.25,14080.52,-10.79076,13831.54,-2636.196
9999.994,14243.38,-8.8381,14074.26,-2188.394
7943.277,14340.97,-7.007027,14233.86,-1749.47
6309.569,14409.56,-5.632843,14339.98,-1414.347
5011.869,14462.45,-4.509552,14417.67,-1137.114
3981.069,14494.18,-3.617345,14465.31,-914.4763
3162.275,14513.33,-2.886909,14494.91,-730.9603
2511.885,14533.36,-2.296472,14521.69,-582.3555
1995.261,14547.57,-1.845789,14540.03,-468.5704
1584.892,14556.87,-1.4699,14552.08,-373.4095
1258.924,14560.05,-1.159147,14557.07,-294.5434
999.9991,14558.62,-0.9353338,14556.68,-237.6539
794.3275,14559.91,-0.7380076,14558.7,-187.5361
630.9567,14573.2,-0.5935818,14572.42,-150.975
501.1867,14574.72,-0.4732591,14574.22,-120.3848
398.1068,14573.45,-0.3993416,14573.1,-101.5736
316.2274,14579.56,-0.3236747,14579.33,-82.36227
251.1884,14581.28,-0.2595397,14581.13,-66.05038
199.526,14590.48,-0.1759118,14590.41,-44.79619
158.4891,14582.59,-0.1433824,14582.54,-36.49282
125.8924,14586.32,-0.1224193,14586.29,-31.16539
99.99988,14577.18,-0.07240176,14577.17,-18.42043
79.43272,14584.21,-0.1194734,14584.18,-30.41104
63.09565,14580.37,-0.04388654,14580.36,-11.16805
39.81066,14586.56,-0.03014419,14586.55,-7.674212
31.62273,14592.21,-0.06557007,14592.2,-16.69952
25.11883,14593.52,-0.05094462,14593.52,-12.97585
19.95259,14602.64,-0.01149245,14602.64,-2.929014
15.84891,14595.41,-0.04789474,14595.4,-12.2006
6.309563,14613.56,-0.01478987,14613.56,-3.772225
2.511882,14619.62,-0.03130644,14619.62,-7.988168
1.58489,14627.88,-0.02860468,14627.87,-7.302906
1.258923,14620.78,-0.01350614,14620.78,-3.446508
