frequency,Z,phase,Z_re,Z_im
501187.2,7.523702,-0.4051665,7.523514,-0.05320333
398107.1,7.784731,-5.082795,7.754119,-0.6896898
316227.7,8.099285,-9.152779,7.996162,-1.288334
251188.6,8.462992,-12.75864,8.254032,-1.869006
199526.2,8.888116,-16.07421,8.540625,-2.460961
158489.3,9.380118,-19.24718,8.855819,-3.092101
125892.5,9.966207,-22.39916,9.214272,-3.797691
99999.97,10.69329,-25.5577,9.646969,-4.613298
79432.8,11.63685,-28.58416,10.21849,-5.567638
63095.71,12.85785,-31.19576,10.99864,-6.659899
50118.7,14.44138,-33.10662,12.0969,-7.887861
39810.7,16.34208,-33.82206,13.57652,-9.096256
31622.76,18.51323,-33.25851,15.48085,-10.15298
25118.85,20.82823,-31.44798,17.76886,-10.86659
19952.61,23.11231,-28.65977,20.28066,-11.08484
15848.92,25.15952,-25.23488,22.75849,-10.72626
12589.25,26.85695,-21.59755,24.97138,-9.885632
9999.994,28.17386,-18.07263,26.78388,-8.74016
7943.277,29.12632,-14.87562,28.15016,-7.477353
6309.569,29.78873,-12.09237,29.12775,-6.240394
5011.869,30.23734,-9.754078,29.80023,-5.122799
3981.069,30.53044,-7.830895,30.24573,-4.159766
3162.275,30.71589,-6.252573,30.53318,-3.345314
2511.885,30.8448,-4.998674,30.72749,-2.687591
1995.261,30.92162,-3.96533,30.8476,-2.138318
1584.892,30.97097,-3.16245,30.9238,-1.70858
1258.924,31.01175,-2.508543,30.98203,-1.357333
999.9991,31.01822,-1.999604,30.99933,-1.082306
794.3275,31.03234,-1.591792,31.02036,-0.86203
630.9567,31.0465,-1.269485,31.03888,-0.6878316
501.1867,31.0512,-1.010409,31.04637,-0.5475583
398.1068,31.06016,-0.8070302,31.05708,-0.4374783
316.2274,31.06453,-0.6244215,31.06269,-0.3385411
251.1884,31.04734,-0.5116504,31.04611,-0.2772486
199.526,31.04368,-0.3947684,31.04294,-0.2138895
158.4891,31.05158,-0.3205725,31.05109,-0.1737341
125.8924,31.05889,-0.2437607,31.05861,-0.1321374
99.99988,31.05927,-0.219301,31.05904,-0.1188798
79.43272,31.05917,-0.1639563,31.05905,-0.08887811
63.09565,31.05581,-0.1309165,31.05573,-0.0709601
50.11866,31.057,-0.09570287,31.05696,-0.05187542
39.81066,31.06467,-0.07171126,31.06465,-0.03888046
31.62273,31.05394,-0.06426644,31.05392,-0.03483198
25.11883,31.06956,-0.05864939,31.06954,-0.03180357
19.95259,31.06019,-0.04213455,31.06019,-0.02284125
15.84891,31.05693,-0.01713239,31.05693,-0.009286536
12.58923,31.0706,-0.02663706,31.0706,-0.01444486
9.999984,31.07049,-0.007643557,31.07049,-0.004144966
7.943269,31.04922,-0.01367613,31.04922,-0.007411247
6.309563,31.06996,-0.01598525,31.06996,-0.00866837
3.981065,31.06294,-0.0008715565,31.06294,-0.0004725149
2.511882,31.06714,-0.01179032,31.06713,-0.006392994
