frequency,Z,phase,Z_re,Z_im
1000000.0,208.7726,-57.88937,110.9743,-176.8352
794328.2,249.5362,-58.96187,128.6629,-213.8087
630957.3,299.0835,-59.55655,151.5419,-257.8488
501187.2,356.9521,-59.34079,182.0208,-307.0558
398107.1,423.842,-58.86135,219.1733,-362.7742
316227.7,503.5134,-57.64941,269.4293,-425.3629
251188.6,592.5912,-55.81439,332.9626,-490.2043
199526.2,689.802,-53.58711,409.4664,-555.1252
158489.3,794.256,-51.23768,497.2767,-619.321
125892.5,906.3743,-48.9404,595.3463,-683.4305
99999.97,1028.86,-46.71667,705.3931,-748.9814
79432.8,1165.729,-44.44585,832.2285,-816.2839
63095.71,1317.775,-41.8816,981.1178,-879.7382
50118.7,1482.622,-38.81676,1155.192,-929.3546
39810.7,1652.269,-35.17388,1350.578,-951.8059
31622.76,1814.275,-31.0477,1554.359,-935.7151
25118.85,1956.644,-26.77089,1746.921,-881.3195
19952.61,2073.249,-22.58387,1914.269,-796.201
15848.92,2161.297,-18.71893,2046.974,-693.6163
12589.25,2224.859,-15.30939,2145.908,-587.4323
9999.994,2269.242,-12.41644,2216.166,-487.9224
7943.277,2298.799,-9.98005,2264.014,-398.394
6309.569,2318.469,-8.001326,2295.898,-322.7216
5011.869,2331.652,-6.392164,2317.156,-259.5899
3981.069,2339.807,-5.099842,2330.544,-207.989
3162.275,2344.478,-4.065033,2338.579,-166.197
2511.885,2348.734,-3.227677,2345.009,-132.2427
1995.261,2351.452,-2.569618,2349.087,-105.4233
1584.892,2353.086,-2.036717,2351.599,-83.62852
1258.924,2353.709,-1.623622,2352.764,-66.68941
999.9991,2354.26,-1.281031,2353.671,-52.63264
794.3275,2354.493,-1.02328,2354.118,-42.04809
630.9567,2356.545,-0.8117159,2356.308,-33.38432
501.1867,2356.514,-0.6439106,2356.365,-26.4828
398.1068,2357.092,-0.5168461,2356.996,-21.26225
316.2274,2356.947,-0.4091539,2356.887,-16.83101
251.1884,2356.691,-0.3315286,2356.651,-13.63636
199.526,2357.996,-0.2727174,2357.969,-11.22359
158.4891,2357.654,-0.2073575,2357.639,-8.532498
125.8924,2357.929,-0.1732881,2357.918,-7.13142
99.99988,2358.37,-0.1187892,2358.365,-4.889517
79.43272,2357.799,-0.1109951,2357.795,-4.567595
63.09565,2358.246,-0.09139118,2358.243,-3.761582
50.11866,2358.086,-0.08854495,2358.083,-3.644187
39.81066,2358.883,-0.0608842,2358.882,-2.506619
31.62273,2358.322,-0.04443783,2358.321,-1.829082
25.11883,2358.635,-0.05525898,2358.634,-2.274788
19.95259,2358.663,-0.02159997,2358.663,-0.8891938
15.84891,2359.069,-0.03837871,2359.068,-1.580187
12.58923,2360.021,-0.01523939,2360.021,-0.6277126
9.999984,2360.117,-0.006247185,2360.117,-0.2573329
7.943269,2360.161,-0.01696498,2360.161,-0.6988314
5.011864,2360.76,-0.0006080933,2360.76,-0.02505529
3.981065,2361.146,-0.02440633,2361.146,-1.005779
3.162272,2360.466,-0.009846861,2360.466,-0.40567
1.258923,2361.48,-0.00135882,2361.48,-0.05600458
