frequency,Z,phase,Z_re,Z_im
1000000.0,44.20233,-6.424611,43.92474,-4.946055
794328.2,46.24953,-8.287173,45.76659,-6.666161
630957.3,48.12261,-9.860504,47.41172,-8.240996
501187.2,50.18299,-11.01245,49.25891,-9.586066
398107.1,52.32762,-11.82196,51.21769,-10.72042
316227.7,54.5844,-12.29187,53.33309,-11.62057
251188.6,56.83256,-12.5115,55.48293,-12.31195
199526.2,59.08099,-12.5471,57.67,-12.83488
158489.3,61.32878,-12.53496,59.86693,-13.31051
125892.5,63.63873,-12.46276,62.13918,-13.73356
99999.97,66.0989,-12.29108,64.58383,-14.07102
79432.8,68.73979,-11.91619,67.2585,-14.19343
63095.71,71.405,-11.25412,70.03197,-13.93546
50118.7,73.95453,-10.29522,72.76386,-13.21717
39810.7,76.20149,-9.108001,75.24072,-12.06239
31622.76,77.9862,-7.824965,77.26004,-10.61761
25118.85,79.33996,-6.565607,78.81962,-9.071797
19952.61,80.32742,-5.412693,79.96925,-7.577194
15848.92,80.97507,-4.403371,80.73605,-6.217079
12589.25,81.41076,-3.553873,81.2542,-5.046411
9999.994,81.71313,-2.850922,81.612,-4.064202
7943.277,81.88789,-2.280116,81.82306,-3.257913
6309.569,82.01208,-1.818651,81.97077,-2.602746
5011.869,82.10485,-1.45123,82.07851,-2.079391
3981.069,82.15087,-1.155646,82.13416,-1.656857
3162.275,82.15769,-0.9269822,82.14694,-1.329162
2511.885,82.19043,-0.7290677,82.18378,-1.045815
1995.261,82.20653,-0.5829366,82.20227,-0.8363682
1584.892,82.21945,-0.4534827,82.21687,-0.6507409
1258.924,82.2334,-0.3661292,82.23172,-0.525481
999.9991,82.22758,-0.2826875,82.22658,-0.405695
794.3275,82.20945,-0.2308666,82.20878,-0.3312524
630.9567,82.21108,-0.1805243,82.21067,-0.2590255
501.1867,82.20738,-0.1416813,82.20713,-0.2032826
398.1068,82.23554,-0.1240076,82.23534,-0.1779857
316.2274,82.20185,-0.08289609,82.20177,-0.1189304
251.1884,82.22922,-0.07212527,82.22916,-0.103512
199.526,82.18524,-0.03297893,82.18523,-0.04730507
158.4891,82.22424,-0.04254618,82.22422,-0.06105733
125.8924,82.21336,-0.01194674,82.21336,-0.01714231
99.99988,82.20828,-0.02656969,82.20827,-0.03812233
79.43272,82.23218,-0.0343081,82.23216,-0.04923975
63.09565,82.20107,-0.0205412,82.20107,-0.02947003
50.11866,82.19128,-0.00365107,82.19128,-0.005237491
31.62273,82.19262,-0.01682354,82.19261,-0.0241339
25.11883,82.20525,-0.001132709,82.20525,-0.001625157
19.95259,82.21288,-0.01402375,82.21288,-0.02012247
15.84891,82.1839,-8.976354e-05,82.1839,-0.000128755
7.943269,82.24461,-0.02053722,82.24461,-0.02947994
6.309563,82.18047,-0.002289649,82.18047,-0.00328409
3.162272,82.18357,-0.02721323,82.18356,-0.03903395
2.511882,82.18158,-0.02319506,82.18157,-0.03326958
