frequency,Z,phase,Z_re,Z_im
794328.2,15.82419,-4.232617,15.78103,-1.167919
630957.3,16.43168,-8.496742,16.25133,-2.427833
501187.2,17.19269,-12.14842,16.80767,-3.618111
398107.1,18.06742,-15.43354,17.4159,-4.808109
316227.7,19.09379,-18.39598,18.11806,-6.025665
251188.6,20.25749,-21.09454,18.89999,-7.29083
199526.2,21.5722,-23.73288,19.74788,-8.682229
158489.3,23.08896,-26.33011,20.69356,-10.24093
125892.5,24.86782,-28.99857,21.75019,-12.05562
99999.97,27.05479,-31.76973,23.0012,-14.24453
79432.8,29.85502,-34.45925,24.61632,-16.89257
63095.71,33.44445,-36.7441,26.79955,-20.00788
50118.7,37.98996,-38.24723,29.8353,-23.51792
39810.7,43.53135,-38.63933,34.00199,-27.18167
31622.76,49.91602,-37.7464,39.47,-30.55697
25118.85,56.80819,-35.59243,46.19516,-33.06325
19952.61,63.70161,-32.4193,53.77355,-34.15115
15848.92,70.00888,-28.59232,61.4711,-33.50444
12589.25,75.35067,-24.52324,68.55351,-31.27522
9999.994,79.55857,-20.56522,74.48854,-27.94681
7943.277,82.64805,-16.94575,79.05956,-24.08911
6309.569,84.83135,-13.80117,82.38223,-20.23679
5011.869,86.31846,-11.14566,84.6904,-16.68569
3981.069,87.26907,-8.956382,86.20501,-13.58627
3162.275,87.897,-7.157927,87.21197,-10.95238
2511.885,88.33345,-5.706603,87.89568,-8.783386
1995.261,88.58254,-4.537214,88.30494,-7.007462
1584.892,88.7838,-3.610074,88.60763,-5.590361
1258.924,88.89688,-2.880219,88.78458,-4.466903
999.9991,88.93549,-2.289193,88.86452,-3.552379
794.3275,88.97301,-1.817286,88.92826,-2.82154
630.9567,89.03355,-1.457317,89.00475,-2.264323
501.1867,89.03571,-1.145676,89.01791,-1.780222
398.1068,89.01972,-0.9127147,89.00842,-1.418013
316.2274,89.06499,-0.7257414,89.05785,-1.128118
251.1884,89.05838,-0.5552955,89.0542,-0.8631167
199.526,89.01794,-0.4456207,89.01524,-0.6923344
158.4891,89.02692,-0.3535001,89.02523,-0.5492696
125.8924,89.05616,-0.2942467,89.05499,-0.4573524
99.99988,89.06824,-0.2338979,89.0675,-0.3636013
79.43272,89.0936,-0.1771766,89.09317,-0.275505
63.09565,89.06938,-0.1371231,89.06912,-0.2131651
50.11866,89.05693,-0.1391469,89.05667,-0.216281
39.81066,89.11184,-0.1066973,89.11169,-0.1659456
31.62273,89.10666,-0.08194139,89.10657,-0.1274356
25.11883,89.12777,-0.03704311,89.12775,-0.05762326
19.95259,89.10433,-0.04500052,89.1043,-0.06998318
15.84891,89.12203,-0.03548554,89.12202,-0.05519679
12.58923,89.0946,-0.03955644,89.09458,-0.06151003
7.943269,89.12571,-0.01757816,89.1257,-0.02734347
5.011864,89.06063,-0.01491081,89.06063,-0.02317738
3.162272,89.11969,-0.02248637,89.11968,-0.03497601
1.58489,89.16393,-0.01319086,89.16393,-0.02052767
1.258923,89.10632,-0.0009378914,89.10632,-0.001458607
