frequency,Z,phase,Z_re,Z_im
316227.7,5.262192,-3.066912,5.254655,-0.2815386
251188.6,5.460804,-7.574216,5.413158,-0.7197902
199526.2,5.699889,-11.55796,5.58431,-1.142025
158489.3,5.983776,-15.22172,5.773848,-1.571071
125892.5,6.323886,-18.72063,5.989319,-2.029677
99999.97,6.747742,-22.12488,6.250874,-2.541379
79432.8,7.2996,-25.31314,6.598725,-3.121055
63095.71,8.011454,-28.05345,7.070182,-3.767747
50118.7,8.913221,-29.99236,7.71967,-4.455581
39810.7,10.00752,-30.83769,8.592689,-5.129934
31622.76,11.24953,-30.40999,9.701884,-5.694336
25118.85,12.55622,-28.77248,11.00601,-6.04372
19952.61,13.82428,-26.17404,12.40671,-6.09788
15848.92,14.9442,-22.99461,13.75676,-5.837869
12589.25,15.85776,-19.63307,14.93585,-5.328132
9999.994,16.55673,-16.39106,15.88383,-4.672172
7943.277,17.05982,-13.46784,16.59069,-3.973224
6309.569,17.39923,-10.93779,17.08315,-3.301384
5011.869,17.63582,-8.810184,17.42773,-2.701128
3981.069,17.7856,-7.08247,17.64989,-2.192927
3162.275,17.88259,-5.642306,17.79595,-1.758175
2511.885,17.94121,-4.498947,17.88593,-1.407322
1995.261,17.98917,-3.588839,17.95389,-1.126052
1584.892,18.01402,-2.840501,17.99189,-0.892699
1258.924,18.03255,-2.261358,18.01851,-0.7115265
999.9991,18.03634,-1.805441,18.02739,-0.5682472
794.3275,18.0397,-1.419131,18.03416,-0.4467708
630.9567,18.05068,-1.146876,18.04707,-0.3612922
501.1867,18.03087,-0.888315,18.0287,-0.2795398
398.1068,18.03099,-0.7011691,18.02964,-0.2206525
316.2274,18.03452,-0.5691488,18.03363,-0.1791434
251.1884,18.0335,-0.4513129,18.03294,-0.1420465
199.526,18.03174,-0.3883442,18.03133,-0.1222162
158.4891,18.02963,-0.267271,18.02943,-0.08410356
125.8924,18.03281,-0.2353234,18.03266,-0.07406356
99.99988,18.03303,-0.2069219,18.03292,-0.06512559
79.43272,18.04181,-0.1304407,18.04177,-0.0410743
63.09565,18.0337,-0.0947957,18.03368,-0.0298367
50.11866,18.03644,-0.08825662,18.03642,-0.02778276
39.81066,18.03896,-0.09692937,18.03893,-0.03051715
31.62273,18.03326,-0.0693284,18.03325,-0.0218204
25.11883,18.03088,-0.02670914,18.03088,-0.008405317
19.95259,18.04556,-0.07035949,18.04555,-0.02216003
15.84891,18.03717,-0.02586622,18.03717,-0.008142894
12.58923,18.02704,-0.0242787,18.02704,-0.007638836
7.943269,18.01948,-0.05442128,18.01947,-0.01711545
2.511882,18.04405,-0.003499022,18.04405,-0.001101941
1.995259,18.04327,-0.0167771,18.04327,-0.005283351
