frequency,Z,phase,Z_re,Z_im
501187.2,19.31266,-1.016585,19.30962,-0.3426419
398107.1,19.77764,-1.906578,19.76669,-0.6580005
316227.7,20.19844,-2.386458,20.18093,-0.8410531
251188.6,20.57842,-2.513745,20.55862,-0.9025502
199526.2,20.87638,-2.413471,20.85786,-0.8791159
158489.3,21.11373,-2.204362,21.0981,-0.812116
125892.5,21.28401,-1.920684,21.27205,-0.7133546
99999.97,21.39888,-1.622186,21.39031,-0.6057747
79432.8,21.49069,-1.352486,21.4847,-0.5072476
63095.71,21.5465,-1.10018,21.54253,-0.4137054
50118.7,21.58087,-0.8988001,21.57822,-0.3385257
39810.7,21.60803,-0.726985,21.60629,-0.2741615
31622.76,21.62245,-0.5714714,21.62138,-0.21566
25118.85,21.63025,-0.4648138,21.62954,-0.1754741
19952.61,21.64102,-0.3682995,21.64057,-0.1391084
15848.92,21.64187,-0.2939306,21.64159,-0.1110235
12589.25,21.63787,-0.2312951,21.6377,-0.08734885
9999.994,21.64105,-0.1860167,21.64094,-0.07025979
7943.277,21.64593,-0.135668,21.64587,-0.05125437
6309.569,21.63957,-0.109853,21.63953,-0.04148944
5011.869,21.64476,-0.0913501,21.64474,-0.03450953
3981.069,21.64815,-0.06274379,21.64814,-0.02370658
3162.275,21.63914,-0.04123456,21.63914,-0.01557323
2511.885,21.63495,-0.02762618,21.63494,-0.01043167
1995.261,21.63031,-0.03407962,21.63031,-0.01286574
1584.892,21.63864,-0.03498673,21.63864,-0.01321328
1258.924,21.63687,-0.01012282,21.63687,-0.003822729
630.9567,21.63355,-0.0175662,21.63355,-0.006632586
501.1867,21.63491,-0.001488972,21.63491,-0.0005622362
398.1068,21.62845,-0.008043472,21.62845,-0.003036311
199.526,21.61993,-0.01136439,21.61993,-0.004288228
125.8924,21.62694,-0.005648068,21.62694,-0.002131927
79.43272,21.62479,-0.01255624,21.62479,-0.004739022
63.09565,21.61378,-0.006677444,21.61378,-0.002518943
15.84891,21.62832,-0.02712943,21.62832,-0.01024096
5.011864,21.60357,-0.008528785,21.60357,-0.003215808
1.0,21.58103,-0.006134328,21.58103,-0.002310556
