frequency,Z,phase,Z_re,Z_im
1000000.0,4596.929,-83.71519,503.2292,-4569.302
794328.2,5897.194,-81.78622,842.5145,-5836.7
630957.3,7449.487,-80.37019,1246.163,-7344.518
501187.2,9371.711,-78.91673,1801.575,-9196.918
398107.1,11629.18,-77.5756,2502.033,-11356.83
316227.7,14343.59,-76.09129,3447.848,-13923.03
251188.6,17656.33,-74.33881,4766.298,-17000.84
199526.2,21473.96,-72.80138,6349.529,-20513.76
158489.3,26122.63,-70.78629,8596.768,-24667.54
125892.5,31649.5,-68.44787,11626.37,-29436.69
99999.97,37749.0,-65.96279,15376.29,-34475.45
79432.8,45103.26,-63.21565,20325.05,-40264.09
63095.71,53536.81,-60.04572,26731.4,-46385.59
50118.7,62916.14,-56.54909,34680.78,-52494.61
39810.7,73210.46,-52.72379,44340.5,-58255.4
31622.76,84094.64,-48.46529,55760.94,-62949.39
25118.85,95325.86,-44.00608,68564.66,-66226.19
19952.61,106375.4,-39.34468,82265.02,-67440.34
15848.92,116824.3,-34.69903,96047.53,-66504.05
12589.25,126446.9,-30.09367,109402.7,-63402.39
9999.994,133720.5,-26.45345,119719.5,-59568.54
7943.277,140934.0,-21.96073,130707.8,-52705.22
6309.569,146377.3,-18.43398,138866.5,-46286.24
5011.869,150679.0,-15.32444,145321.6,-39822.13
3981.069,153866.3,-12.65097,150130.8,-33698.46
3162.275,156202.0,-10.38716,153642.1,-28163.01
2511.885,158081.2,-8.491473,156348.3,-23342.62
1995.261,159387.2,-6.85128,158249.0,-19013.72
1584.892,160272.7,-5.533857,159525.8,-15455.73
1258.924,160958.7,-4.478612,160467.3,-12568.78
999.9991,161430.2,-3.620025,161108.1,-10192.59
794.3275,161803.6,-2.917338,161593.9,-8235.019
630.9567,162001.3,-2.340493,161866.1,-6615.799
501.1867,162164.1,-1.834271,162081.0,-5190.647
398.1068,162455.5,-1.518057,162398.5,-4303.771
316.2274,162590.8,-1.212848,162554.4,-3441.496
251.1884,162759.1,-0.7682961,162744.5,-2182.42
199.526,162648.6,-0.6254419,162639.0,-1775.441
158.4891,162726.1,-0.6353575,162716.1,-1804.446
125.8924,162841.3,-0.4875787,162835.4,-1385.739
99.99988,163631.8,-0.2744824,163629.9,-783.8948
79.43272,162954.0,-0.2983908,162951.8,-848.6447
39.81066,162923.6,-0.1583124,162923.0,-450.1691
31.62273,163474.8,-0.3313446,163472.0,-945.3782
25.11883,163101.6,-0.1342651,163101.1,-382.2065
19.95259,163105.8,-0.1021901,163105.6,-290.9079
15.84891,163038.9,-0.1401179,163038.4,-398.7144
12.58923,163425.0,-0.1016521,163424.7,-289.9425
7.943269,163664.4,-0.09684692,163664.2,-276.6414
6.309563,163426.7,-0.001943058,163426.7,-5.542248
5.011864,163280.6,-0.03415011,163280.6,-97.32042
3.981065,163583.7,-0.03594135,163583.7,-102.6152
2.511882,163457.9,-0.004873258,163457.9,-13.90281
1.995259,163416.0,-0.0003548928,163416.0,-1.012206
1.0,163509.2,-0.111686,163508.9,-318.7263
