frequency,Z,phase,Z_re,Z_im
1000000.0,283.0802,-43.5882,205.0389,-195.1754
794328.2,324.3355,-44.86873,229.8646,-228.8138
630957.3,373.46,-45.63597,261.1287,-266.991
501187.2,430.021,-45.76202,299.9999,-308.0878
398107.1,494.3547,-45.2902,347.7866,-351.3275
316227.7,566.2613,-44.17344,406.1417,-394.5894
251188.6,642.9989,-42.49581,474.1003,-434.369
199526.2,722.1615,-40.48726,549.2402,-468.8843
158489.3,803.0571,-38.42335,629.1472,-499.0735
125892.5,886.7675,-36.42724,713.5034,-526.5638
99999.97,975.1135,-34.47756,803.8328,-551.9957
79432.8,1070.434,-32.41369,903.6604,-573.7833
63095.71,1170.904,-30.03855,1013.638,-586.134
50118.7,1272.194,-27.24934,1131.009,-582.4915
39810.7,1367.692,-24.11242,1248.355,-558.7411
31622.76,1450.092,-20.80519,1355.537,-515.0606
25118.85,1516.406,-17.55776,1445.762,-457.4499
19952.61,1566.805,-14.55474,1516.523,-393.7458
15848.92,1602.516,-11.90878,1568.026,-330.6857
12589.25,1626.78,-9.646428,1603.778,-272.5958
9999.994,1643.654,-7.771394,1628.558,-222.2563
7943.277,1654.224,-6.224172,1644.473,-179.3489
6309.569,1661.349,-4.977516,1655.083,-144.1466
5011.869,1666.83,-3.973175,1662.824,-115.4937
3981.069,1668.852,-3.154174,1666.323,-91.82509
3162.275,1670.718,-2.521533,1669.1,-73.50299
2511.885,1672.697,-1.999724,1671.678,-58.36822
1995.261,1673.704,-1.589322,1673.06,-46.42073
1584.892,1673.922,-1.265852,1673.513,-36.97942
1258.924,1674.424,-0.9764501,1674.18,-28.5346
999.9991,1673.883,-0.8107235,1673.716,-23.68432
794.3275,1673.657,-0.6215011,1673.558,-18.1542
630.9567,1675.515,-0.485328,1675.455,-14.1924
501.1867,1674.413,-0.4038959,1674.372,-11.80337
398.1068,1674.563,-0.31275,1674.538,-9.140582
316.2274,1674.628,-0.245262,1674.612,-7.168437
251.1884,1674.02,-0.1889308,1674.011,-5.52001
199.526,1674.91,-0.1601873,1674.904,-4.6827
158.4891,1674.85,-0.1099799,1674.847,-3.214892
125.8924,1675.385,-0.1154718,1675.382,-3.376506
99.99988,1674.3,-0.0896023,1674.298,-2.618362
79.43272,1674.316,-0.06016356,1674.315,-1.758119
63.09565,1672.975,-0.07220826,1672.974,-2.108403
50.11866,1674.556,-0.03187408,1674.556,-0.9315684
39.81066,1674.251,-0.03131318,1674.251,-0.9150085
31.62273,1673.398,-0.01523442,1673.398,-0.444941
25.11883,1674.4,-0.05850205,1674.399,-1.709651
19.95259,1672.781,-0.006328046,1672.781,-0.1847507
15.84891,1674.508,-0.02601347,1674.508,-0.7602611
12.58923,1674.97,-0.02850048,1674.97,-0.8331757
9.999984,1674.77,-0.06091808,1674.769,-1.780651
7.943269,1674.256,-0.04983126,1674.256,-1.456133
5.011864,1674.113,-0.01410781,1674.113,-0.4122129
3.981065,1672.648,-0.04162373,1672.647,-1.21513
3.162272,1674.743,-0.005084134,1674.743,-0.1486081
1.258923,1673.294,-0.008318142,1673.294,-0.2429271
