frequency,Z,phase,Z_re,Z_im
1000000.0,10292.48,-89.06706,167.5829,-10291.11
794328.2,14033.54,-87.19466,686.8421,-14016.72
630957.3,18544.33,-85.86592,1336.873,-18496.07
501187.2,24067.53,-84.98273,2104.849,-23975.31
398107.1,30936.32,-84.36118,3039.716,-30786.62
316227.7,39247.06,-83.50716,4438.023,-38995.32
251188.6,49054.53,-82.2427,6621.239,-48605.62
199526.2,62078.65,-81.98744,8653.153,-61472.61
158489.3,77424.04,-80.62635,12610.23,-76390.21
125892.5,95786.11,-79.43384,17564.37,-94161.95
99999.97,116495.1,-77.69781,24821.36,-113820.1
79432.8,143526.2,-75.81896,35161.99,-139152.4
63095.71,175109.3,-73.72507,49073.82,-168092.3
50118.7,213948.9,-71.87415,66560.63,-203331.8
39810.7,259020.2,-69.43631,90980.41,-242516.1
31622.76,311558.5,-66.72271,123122.1,-286198.6
25118.85,370682.0,-63.77631,163795.8,-332529.8
19952.61,438668.3,-60.55758,215626.8,-382014.4
15848.92,514804.5,-57.0985,279640.0,-432232.8
12589.25,595556.7,-53.35702,355444.3,-477856.8
9999.994,637576.0,-48.81658,419825.8,-479843.2
7943.277,784742.9,-45.76626,547426.6,-562268.3
6309.569,874079.9,-41.50303,654616.5,-579217.5
5011.869,966007.5,-37.32725,768154.8,-585754.8
3981.069,1053671.0,-32.91218,884561.7,-572515.5
3162.275,1138921.0,-28.80578,997988.4,-548780.0
2511.885,1205404.0,-24.71458,1094991.0,-503977.3
1995.261,1268747.0,-21.21735,1182744.0,-459168.4
1584.892,1315947.0,-17.7976,1252969.0,-402226.6
1258.924,1349767.0,-14.91958,1304263.0,-347515.1
999.9991,1384742.0,-12.52803,1351772.0,-300374.5
794.3275,1403684.0,-10.47713,1380281.0,-255250.2
630.9567,1417140.0,-8.64465,1401041.0,-213004.4
501.1867,1441484.0,-6.697835,1431646.0,-168124.9
398.1068,1451036.0,-5.360708,1444690.0,-135563.8
316.2274,1450988.0,-4.297287,1446909.0,-108724.7
251.1884,1408260.0,-3.804989,1405156.0,-93453.27
199.526,1466448.0,-3.361725,1463924.0,-85991.79
158.4891,1459715.0,-2.30472,1458534.0,-58701.11
125.8924,1461799.0,-2.222828,1460699.0,-56697.23
99.99988,1429783.0,-3.27356,1427450.0,-81645.35
79.43272,1471141.0,-1.40596,1470698.0,-36096.17
39.81066,1471877.0,-0.2421125,1471864.0,-6219.635
31.62273,1506957.0,-1.302829,1506568.0,-34263.24
25.11883,1467267.0,-0.2725147,1467251.0,-6978.706
19.95259,1465506.0,-0.38137,1465473.0,-9754.572
12.58923,1464130.0,-0.1675314,1464124.0,-4281.072
9.999984,1466199.0,-0.1574192,1466193.0,-4028.352
7.943269,1466682.0,-0.4180078,1466643.0,-10700.25
6.309563,1467052.0,-0.1158612,1467049.0,-2966.611
5.011864,1466004.0,-0.1018059,1466001.0,-2604.865
2.511882,1464763.0,-0.1588806,1464757.0,-4061.766
1.0,1465247.0,-0.009932472,1465247.0,-254.007
