frequency,Z,phase,Z_re,Z_im
1000000.0,117.2774,-22.83795,108.0836,-45.51842
794328.2,126.7275,-24.97185,114.8804,-53.50093
630957.3,137.8503,-26.74552,123.1023,-62.03659
501187.2,150.7196,-27.96853,133.1163,-70.68544
398107.1,165.1193,-28.57469,145.0068,-78.9772
316227.7,180.6817,-28.64994,158.56,-86.6291
251188.6,197.0227,-28.32276,173.4369,-93.47501
199526.2,213.5668,-27.76381,188.98,-99.48535
158489.3,230.5388,-27.07656,205.2715,-104.9368
125892.5,248.1507,-26.42012,222.2328,-110.4146
99999.97,267.1782,-25.71506,240.7176,-115.9275
79432.8,288.2151,-24.78588,261.6649,-120.8279
63095.71,310.6695,-23.43361,285.046,-123.549
50118.7,333.4126,-21.57846,310.0453,-122.6208
39810.7,354.803,-19.2804,334.9035,-117.1529
31622.76,373.1564,-16.74046,357.3418,-107.4828
25118.85,387.8065,-14.17289,376.0022,-94.95393
19952.61,398.7989,-11.77085,390.4127,-81.35419
15848.92,406.5189,-9.630238,400.7902,-68.00618
12589.25,411.7664,-7.805695,407.9511,-55.92366
9999.994,415.3202,-6.282836,412.8257,-45.45121
7943.277,417.5569,-5.035657,415.9453,-36.65134
6309.569,419.0783,-4.018526,418.048,-29.3686
5011.869,420.1245,-3.203932,419.4679,-23.48077
3981.069,420.5821,-2.545866,420.167,-18.68189
3162.275,420.9099,-2.032227,420.6452,-14.92614
2511.885,421.3867,-1.60897,421.2206,-11.83175
1995.261,421.4317,-1.286293,421.3255,-9.460365
1584.892,421.521,-1.023452,421.4538,-7.529067
1258.924,421.6694,-0.804027,421.6278,-5.917058
999.9991,421.6114,-0.6370231,421.5854,-4.687443
794.3275,421.6295,-0.5219895,421.612,-3.841176
630.9567,421.6828,-0.4217603,421.6714,-3.104024
501.1867,421.6247,-0.3300871,421.6177,-2.429012
398.1068,421.7304,-0.2477416,421.7264,-1.823517
316.2274,421.8422,-0.2005083,421.8396,-1.476247
251.1884,421.6424,-0.1668076,421.6406,-1.227543
199.526,421.5386,-0.1096664,421.5378,-0.8068411
158.4891,421.7467,-0.1013539,421.746,-0.746052
125.8924,421.6814,-0.08311961,421.681,-0.6117376
99.99988,421.887,-0.07687412,421.8866,-0.5660483
79.43272,421.7837,-0.02503954,421.7836,-0.1843289
63.09565,421.6179,-0.05306317,421.6177,-0.3904716
50.11866,421.5708,-0.01536399,421.5708,-0.1130451
39.81066,421.6528,-0.01728413,421.6527,-0.1271979
31.62273,421.5724,-0.0111645,421.5724,-0.08214644
25.11883,421.7161,-0.01582589,421.7161,-0.1164839
19.95259,421.9169,-0.0255432,421.9168,-0.188096
15.84891,421.6611,-0.02654091,421.6611,-0.1953245
12.58923,421.5641,-0.01661701,421.5641,-0.1222627
9.999984,421.4612,-0.001461958,421.4612,-0.010754
6.309563,421.8314,-0.02006194,421.8313,-0.147703
3.981065,421.7128,-0.0110099,421.7128,-0.08103591
1.58489,421.8143,-0.001068323,421.8143,-0.007865043
