frequency,Z,phase,Z_re,Z_im
1000000.0,9538.729,-87.90607,348.524,-9532.359
794328.2,12823.63,-85.83388,931.6179,-12789.74
630957.3,16779.94,-84.24705,1682.011,-16695.43
501187.2,21701.02,-82.87446,2691.875,-21533.42
398107.1,27769.05,-82.04216,3844.468,-27501.64
316227.7,35112.77,-80.9827,5503.321,-34678.81
251188.6,43566.99,-80.06636,7515.634,-42913.84
199526.2,54500.54,-78.45969,10903.23,-53398.77
158489.3,67157.23,-76.50349,15673.56,-65302.63
125892.5,82652.51,-74.27368,22402.35,-79558.61
99999.97,99639.44,-72.61512,29771.16,-95087.84
79432.8,121222.5,-70.26684,40929.55,-114103.7
63095.71,145485.2,-67.68864,55231.93,-134593.4
50118.7,174690.1,-64.96272,73930.24,-158275.0
39810.7,207498.0,-61.79638,98064.9,-182862.5
31622.76,244007.3,-58.5131,127445.9,-208079.6
25118.85,284482.2,-54.82344,163889.6,-232530.3
19952.61,328022.8,-51.08131,206069.5,-255214.3
15848.92,374642.9,-47.14554,254809.0,-274644.6
12589.25,425033.0,-42.10369,315345.9,-284973.8
9999.994,485817.5,-40.9768,366780.1,-318576.4
7943.277,511472.3,-34.40761,421984.3,-289021.0
6309.569,553297.9,-30.31838,477625.3,-279307.3
5011.869,591568.4,-26.26061,530513.1,-261742.3
3981.069,622930.6,-22.64713,574898.8,-239862.3
3162.275,649568.4,-19.27678,613150.2,-214443.2
2511.885,670444.4,-16.12163,644078.8,-186167.3
1995.261,689102.7,-13.49305,670082.3,-160786.5
1584.892,701048.0,-11.02803,688102.3,-134102.9
1258.924,713630.4,-9.224563,704401.5,-114398.1
999.9991,718157.9,-7.330344,712288.4,-91629.69
794.3275,721972.9,-6.074887,717918.6,-76405.12
630.9567,725569.9,-4.852253,722969.6,-61373.49
501.1867,728265.3,-3.924346,726557.8,-49841.91
398.1068,732025.0,-3.068858,730975.3,-39189.74
316.2274,732310.9,-2.61831,731546.4,-33453.6
251.1884,742663.2,-1.632969,742361.6,-21163.54
199.526,731588.9,-1.808265,731224.6,-23085.24
158.4891,735038.4,-1.424683,734811.2,-18275.15
125.8924,740062.2,-1.172882,739907.1,-15148.5
99.99988,735637.4,-1.948453,735212.1,-25011.94
79.43272,735843.6,-0.5915175,735804.4,-7596.662
63.09565,719869.8,-1.96943,719444.6,-24739.24
39.81066,733597.6,-0.3997556,733579.8,-5118.306
25.11883,734549.6,-0.1904464,734545.6,-2441.577
19.95259,736334.6,-0.170315,736331.4,-2188.794
15.84891,726447.8,-0.4398612,726426.4,-5576.905
12.58923,735198.8,-0.1976806,735194.4,-2536.562
9.999984,736307.0,-0.08515097,736306.2,-1094.273
5.011864,735982.5,-0.01284614,735982.4,-165.0127
3.981065,738554.6,-0.0500057,738554.3,-644.5839
3.162272,737353.4,-0.02726904,737353.3,-350.9319
1.258923,736537.4,-0.04619621,736537.1,-593.8524
1.0,736162.8,-0.04162769,736162.6,-534.8519
