frequency,Z,phase,Z_re,Z_im
251188.6,3.547603,-0.5832904,3.547419,-0.03611517
199526.2,3.670133,-5.645903,3.652328,-0.3610684
158489.3,3.827156,-10.1188,3.767627,-0.6723917
125892.5,4.022228,-14.19239,3.899462,-0.9861642
99999.97,4.266807,-17.9949,4.058092,-1.318155
79432.8,4.586824,-21.46543,4.268675,-1.678501
63095.71,4.999102,-24.40188,4.552533,-2.0653
50118.7,5.520244,-26.50212,4.940165,-2.463304
39810.7,6.148041,-27.47802,5.454468,-2.836757
31622.76,6.850142,-27.19959,6.092651,-3.131143
25118.85,7.578997,-25.73959,6.826987,-3.291419
19952.61,8.272291,-23.37232,7.59352,-3.281654
15848.92,8.873474,-20.48667,8.31226,-3.105622
12589.25,9.353345,-17.43912,8.923427,-2.803125
9999.994,9.717398,-14.53064,9.406573,-2.438073
7943.277,9.972372,-11.91506,9.757515,-2.05891
6309.569,10.14927,-9.66089,10.00533,-1.703215
5011.869,10.26913,-7.781788,10.17457,-1.390447
3981.069,10.34207,-6.227594,10.28104,-1.121889
3162.275,10.38932,-4.984156,10.35004,-0.9026272
2511.885,10.42462,-3.973425,10.39956,-0.7223611
1995.261,10.44575,-3.149454,10.42998,-0.5738968
1584.892,10.45733,-2.510077,10.4473,-0.4579798
1258.924,10.46888,-1.984066,10.4626,-0.362449
999.9991,10.46995,-1.599137,10.46587,-0.2921805
794.3275,10.47298,-1.252736,10.47048,-0.2289668
630.9567,10.4787,-1.000656,10.4771,-0.1829986
501.1867,10.47266,-0.7934199,10.47165,-0.1450185
398.1068,10.47664,-0.6273473,10.47601,-0.1147093
316.2274,10.48036,-0.5004797,10.47996,-0.09154495
251.1884,10.47412,-0.3926025,10.47387,-0.07177024
199.526,10.47692,-0.3122962,10.47677,-0.05710521
158.4891,10.48047,-0.2529553,10.48037,-0.04627012
125.8924,10.47498,-0.1995982,10.47492,-0.03649106
99.99988,10.4742,-0.1526788,10.47416,-0.02791108
79.43272,10.47932,-0.1424781,10.47929,-0.02605903
63.09565,10.47534,-0.08341258,10.47533,-0.01525024
50.11866,10.4817,-0.08182719,10.48169,-0.01496948
39.81066,10.4741,-0.03821134,10.4741,-0.006985321
31.62273,10.47488,-0.06637452,10.47487,-0.01213467
25.11883,10.47524,-0.002738338,10.47524,-0.0005006435
19.95259,10.47612,-0.02453762,10.47612,-0.004486525
12.58923,10.48281,-0.03564917,10.48281,-0.006522354
6.309563,10.4802,-0.01594128,10.4802,-0.002915883
3.981065,10.47036,-0.008744015,10.47036,-0.001597901
1.58489,10.47168,-0.005468011,10.47168,-0.0009993622
