frequency,Z,phase,Z_re,Z_im
630957.3,10.99195,-2.452952,10.98188,-0.4704446
501187.2,11.39834,-6.801836,11.31812,-1.349972
398107.1,11.88279,-10.61013,11.67962,-2.187919
316227.7,12.4549,-13.98926,12.0855,-3.010849
251188.6,13.10419,-17.05334,12.52803,-3.842958
199526.2,13.83675,-19.93904,13.00732,-4.718611
158489.3,14.69835,-22.83271,13.54661,-5.703573
125892.5,15.71365,-25.74093,14.15434,-6.824478
99999.97,16.97631,-28.72027,14.88782,-8.157692
79432.8,18.60095,-31.60148,15.84268,-9.747046
63095.71,20.69978,-34.09046,17.1426,-11.60225
50118.7,23.36152,-35.79176,18.94965,-13.66277
39810.7,26.61447,-36.38677,21.42547,-15.78858
31622.76,30.35298,-35.68459,24.65392,-17.70559
25118.85,34.37337,-33.72761,28.58787,-19.08565
19952.61,38.37142,-30.74975,32.97673,-19.6189
15848.92,42.00739,-27.11744,37.38969,-19.14764
12589.25,45.05752,-23.24825,41.39899,-17.78491
9999.994,47.45057,-19.48734,44.73237,-15.82944
7943.277,49.19765,-16.04923,47.28015,-13.60134
6309.569,50.42046,-13.06747,49.11479,-11.39998
5011.869,51.25807,-10.54839,50.39185,-9.383603
3981.069,51.79349,-8.471026,51.22845,-7.629661
3162.275,52.14259,-6.769174,51.77911,-6.146033
2511.885,52.38018,-5.395969,52.14806,-4.925742
1995.261,52.52706,-4.300775,52.37915,-3.939121
1584.892,52.62922,-3.433896,52.53473,-3.152328
1258.924,52.69659,-2.722229,52.63712,-2.502771
999.9991,52.71804,-2.17812,52.67995,-2.003613
794.3275,52.75065,-1.712766,52.72708,-1.576662
630.9567,52.77629,-1.361492,52.76139,-1.25398
501.1867,52.77636,-1.08679,52.76686,-1.001005
398.1068,52.76991,-0.848538,52.76412,-0.7814823
316.2274,52.77973,-0.6918548,52.77588,-0.6373073
251.1884,52.7818,-0.5425264,52.77944,-0.4997767
199.526,52.79203,-0.4367073,52.7905,-0.4023759
158.4891,52.81129,-0.3467884,52.81033,-0.3196437
125.8924,52.78288,-0.265731,52.78231,-0.2447998
99.99988,52.80344,-0.2098392,52.80308,-0.1933861
79.43272,52.79481,-0.1787395,52.79455,-0.164698
63.09565,52.78914,-0.1175171,52.78902,-0.1082737
50.11866,52.80151,-0.09429371,52.80144,-0.0868973
39.81066,52.80003,-0.08384463,52.79998,-0.07726569
31.62273,52.80169,-0.06852254,52.80165,-0.06314785
25.11883,52.79445,-0.04104899,52.79444,-0.03782406
19.95259,52.81269,-0.05610427,52.81266,-0.0517144
15.84891,52.78111,-0.02945199,52.7811,-0.02713129
12.58923,52.80167,-0.0288493,52.80166,-0.02658645
9.999984,52.80822,-0.003750729,52.80822,-0.003456962
7.943269,52.78731,-0.007065147,52.78731,-0.006509207
5.011864,52.83231,-0.02266898,52.83231,-0.02090301
3.981065,52.79557,-0.0118061,52.79557,-0.01087881
1.995259,52.80673,-0.03226185,52.80672,-0.02973417
1.258923,52.82427,-0.02031894,52.82426,-0.01873319
1.0,52.79925,-0.003820225,52.79925,-0.003520416
