frequency,Z,phase,Z_re,Z_im
1000000.0,173.2602,-32.43345,146.2342,-92.92286
794328.2,192.4291,-34.35531,158.8606,-108.5922
630957.3,215.2931,-35.87194,174.4582,-126.1565
501187.2,241.8798,-36.73032,193.8568,-144.6561
398107.1,271.5897,-36.88984,217.215,-163.0294
316227.7,304.2735,-36.49392,244.6115,-180.9628
251188.6,338.9168,-35.55927,275.7137,-197.0953
199526.2,374.4758,-34.29634,309.3672,-211.0071
158489.3,410.5332,-32.96981,344.4199,-223.411
125892.5,447.8694,-31.69194,381.0854,-235.2891
99999.97,487.788,-30.4138,420.6644,-246.9385
79432.8,531.4094,-28.9696,464.9178,-257.3857
63095.71,577.9196,-27.1502,514.2406,-263.719
50118.7,625.1103,-24.84794,567.2415,-262.6785
39810.7,669.8069,-22.12988,620.4637,-252.3212
31622.76,708.5548,-19.17875,669.2288,-232.7718
25118.85,739.6676,-16.23037,710.1886,-206.7372
19952.61,763.3269,-13.47818,742.3039,-177.9124
15848.92,779.9563,-11.03374,765.5386,-149.2735
12589.25,791.3833,-8.947454,781.7533,-123.0827
9999.994,799.2349,-7.210039,792.9152,-100.3096
7943.277,804.218,-5.777011,800.1335,-80.95025
6309.569,807.459,-4.612821,804.8436,-64.93745
5011.869,809.8019,-3.678778,808.1333,-51.95906
3981.069,810.989,-2.919166,809.9366,-41.30125
3162.275,811.739,-2.336063,811.0644,-33.08704
2511.885,812.3891,-1.852194,811.9647,-26.25744
1995.261,812.8924,-1.477865,812.622,-20.96511
1584.892,812.8521,-1.165458,812.684,-16.53315
1258.924,813.0125,-0.9348764,812.9042,-13.26507
999.9991,813.1138,-0.733533,813.0472,-10.40966
794.3275,813.2819,-0.5940312,813.2382,-8.431792
630.9567,813.132,-0.4587749,813.1059,-6.510786
501.1867,813.5235,-0.3627802,813.5072,-5.150959
398.1068,813.2691,-0.2982832,813.2581,-4.233879
316.2274,813.5322,-0.2304024,813.5256,-3.271433
251.1884,813.2409,-0.1749268,813.2371,-2.482859
199.526,813.2531,-0.125405,813.2512,-1.77999
158.4891,813.0449,-0.1089256,813.0435,-1.545688
125.8924,813.1546,-0.096167,813.1535,-1.364823
99.99988,813.1811,-0.06449804,813.1806,-0.9154003
79.43272,813.7098,-0.05331942,813.7095,-0.7572378
63.09565,813.1327,-0.05261587,813.1323,-0.746716
50.11866,812.9603,-0.02148329,812.9602,-0.3048228
39.81066,813.2593,-0.008128818,813.2593,-0.1153809
31.62273,813.1424,-0.03985943,813.1422,-0.5656855
19.95259,813.0488,-0.0441024,813.0485,-0.6258296
12.58923,813.0053,-0.01851743,813.0052,-0.2627552
9.999984,812.8705,-0.02519619,812.8704,-0.357465
7.943269,813.188,-0.005401454,813.188,-0.0766618
6.309563,813.0261,-0.002400821,813.0261,-0.0340676
5.011864,813.2109,-0.0155178,813.2109,-0.2202474
3.981065,813.0896,-0.02925626,813.0895,-0.4151781
1.995259,812.9212,-0.01528924,812.9212,-0.216926
1.58489,813.2985,-0.008116483,813.2985,-0.1152113
1.0,813.0372,-0.003665716,813.0372,-0.05201716
