frequency,Z,phase,Z_re,Z_im
1000000.0,111.8776,-47.09638,76.16258,-81.95032
794328.2,130.6017,-49.59015,84.66265,-99.44362
630957.3,153.3864,-51.5302,95.42203,-120.0918
501187.2,180.4367,-52.7212,109.2894,-143.5731
398107.1,211.8138,-52.7733,128.141,-168.6563
316227.7,247.1165,-52.86248,149.1917,-196.9985
251188.6,288.4921,-52.07869,177.301,-227.5786
199526.2,333.5016,-50.83413,210.6288,-258.5707
158489.3,381.9615,-49.42072,248.4658,-290.1023
125892.5,434.6203,-48.08025,290.365,-323.3928
99999.97,493.1363,-46.85284,337.2434,-359.7921
79432.8,560.5525,-45.58329,392.3148,-400.385
63095.71,638.4821,-43.9921,459.3468,-443.4636
50118.7,727.1152,-41.79849,542.0597,-484.6316
39810.7,823.502,-38.83825,641.4417,-516.4378
31622.76,921.1242,-35.14705,753.1823,-530.2699
25118.85,1012.865,-30.94703,868.6768,-520.8613
19952.61,1092.415,-26.57065,977.0376,-488.6382
15848.92,1155.74,-22.31779,1069.166,-438.8849
12589.25,1203.14,-18.43499,1141.398,-380.467
9999.994,1237.463,-15.03806,1195.084,-321.0729
7943.277,1260.417,-12.1537,1232.167,-265.3617
6309.569,1276.119,-9.766087,1257.626,-216.4632
5011.869,1286.649,-7.818287,1274.689,-175.0251
3981.069,1293.179,-6.239141,1285.519,-140.5407
3162.275,1297.334,-4.971468,1292.454,-112.4265
2511.885,1300.35,-3.966267,1297.236,-89.94412
1995.261,1301.892,-3.139437,1299.938,-71.29953
1584.892,1303.172,-2.507044,1301.924,-57.00361
1258.924,1304.21,-1.9864,1303.427,-45.20691
999.9991,1304.496,-1.591973,1303.993,-36.24098
794.3275,1304.398,-1.251466,1304.087,-28.48867
630.9567,1305.393,-1.009367,1305.191,-22.99563
501.1867,1304.957,-0.7964031,1304.831,-18.13813
398.1068,1305.557,-0.64835,1305.473,-14.77316
316.2274,1305.843,-0.5209021,1305.789,-11.87185
251.1884,1305.765,-0.4060887,1305.733,-9.254646
199.526,1305.809,-0.2977531,1305.791,-6.785958
158.4891,1305.759,-0.265047,1305.745,-6.040344
125.8924,1306.076,-0.2067105,1306.068,-4.712024
99.99988,1306.748,-0.1539628,1306.744,-3.511434
79.43272,1306.402,-0.1304442,1306.399,-2.974259
63.09565,1305.55,-0.1144662,1305.548,-2.608243
50.11866,1305.937,-0.1087224,1305.934,-2.478096
39.81066,1306.09,-0.06530845,1306.089,-1.488743
31.62273,1307.242,-0.08183043,1307.241,-1.867017
25.11883,1306.209,-0.04982908,1306.208,-1.135985
19.95259,1306.756,-0.07829925,1306.754,-1.785785
12.58923,1306.893,-0.01089327,1306.893,-0.248471
9.999984,1307.052,-0.002875473,1307.052,-0.06559633
7.943269,1307.09,-0.03394608,1307.09,-0.7744126
6.309563,1307.448,-0.001673653,1307.448,-0.03819156
3.981065,1307.735,-0.01707096,1307.735,-0.3896326
2.511882,1307.185,-0.003441582,1307.185,-0.07851861
1.995259,1307.62,-0.0161754,1307.62,-0.3691594
1.58489,1308.388,-0.04882532,1308.388,-1.11496
