frequency,Z,phase,Z_re,Z_im
1000000.0,2283.531,-76.84595,519.6633,-2223.615
794328.2,2849.033,-75.1763,728.9128,-2754.21
630957.3,3527.028,-73.41987,1006.458,-3380.379
501187.2,4353.043,-71.54393,1378.075,-4129.152
398107.1,5304.558,-69.21377,1882.494,-4959.289
316227.7,6439.826,-66.52427,2565.373,-5906.794
251188.6,7737.257,-63.25362,3482.091,-6909.427
199526.2,9192.819,-59.87782,4613.376,-7951.395
158489.3,10791.65,-55.99237,6035.804,-8945.877
125892.5,12482.56,-51.85886,7709.236,-9817.427
99999.97,14244.8,-47.62017,9601.603,-10522.53
79432.8,16080.43,-43.23899,11714.64,-11015.79
63095.71,17889.03,-38.74034,13953.26,-11194.81
50118.7,19627.34,-34.20883,16231.69,-11034.7
39810.7,21209.62,-29.70493,18422.44,-10510.07
31622.76,22565.21,-25.38532,20386.43,-9673.788
25118.85,23668.19,-21.37023,22040.89,-8624.52
19952.61,24535.43,-17.76537,23365.44,-7486.246
15848.92,25172.5,-14.6503,24354.08,-6366.6
12589.25,25647.79,-11.9723,25089.89,-5320.347
9999.994,25878.51,-9.7319,25506.11,-4374.456
7943.277,26245.28,-7.859005,25998.77,-3588.669
6309.569,26402.94,-6.343635,26241.28,-2917.294
5011.869,26529.1,-5.098319,26424.15,-2357.511
3981.069,26604.19,-4.092943,26536.34,-1898.863
3162.275,26659.92,-3.283092,26616.17,-1526.798
2511.885,26708.71,-2.631303,26680.55,-1226.164
1995.261,26732.59,-2.101987,26714.6,-980.5077
1584.892,26753.23,-1.676992,26741.77,-782.9293
1258.924,26771.68,-1.345593,26764.29,-628.6756
999.9991,26779.36,-1.079493,26774.61,-504.5122
794.3275,26789.29,-0.8606815,26786.27,-402.4062
630.9567,26808.6,-0.6944822,26806.63,-324.9392
501.1867,26803.85,-0.5268602,26802.71,-246.4698
398.1068,26805.05,-0.4379518,26804.27,-204.8878
316.2274,26823.46,-0.3518615,26822.95,-164.7256
251.1884,26825.06,-0.3019173,26824.69,-141.3527
199.526,26855.85,-0.2030609,26855.69,-95.17912
158.4891,26843.62,-0.1719785,26843.5,-80.57343
125.8924,26841.79,-0.1431857,26841.71,-67.07923
99.99988,26824.53,-0.07651091,26824.51,-35.82059
79.43272,26854.37,-0.1001326,26854.32,-46.93184
63.09565,26869.05,-0.1166939,26868.99,-54.72395
50.11866,26987.59,-0.2435507,26987.35,-114.7175
39.81066,26868.72,-0.0593238,26868.71,-27.81975
31.62273,26844.36,-0.0470679,26844.35,-22.05236
25.11883,26860.6,-0.03838554,26860.59,-17.99537
19.95259,26870.68,-0.01598614,26870.68,-7.49721
15.84891,26862.3,-0.01163202,26862.3,-5.453503
12.58923,26888.74,-0.02826129,26888.74,-13.26294
9.999984,26879.13,-0.0003205571,26879.13,-0.1503828
7.943269,26891.42,-0.01702965,26891.42,-7.992761
5.011864,26898.43,-0.03669458,26898.42,-17.22686
3.981065,26888.27,-0.04306595,26888.26,-20.21037
3.162272,26900.49,-0.01606679,26900.49,-7.543393
1.995259,26913.9,-0.0265094,26913.89,-12.45242
1.258923,26952.42,-0.008888238,26952.42,-4.181102
1.0,26935.73,-0.01047207,26935.73,-4.923101
