frequency,Z,phase,Z_re,Z_im
1000000.0,32.74676,-2.512142,32.71529,-1.435327
794328.2,33.78509,-4.701069,33.67143,-2.768928
630957.3,34.93814,-6.34675,34.724,-3.862246
501187.2,36.15898,-7.511461,35.84869,-4.726865
398107.1,37.43018,-8.286509,37.0394,-5.394557
316227.7,38.71276,-8.717203,38.26557,-5.867214
251188.6,39.95994,-8.886071,39.48032,-6.17262
199526.2,41.14241,-8.905095,40.64648,-6.368772
158489.3,42.31279,-8.817435,41.81273,-6.485982
125892.5,43.45042,-8.670997,42.9538,-6.550604
99999.97,44.61735,-8.459635,44.1319,-6.563776
79432.8,45.82717,-8.115241,45.36826,-6.469173
63095.71,47.00615,-7.589573,46.59435,-6.208384
50118.7,48.09693,-6.88185,47.75041,-5.763088
39810.7,49.0407,-6.049024,48.76765,-5.167879
31622.76,49.77185,-5.166215,49.56966,-4.481723
25118.85,50.31131,-4.317697,50.16852,-3.787773
19952.61,50.70718,-3.548857,50.60994,-3.138757
15848.92,50.95832,-2.879899,50.89396,-2.560277
12589.25,51.12337,-2.321877,51.0814,-2.071177
9999.994,51.24604,-1.860431,51.21902,-1.6637
7943.277,51.31207,-1.48279,51.29489,-1.327786
6309.569,51.36515,-1.187006,51.35413,-1.064064
5011.869,51.39816,-0.9441221,51.39119,-0.8469026
3981.069,51.40274,-0.7421282,51.39843,-0.6657795
3162.275,51.41239,-0.5953032,51.40961,-0.5341651
2511.885,51.41973,-0.4669102,51.41802,-0.4190209
1995.261,51.43328,-0.3746456,51.43218,-0.3363095
1584.892,51.43402,-0.2987089,51.43332,-0.2681477
1258.924,51.4484,-0.2370957,51.44796,-0.212898
999.9991,51.43323,-0.1866798,51.43295,-0.1675782
794.3275,51.42804,-0.1446932,51.42788,-0.1298748
630.9567,51.46294,-0.120376,51.46283,-0.1081214
501.1867,51.43243,-0.09008646,51.43237,-0.08086745
398.1068,51.43719,-0.06962277,51.43715,-0.06250371
316.2274,51.43478,-0.0532928,51.43476,-0.04784127
251.1884,51.41838,-0.04954836,51.41836,-0.04446568
199.526,51.42137,-0.01633375,51.42136,-0.01465908
158.4891,51.43514,-0.04963117,51.43512,-0.04455452
125.8924,51.42769,-0.02744945,51.42769,-0.02463815
99.99988,51.41332,-0.01582776,51.41332,-0.01420275
79.43272,51.43153,-0.002235222,51.43153,-0.002006446
63.09565,51.42239,-0.000895568,51.42239,-0.0008037634
50.11866,51.4336,-0.01128168,51.4336,-0.0101274
31.62273,51.42354,-0.005976034,51.42354,-0.005363551
19.95259,51.43743,-0.02759969,51.43743,-0.02477769
9.999984,51.41077,-0.01812346,51.41077,-0.01626195
7.943269,51.41664,-0.003079112,51.41664,-0.002763163
1.258923,51.38482,-0.003272826,51.38482,-0.002935183
1.0,51.38388,-0.003206676,51.38388,-0.002875804
