frequency,Z,phase,Z_re,Z_im
99999.97,1.736532,-5.397663,1.728832,-0.1633516
79432.8,1.831873,-10.14642,1.803224,-0.3227107
63095.71,1.959775,-14.04184,1.901215,-0.475501
50118.7,2.122503,-16.8887,2.030962,-0.6166158
39810.7,2.316049,-18.50402,2.196313,-0.7350472
31622.76,2.526644,-18.83816,2.391303,-0.8158433
25118.85,2.736588,-18.04773,2.601945,-0.84782
19952.61,2.928108,-16.44406,2.808338,-0.8288863
15848.92,3.086365,-14.39429,2.989477,-0.7672498
12589.25,3.208559,-12.22318,3.135822,-0.6793165
9999.994,3.297889,-10.15072,3.246269,-0.5812141
7943.277,3.359055,-8.308391,3.3238,-0.4853871
6309.569,3.400262,-6.723952,3.376874,-0.3981228
5011.869,3.428082,-5.403419,3.412849,-0.3228146
3981.069,3.444547,-4.320451,3.434758,-0.2594938
3162.275,3.455042,-3.457864,3.448752,-0.208389
2511.885,3.462245,-2.747769,3.458264,-0.1659774
1995.261,3.466784,-2.187947,3.464257,-0.1323535
1584.892,3.469356,-1.742925,3.467751,-0.1055208
1258.924,3.471897,-1.384818,3.470883,-0.08390633
999.9991,3.471779,-1.089894,3.471151,-0.06603701
794.3275,3.47234,-0.8693781,3.47194,-0.05268556
630.9567,3.472778,-0.6903151,3.472526,-0.04183996
501.1867,3.473226,-0.5527549,3.473064,-0.03350705
398.1068,3.473163,-0.4314134,3.473065,-0.02615122
316.2274,3.472055,-0.3350573,3.471996,-0.02030396
251.1884,3.472397,-0.2600917,3.472361,-0.01576274
199.526,3.471311,-0.1945922,3.471291,-0.0117895
158.4891,3.472045,-0.159696,3.472031,-0.00967734
125.8924,3.47223,-0.1354976,3.47222,-0.008211397
99.99988,3.471477,-0.08929585,3.471473,-0.005410318
79.43272,3.471905,-0.05772512,3.471903,-0.00349792
63.09565,3.470465,-0.06457171,3.470463,-0.003911174
50.11866,3.471319,-0.04149318,3.471318,-0.002513904
39.81066,3.470644,-0.01973275,3.470644,-0.001195295
31.62273,3.469896,-0.007762595,3.469896,-0.0004701114
25.11883,3.470731,-0.02056816,3.470731,-0.00124593
19.95259,3.469933,-0.0004451143,3.469933,-2.69569e-05
15.84891,3.468777,-0.001401527,3.468777,-8.485067e-05
