Experiment:, BIAS_SCAN
Start date:, 15 January 2024
Start time:, 12:30:31 +00:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
490, 0.6502447, 0.003008621, , 0.1157916, , , , , , , , , , 1, 1
491, 0.6500869, 0.0030442, , 0.1188358, 1000000, -0.0001455274, -0.0004026254, -7.768972e-05, -4.25566e-05, 3.624472, 3.197079, 4.833023, 41.41492, 1, 2
492, 0.6502447, 0.003061311, , 0.1218972, 794328.2, 0.0005897583, -6.634878e-07, 0.0001145553, -7.106058e-05, 3.720292, 2.301967, 4.374886, 31.74756, 1, 2
492, 0.6502447, 0.003061311, , 0.1218972, 630957.3, -0.0009384328, 5.968109e-05, -0.0002033281, 0.0001008063, 3.82155, 1.601133, 4.143413, 22.73245, 1, 2
492, 0.6502447, 0.003061311, , 0.1218972, 501187.2, -0.001853003, 0.0008623424, -0.0003897927, 0.0003197023, 3.926767, 1.008367, 4.054171, 14.40198, 1, 2
493, 0.6502447, 0.003051977, , 0.1249491, 398107.1, 0.003366395, 4.319505e-05, 0.0008233533, -9.32281e-05, 4.031018, 0.5088935, 4.063013, 7.195209, 1, 2
493, 0.6502447, 0.003051977, , 0.1249491, 316227.7, 0.001918651, 0.0045641, 0.0004831126, 0.001093071, 4.142139, 0.07544661, 4.142826, 1.043493, 1, 2
493, 0.6502447, 0.003051977, , 0.1249491, 251188.6, 0.002707649, -0.005186801, 0.0007223354, -0.001164561, 4.25788, -0.315972, 4.269588, -4.244069, 1, 2
494, 0.6502447, 0.003059755, , 0.1280089, 199526.2, 0.001783329, 0.005045279, 0.0002211164, 0.001185437, 4.38412, -0.6866056, 4.43756, -8.900903, 1, 2
494, 0.6502447, 0.003059755, , 0.1280089, 158489.3, 0.004743223, -0.0009517013, 0.001041392, 3.17671e-05, 4.522611, -1.051834, 4.643314, -13.09267, 1, 2
