Experiment:, BIAS_SCAN
Start date:, 15 January 2024
Start time:, 12:30:31 +00:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
343, 0.5257542, 0.000177762, , 0.006562076, , , , , , , , , , 1, 1
344, 0.5252809, 0.0001874556, , 0.006749531, 1000000, -0.001443161, -0.001676201, -3.872327e-05, -6.245524e-05, 29.73464, -4.671157, 30.09931, -8.927903, 1, 3
345, 0.5257542, 0.0002015977, , 0.006951129, 794328.2, -0.0001989051, -0.003817776, 1.995701e-05, -0.0001200749, 30.67235, -6.754395, 31.40724, -12.41896, 1, 3
345, 0.5257542, 0.0002015977, , 0.006951129, 630957.3, -0.003906488, -0.002111341, -9.699001e-05, -9.347223e-05, 31.75916, -8.838629, 32.96613, -15.55198, 1, 3
345, 0.5257542, 0.0002015977, , 0.006951129, 501187.2, 0.004188557, 0.003120769, 8.587429e-05, 0.0001231754, 33.00241, -10.9965, 34.78623, -18.42823, 1, 3
346, 0.5255964, 0.0001936719, , 0.007144801, 398107.1, 0.002284269, 0.003965025, 1.903515e-05, 0.0001227104, 34.37257, -13.28316, 36.84991, -21.12885, 1, 3
346, 0.5255964, 0.0001936719, , 0.007144801, 316227.7, -0.001355492, 0.004000208, -7.254627e-05, 7.938428e-05, 35.96159, -15.78887, 39.27499, -23.70378, 1, 3
346, 0.5255964, 0.0001936719, , 0.007144801, 251188.6, -0.004164486, -0.001063804, -7.771872e-05, -6.632014e-05, 37.7648, -18.53817, 42.06951, -26.14573, 1, 3
347, 0.5257542, 0.0001972463, , 0.007342047, 199526.2, -0.001421735, -0.003893533, 1.338049e-05, -9.056233e-05, 39.80443, -21.58002, 45.27792, -28.46439, 1, 3
347, 0.5257542, 0.0001972463, , 0.007342047, 158489.3, -0.003653195, -0.001745541, -4.584567e-05, -6.884549e-05, 42.04556, -25.06466, 48.94963, -30.80048, 1, 3
347, 0.5257542, 0.0001972463, , 0.007342047, 125892.5, -0.003227303, 0.002511744, -7.658969e-05, 6.278131e-06, 44.5266, -29.14492, 53.21696, -33.20679, 1, 3
347, 0.5257542, 0.0001972463, , 0.007342047, 99999.97, -0.00224117, 0.003380433, -6.499489e-05, 2.456807e-05, 47.37341, -34.1036, 58.37204, -35.7497, 1, 3
348, 0.5249653, 0.0001958476, , 0.007537894, 79432.8, -0.003372643, 0.002227511, -6.210087e-05, -5.273393e-06, 50.89621, -40.19118, 64.85179, -38.29707, 1, 3
348, 0.5249653, 0.0001958476, , 0.007537894, 63095.71, -0.0034948, 0.002037694, -5.443368e-05, -9.907376e-06, 55.54933, -47.54488, 73.11801, -40.56034, 1, 3
348, 0.5249653, 0.0001958476, , 0.007537894, 50118.7, -0.003109439, -0.002574837, -6.896126e-06, -4.777758e-05, 61.99436, -56.13341, 83.63169, -42.15958, 1, 3
349, 0.5255964, 0.0001946043, , 0.007732499, 39810.7, 0.003866712, -0.001134747, 3.734066e-05, 1.853646e-05, 70.97623, -65.62272, 96.66419, -42.75565, 1, 3
349, 0.5255964, 0.0001946043, , 0.007732499, 31622.76, -0.003289773, -0.002335927, -7.800645e-06, -3.515008e-05, 83.13189, -75.14323, 112.0599, -42.11055, 1, 3
349, 0.5255964, 0.0001946043, , 0.007732499, 25118.85, 0.003991294, -0.0005452197, 2.630985e-05, 1.669306e-05, 98.78699, -83.40133, 129.2852, -40.17287, 1, 3
350, 0.5255964, 0.0001950706, , 0.00792757, 19952.61, -0.004008178, 0.0003386944, -2.309049e-05, -1.457527e-05, 117.5069, -88.84132, 147.3114, -37.09117, 1, 3
350, 0.5255964, 0.0001950706, , 0.00792757, 15848.92, 0.0003161729, 0.00401334, -1.172729e-05, 2.144868e-05, 137.8454, -90.10936, 164.6847, -33.17259, 1, 3
