Experiment:, BIAS_SCAN
Start date:, 15 January 2024
Start time:, 12:30:31 +00:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
55, 0.250108, 3.777444e-05, , 0.0001164281, , , , , , , , , , 1, 1
56, 0.2510547, 1.89089e-07, , 0.0001166172, , , , , , , , , , 1, 4
57, 0.250108, 1.423728e-07, , 0.0001167596, 1000000, -0.001871301, -0.001826475, 3.083741e-07, -3.569995e-07, 336.9666, -5532.817, 5543.069, -86.51481, 1, 4
57, 0.250108, 1.423728e-07, , 0.0001167596, 794328.2, -0.002677827, 0.0005184337, -1.019657e-07, -3.629963e-07, 596.8978, -7209.341, 7234.009, -85.26699, 1, 4
57, 0.250108, 1.423728e-07, , 0.0001167596, 630957.3, -0.002703361, 0.000533598, -8.52675e-08, -2.835679e-07, 903.244, -9261.781, 9305.721, -84.42991, 1, 4
58, 0.250108, 1.89089e-07, , 0.0001169487, 501187.2, 0.00204176, -0.003102474, 2.787788e-07, 1.414788e-07, 1332.856, -11805.22, 11880.22, -83.55836, 1, 4
58, 0.250108, 1.89089e-07, , 0.0001169487, 398107.1, -0.0003363836, 0.00369016, -2.473496e-07, 8.85619e-09, 1891.685, -14851.07, 14971.06, -82.74093, 1, 4
58, 0.250108, 1.89089e-07, , 0.0001169487, 316227.7, 0.003670198, 0.0004360309, 4.836769e-09, 1.968429e-07, 2671.655, -18579.67, 18770.77, -81.81727, 1, 4
59, 0.250108, 1.423728e-07, , 0.000117091, 251188.6, -0.003920671, -0.0005697856, -3.651383e-09, -1.702082e-07, 3839.961, -22952.19, 23271.19, -80.50223, 1, 4
59, 0.250108, 1.423728e-07, , 0.000117091, 199526.2, -0.001133476, 0.003789289, -1.346245e-07, -1.428596e-08, 5372.155, -28717.17, 29215.34, -79.40408, 1, 4
59, 0.250108, 1.423728e-07, , 0.000117091, 158489.3, 0.003048729, 0.002499942, -4.925589e-08, 9.731641e-08, 7827.216, -35289.68, 36147.3, -77.4943, 1, 4
59, 0.250108, 1.423728e-07, , 0.000117091, 125892.5, 0.003937299, -0.000838622, 3.994695e-08, 8.07677e-08, 11029.38, -43293.41, 44676.24, -75.70742, 1, 4
60, 0.247899, 1.660289e-07, , 0.0001172571, 99999.97, 0.003788799, -0.001336145, 4.325863e-08, 6.03598e-08, 15096.03, -51951.21, 54100.08, -73.79715, 1, 5
60, 0.247899, 1.660289e-07, , 0.0001172571, 79432.8, 0.002659622, 0.003010873, -3.03505e-08, 5.28087e-08, 21100.07, -62490.08, 65956.22, -71.3425, 1, 5
61, 0.250108, 1.177012e-07, , 0.0001173748, 63095.71, -0.00288377, -0.002814821, 1.961686e-08, -4.650219e-08, 29178.19, -74322.4, 79844.76, -68.56555, 1, 5
61, 0.250108, 1.177012e-07, , 0.0001173748, 50118.7, 0.00179635, 0.003603925, -2.637424e-08, 3.249308e-08, 39811.12, -87598.3, 96220.52, -65.55946, 1, 5
61, 0.250108, 1.177012e-07, , 0.0001173748, 39810.7, -0.002045044, 0.003464326, -3.50252e-08, -1.638572e-09, 53643.14, -101419.1, 114731.9, -62.12449, 1, 5
62, 0.2499502, 1.23937e-07, , 0.0001174987, 31622.76, -0.000536074, -0.003994821, 2.295768e-08, -1.887086e-08, 71423.48, -115299, 135628.8, -58.22332, 1, 5
62, 0.2499502, 1.23937e-07, , 0.0001174987, 25118.85, 0.003740035, 0.00149003, 6.244518e-09, 2.466822e-08, 92833.47, -128113.6, 158212.3, -54.07222, 1, 5
62, 0.2499502, 1.23937e-07, , 0.0001174987, 19952.61, -0.002356253, 0.003258539, -2.205254e-08, 1.717837e-09, 117643.7, -138598.4, 181795.4, -49.67507, 1, 5
63, 0.2467946, 8.138408e-08, , 0.0001175801, 15848.92, -0.0002165329, 0.004019345, -1.452742e-08, 1.304842e-08, 145792.6, -145723.2, 206132.7, -44.98636, 1, 6
63, 0.2467946, 8.138408e-08, , 0.0001175801, 12589.25, 0.003659466, -0.001663802, 1.668598e-08, 4.753598e-09, 176576.2, -150016.6, 231698.4, -40.35075, 1, 6
64, 0.248688, 9.510024e-08, , 0.0001176752, 9999.994, 0.003145361, -0.002496113, 1.587987e-08, -9.908208e-10, 207073.7, -144266.9, 252373.7, -34.86467, 1, 6
64, 0.248688, 9.510024e-08, , 0.0001176752, 7943.277, -0.002777654, 0.002904581, -1.421971e-08, 3.914822e-09, 233849.5, -139883.4, 272493.9, -30.8869, 1, 6
64, 0.248688, 9.510024e-08, , 0.0001176752, 6309.569, -0.003640563, 0.001689925, -1.377383e-08, -4.63926e-10, 259882.9, -131444.3, 291233.1, -26.82951, 1, 6
65, 0.250108, 1.061667e-07, , 0.0001177814, 5011.869, 0.003110242, 0.002529161, 6.124253e-09, 1.15552e-08, 282249.4, -119571.8, 306532.4, -22.95939, 1, 6
65, 0.250108, 1.061667e-07, , 0.0001177814, 3981.069, -0.001425244, -0.003750987, -2.882503e-10, -1.255485e-08, 301215.5, -106605.6, 319523.9, -19.4898, 1, 6
65, 0.250108, 1.061667e-07, , 0.0001177814, 3162.275, 0.003876238, 0.001025209, 1.041082e-08, 6.300578e-09, 316136.2, -92848.77, 329489, -16.36744, 1, 6
66, 0.2502658, 1.056991e-07, , 0.0001178871, 2511.885, -0.003968991, -0.0005435009, -1.103925e-08, -4.320183e-09, 328492.3, -79321.12, 337933.5, -13.57536, 1, 6
66, 0.2502658, 1.056991e-07, , 0.0001178871, 1995.261, 0.002853279, -0.002819818, 9.725198e-09, -6.412864e-09, 337732.9, -67246.16, 344362.6, -11.26092, 1, 6
66, 0.2502658, 1.056991e-07, , 0.0001178871, 1584.892, 0.001422948, -0.003748248, 5.749584e-09, -9.937138e-09, 344663.8, -56225.99, 349219.8, -9.265211, 1, 6
67, 0.2474257, 9.541455e-08, , 0.0001179825, 1258.924, -0.002800595, 0.002864528, -8.9571e-09, 7.01426e-09, 349053, -46463.61, 352131.9, -7.582258, 1, 7
67, 0.2474257, 9.541455e-08, , 0.0001179825, 999.9991, -0.003062926, -0.002589511, -7.808207e-09, -8.186403e-09, 352499.4, -37933.32, 354534.6, -6.142101, 1, 7
68, 0.2499502, 1.046783e-07, , 0.0001180872, 794.3275, 0.001368279, -0.003767056, 4.73163e-09, -1.018676e-08, 355491.7, -30802.38, 356823.7, -4.952153, 1, 7
68, 0.2499502, 1.046783e-07, , 0.0001180872, 630.9567, -0.0008589237, -0.003910985, -1.634918e-09, -1.105174e-08, 357551.9, -24824.65, 358412.7, -3.971644, 1, 7
68, 0.2499502, 1.046783e-07, , 0.0001180872, 501.1867, -0.003067091, -0.002583039, -8.10114e-09, -7.659632e-09, 359071.8, -20653.73, 359665.4, -3.292013, 1, 7
69, 0.250108, 1.050526e-07, , 0.0001181922, 398.1068, -0.0002974689, -0.003996812, -3.428258e-10, -1.113361e-08, 359468, -15649.36, 359808.5, -2.492786, 1, 7
69, 0.250108, 1.050526e-07, , 0.0001181922, 316.2274, 0.002221191, -0.003330956, 6.496185e-09, -9.011516e-09, 360157.3, -13145.11, 360397.1, -2.090267, 1, 7
69, 0.250108, 1.050526e-07, , 0.0001181922, 251.1884, 0.004007975, -8.815998e-05, 1.121612e-08, 8.572305e-11, 357259.6, -10590.59, 357416.6, -1.697977, 1, 7
70, 0.250108, 1.052553e-07, , 0.0001182975, 199.526, 0.002169245, -0.003366549, 6.23129e-09, -9.122635e-09, 362379.9, -9739.491, 362510.8, -1.539537, 1, 7
70, 0.250108, 1.052553e-07, , 0.0001182975, 158.4891, 0.0004360719, 0.003980043, 9.898334e-10, 1.104229e-08, 361075, -7124.226, 361145.3, -1.130333, 1, 7
70, 0.250108, 1.052553e-07, , 0.0001182975, 125.8924, -0.003251824, 0.002349697, -9.119923e-09, 6.354777e-09, 360873.8, -6187.008, 360926.8, -0.9822125, 1, 7
71, 0.250108, 1.048342e-07, , 0.0001184023, 99.99988, -0.00298782, 0.002673408, -8.299622e-09, 7.196943e-09, 364917.5, -5677.069, 364961.7, -0.8912859, 1, 7
71, 0.250108, 1.048342e-07, , 0.0001184023, 79.43272, -7.411087e-05, 0.0040058, -3.129594e-10, 1.107839e-08, 361487.3, -3522.168, 361504.4, -0.5582465, 1, 7
71, 0.250108, 1.048342e-07, , 0.0001184023, 63.09565, -0.002463647, -0.003165842, -6.582749e-09, -8.886804e-09, 362624.2, -8617.642, 362726.6, -1.361359, 1, 7
72, 0.250108, 1.050682e-07, , 0.0001185074, 50.11866, -0.003054048, 0.002597844, -8.739975e-09, 6.20739e-09, 372594.5, -32609.27, 374018.7, -5.001752, 1, 7
72, 0.250108, 1.050682e-07, , 0.0001185074, 39.81066, -0.003489334, 0.001973188, -9.670065e-09, 5.39194e-09, 362051.3, -2174.616, 362057.8, -0.3441358, 1, 7
72, 0.250108, 1.050682e-07, , 0.0001185074, 31.62273, 0.002451222, 0.003176015, 6.879363e-09, 8.843379e-09, 358075.3, 1369.141, 358077.9, 0.2190758, 1, 7
73, 0.250108, 1.050526e-07, , 0.0001186124, 25.11883, 0.0003531461, 0.003993455, 9.534974e-10, 1.105547e-08, 361287.6, -783.2613, 361288.4, -0.1242154, 1, 7
73, 0.250108, 1.050526e-07, , 0.0001186124, 19.95259, 0.000456325, -0.003979611, 1.286098e-09, -1.1008e-08, 361429.6, -772.9948, 361430.5, -0.1225391, 1, 7
73, 0.250108, 1.050526e-07, , 0.0001186124, 15.84891, 0.002723841, 0.00294131, 7.553746e-09, 8.129735e-09, 361239.7, 599.2978, 361240.2, 0.09505379, 1, 7
74, 0.250108, 1.052553e-07, , 0.0001187177, 12.58923, -0.001506656, -0.003712245, -4.147199e-09, -1.028544e-08, 361254.1, -822.8455, 361255, -0.1305051, 1, 7
74, 0.250108, 1.052553e-07, , 0.0001187177, 9.999984, -0.004002604, 0.0001816877, -1.10648e-08, 4.864615e-10, 361764.8, -515.424, 361765.1, -0.08163205, 1, 7
74, 0.250108, 1.052553e-07, , 0.0001187177, 7.943269, -0.001673097, -0.003645053, -4.640607e-09, -1.010321e-08, 360738.5, 93.94756, 360738.5, 0.01492161, 1, 7
