Experiment:, BIAS_SCAN
Start date:, 15 January 2024
Start time:, 12:30:31 +00:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
290, 0.4757371, 8.443696e-05, , 0.002017138, , , , , , , , , , 1, 1
291, 0.4754216, 5.501828e-05, , 0.002072156, , , , , , , , , , 1, 4
292, 0.4758949, 5.815596e-05, , 0.002130312, 1000000, 0.0008337789, -0.0004799245, 1.548447e-05, -2.157591e-06, 57.05701, -23.04365, 61.53464, -21.99234, 1, 3
292, 0.4758949, 5.815596e-05, , 0.002130312, 794328.2, -0.002071695, 0.0002828641, -3.021907e-05, -9.638433e-06, 59.51578, -28.34313, 65.92011, -25.46513, 1, 3
293, 0.4757371, 5.815596e-05, , 0.002188468, 630957.3, -0.001607157, 0.005347293, -5.593664e-05, 5.463142e-05, 62.48944, -34.56421, 71.41159, -28.9479, 1, 3
294, 0.4757371, 5.800811e-05, , 0.002246476, 501187.2, -0.004309278, -0.007131638, 1.830812e-06, -0.0001066652, 66.14713, -41.5354, 78.10654, -32.12572, 1, 4
294, 0.4757371, 5.800811e-05, , 0.002246476, 398107.1, -0.0002136827, 0.005592927, -3.908991e-05, 5.176219e-05, 70.79404, -49.33427, 86.28827, -34.8715, 1, 4
295, 0.4755794, 5.758766e-05, , 0.002304064, 316227.7, -0.004667911, -0.0004449264, -3.589499e-05, -3.307709e-05, 76.50288, -58.10188, 96.06518, -37.21569, 1, 4
295, 0.4755794, 5.758766e-05, , 0.002304064, 251188.6, 0.002408144, -0.00379186, 3.975886e-05, -1.322152e-05, 83.09481, -67.73887, 107.2068, -39.18691, 1, 4
295, 0.4755794, 5.758766e-05, , 0.002304064, 199526.2, -0.0003177413, -0.004176531, 2.071807e-05, -2.800819e-05, 90.95686, -78.62672, 120.2302, -40.84144, 1, 4
296, 0.477315, 6.546712e-05, , 0.002369531, 158489.3, 0.003831527, 0.001293635, 1.458175e-05, 2.616364e-05, 100.0002, -90.71173, 135.0136, -42.21165, 1, 4
296, 0.477315, 6.546712e-05, , 0.002369531, 125892.5, -0.003517828, 0.002054131, -2.614256e-05, -6.133646e-06, 110.0689, -104.3989, 151.7046, -43.4856, 1, 4
296, 0.477315, 6.546712e-05, , 0.002369531, 99999.97, -0.003820156, -0.001319848, -1.041656e-05, -2.119869e-05, 121.4792, -120.515, 171.1171, -44.77171, 1, 4
296, 0.477315, 6.546712e-05, , 0.002369531, 79432.8, -0.002677455, 0.003014963, -2.071065e-05, 8.692472e-07, 135.151, -139.9031, 194.5217, -45.98978, 1, 4
297, 0.4755794, 5.782125e-05, , 0.002427353, 63095.71, -0.00151501, -0.003747701, 7.627693e-06, -1.641714e-05, 152.4866, -163.1302, 223.3017, -46.93147, 1, 4
297, 0.4755794, 5.782125e-05, , 0.002427353, 50118.7, -0.002996515, 0.00270396, -1.553581e-05, -1.405227e-06, 175.6978, -189.9389, 258.7402, -47.23048, 1, 4
297, 0.4755794, 5.782125e-05, , 0.002427353, 39810.7, -0.003214265, -0.002430818, -1.468084e-06, -1.328438e-05, 207.192, -219.061, 301.5233, -46.59498, 1, 4
298, 0.4755794, 5.780568e-05, , 0.002485158, 31622.76, -0.003884001, 0.001096234, -1.005026e-05, -5.588536e-06, 248.8583, -247.4551, 350.9479, -44.83801, 1, 4
298, 0.4755794, 5.780568e-05, , 0.002485158, 25118.85, 0.002265916, 0.00333203, -1.337724e-06, 9.859896e-06, 301.2139, -270.678, 404.9647, -41.94363, 1, 4
298, 0.4755794, 5.780568e-05, , 0.002485158, 19952.61, -0.003361018, -0.002212099, -2.782696e-06, -8.290412e-06, 362.1072, -283.8681, 460.1117, -38.0941, 1, 4
299, 0.475106, 5.713608e-05, , 0.002542294, 15848.92, -0.003993934, -0.0005164934, -5.938276e-06, -5.159146e-06, 426.3378, -283.4232, 511.9499, -33.61538, 1, 4
299, 0.475106, 5.713608e-05, , 0.002542294, 12589.25, -0.001868196, 0.003560927, -6.02578e-06, 3.976302e-06, 487.6471, -269.1593, 556.9977, -28.89673, 1, 4
299, 0.475106, 5.713608e-05, , 0.002542294, 9999.994, -0.002491129, -0.003149917, -1.642216e-06, -6.565765e-06, 540.8135, -244.1446, 593.3682, -24.2963, 1, 4
300, 0.4747904, 5.69025e-05, , 0.002599197, 7943.277, -0.002127174, -0.003410004, -1.332954e-06, -6.33763e-06, 582.8663, -213.0513, 620.5836, -20.07854, 1, 4
300, 0.4747904, 5.69025e-05, , 0.002599197, 6309.569, 0.003626759, -0.001720025, 6.193595e-06, -9.799866e-07, 614.132, -180.5388, 640.1191, -16.38196, 1, 4
300, 0.4747904, 5.69025e-05, , 0.002599197, 5011.869, -0.0004402531, 0.003985084, -2.052315e-06, 5.780036e-06, 636.2826, -149.7567, 653.6686, -13.2442, 1, 4
301, 0.4755794, 5.782125e-05, , 0.002657018, 3981.069, -0.003596113, 0.001782304, -5.831663e-06, 1.64033e-06, 651.105, -122.4825, 662.5252, -10.65368, 1, 4
301, 0.4755794, 5.782125e-05, , 0.002657018, 3162.275, -0.0005310047, -0.003973888, 9.600983e-08, -5.999055e-06, 660.8331, -99.0908, 668.2211, -8.527868, 1, 4
301, 0.4755794, 5.782125e-05, , 0.002657018, 2511.885, -0.003135311, 0.002494182, -5.071031e-06, 3.131422e-06, 667.478, -79.6734, 672.2163, -6.806895, 1, 4
302, 0.4754216, 5.754095e-05, , 0.002714559, 1995.261, -0.0003268561, -0.003998345, 7.776201e-08, -5.947954e-06, 671.3887, -63.73026, 674.4066, -5.422443, 1, 4
302, 0.4754216, 5.754095e-05, , 0.002714559, 1584.892, -0.00392373, -0.0008276639, -5.694092e-06, -1.656835e-06, 674.2928, -50.84704, 676.2072, -4.312396, 1, 4
302, 0.4754216, 5.754095e-05, , 0.002714559, 1258.924, -0.0006627443, -0.003951306, -6.276119e-07, -5.883238e-06, 675.9457, -40.54106, 677.1603, -3.432306, 1, 4
303, 0.4760527, 5.814826e-05, , 0.002772707, 999.9991, 0.002714998, 0.002953652, 3.79427e-06, 4.544791e-06, 676.8637, -32.29934, 677.6339, -2.732031, 1, 4
303, 0.4760527, 5.814826e-05, , 0.002772707, 794.3275, -0.001928225, -0.003514842, -2.643901e-06, -5.286851e-06, 677.7275, -25.79623, 678.2182, -2.179788, 1, 4
303, 0.4760527, 5.814826e-05, , 0.002772707, 630.9567, 0.000398379, -0.003985631, 7.640896e-07, -5.855154e-06, 678.0369, -20.44385, 678.345, -1.727033, 1, 4
304, 0.4755794, 5.772782e-05, , 0.002830435, 501.1867, 0.00291936, -0.00275131, 4.397466e-06, -3.949197e-06, 678.5179, -16.30694, 678.7139, -1.376735, 1, 4
304, 0.4755794, 5.772782e-05, , 0.002830435, 398.1068, 0.003551443, 0.001859118, 5.178264e-06, 2.837958e-06, 678.7346, -12.95852, 678.8583, -1.093768, 1, 4
304, 0.4755794, 5.772782e-05, , 0.002830435, 316.2274, -0.001502058, 0.003712575, -2.294245e-06, 5.434528e-06, 678.8441, -10.18979, 678.9206, -0.8599738, 1, 4
305, 0.4755794, 5.769667e-05, , 0.002888132, 251.1884, 0.003662706, 0.001634025, 5.364805e-06, 2.470633e-06, 678.993, -8.111583, 679.0415, -0.6844508, 1, 4
305, 0.4755794, 5.769667e-05, , 0.002888132, 199.526, 0.002830095, 0.002838555, 4.127435e-06, 4.220777e-06, 678.9521, -6.577963, 678.984, -0.5550874, 1, 4
305, 0.4755794, 5.769667e-05, , 0.002888132, 158.4891, 0.003175359, -0.002437896, 4.703822e-06, -3.555351e-06, 678.9272, -5.117302, 678.9465, -0.4318493, 1, 4
306, 0.4757371, 5.76811e-05, , 0.002945813, 125.8924, -0.003362277, 0.002183482, -4.973347e-06, 3.185049e-06, 678.8171, -4.306292, 678.8307, -0.3634691, 1, 4
306, 0.4757371, 5.76811e-05, , 0.002945813, 99.99988, -0.002502811, -0.003129788, -3.662977e-06, -4.627644e-06, 679.0006, -3.381158, 679.009, -0.2853082, 1, 4
306, 0.4757371, 5.76811e-05, , 0.002945813, 79.43272, -0.003990068, -0.0003443281, -5.87332e-06, -5.307186e-07, 679.1072, -2.738955, 679.1128, -0.2310824, 1, 4
306, 0.4757371, 5.76811e-05, , 0.002945813, 63.09565, 0.003349143, -0.002207474, 4.94163e-06, -3.235043e-06, 679.1272, -2.118287, 679.1305, -0.1787125, 1, 4
307, 0.4757371, 5.782125e-05, , 0.003003634, 50.11866, -0.00232856, -0.003262498, -3.41515e-06, -4.813311e-06, 679.1552, -1.899476, 679.1579, -0.1602456, 1, 4
307, 0.4757371, 5.782125e-05, , 0.003003634, 39.81066, -0.0006845531, -0.003944851, -9.965145e-07, -5.812071e-06, 678.9687, -1.368011, 678.9701, -0.1154415, 1, 4
307, 0.4757371, 5.782125e-05, , 0.003003634, 31.62273, -0.003747165, 0.001424873, -5.523363e-06, 2.092005e-06, 678.7576, -0.8888571, 678.7582, -0.07503081, 1, 4
308, 0.4755794, 5.769667e-05, , 0.003061331, 25.11883, -0.004008423, -3.761024e-05, -5.901724e-06, -6.381725e-08, 679.1847, -0.9714902, 679.1854, -0.08195451, 1, 4
308, 0.4755794, 5.769667e-05, , 0.003061331, 19.95259, 0.003916949, 0.0008390186, 5.763157e-06, 1.24301e-06, 679.446, -0.9612479, 679.4467, -0.08105929, 1, 4
308, 0.4755794, 5.769667e-05, , 0.003061331, 15.84891, -0.003441753, 0.002053796, -5.071569e-06, 3.018997e-06, 679.0695, -0.7270476, 679.0699, -0.06134385, 1, 4
309, 0.4757371, 5.789911e-05, , 0.00311923, 12.58923, 0.003862878, -0.001061213, 5.688965e-06, -1.560466e-06, 679.0858, -0.2676075, 679.0859, -0.02257856, 1, 4
309, 0.4757371, 5.789911e-05, , 0.00311923, 9.999984, 0.0006168846, -0.003957777, 9.120618e-07, -5.822821e-06, 679.6211, -0.5103774, 679.6213, -0.0430276, 1, 4
310, 0.4758949, 5.803926e-05, , 0.003177269, 7.943269, 0.003841193, -0.001149666, 5.654742e-06, -1.688752e-06, 679.4092, -0.4088791, 679.4094, -0.03448149, 1, 4
310, 0.4758949, 5.803926e-05, , 0.003177269, 6.309563, -0.0002863817, -0.003995894, -4.209295e-07, -5.884412e-06, 679.0709, -0.09190372, 679.0709, -0.007754264, 1, 4
310, 0.4758949, 5.803926e-05, , 0.003177269, 5.011864, 0.002429184, 0.003180888, 3.573288e-06, 4.686834e-06, 679.1019, -0.545504, 679.1021, -0.04602413, 1, 4
311, 0.4755794, 5.777453e-05, , 0.003235044, 3.981065, -0.0005214553, 0.003973581, -7.683384e-07, 5.852878e-06, 678.9068, -0.02988416, 678.9068, -0.002522049, 1, 4
312, 0.4749483, 5.679349e-05, , 0.003291837, 3.162272, 0.002227908, 0.003330148, 3.277073e-06, 4.904643e-06, 679.2466, -0.4010063, 679.2467, -0.03382566, 1, 4
312, 0.4749483, 5.679349e-05, , 0.003291837, 2.511882, 0.002484607, -0.003141215, 3.655678e-06, -4.625458e-06, 679.323, 0.2639418, 679.323, 0.0222615, 1, 4
313, 0.4760527, 5.84597e-05, , 0.003350297, 1.995259, -0.003425569, 0.00208445, -5.041757e-06, 3.06752e-06, 679.4622, -0.03704242, 679.4622, -0.003123609, 1, 4
314, 0.4752638, 5.710493e-05, , 0.003407402, 1.58489, 0.002490262, -0.003137333, 3.664494e-06, -4.625544e-06, 678.7646, 0.6339152, 678.7649, 0.05350994, 1, 4
315, 0.4762105, 5.849084e-05, , 0.003465893, 1.258923, 0.001239087, 0.003809059, 1.821857e-06, 5.604752e-06, 679.6612, -0.1500832, 679.6612, -0.01265208, 1, 4
