Experiment:, SLEW-RATE-VARIATION
Start date:, Friday, December 15, 2023
Start time:, 3:14:47 PM +01:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), V Range (), I Range ()
380.6667, -2.002554, -1.570011e-06, , -0.000510485, 1, 6
381.3333, -1.992772, -1.568453e-06, , -0.0005115307, 1, 6
382, -1.982674, -1.566115e-06, , -0.0005125747, 1, 6
382.6667, -1.972891, -1.563621e-06, , -0.0005136172, 1, 6
383.3333, -1.962793, -1.562218e-06, , -0.0005146586, 1, 6
384, -1.953011, -1.560036e-06, , -0.0005156987, 1, 6
384.6667, -1.942755, -1.557854e-06, , -0.0005167372, 1, 6
385.3333, -1.932972, -1.555672e-06, , -0.0005177744, 1, 6
386, -1.922874, -1.553645e-06, , -0.0005188101, 1, 6
386.6667, -1.912934, -1.551775e-06, , -0.0005198446, 1, 6
387.3333, -1.902836, -1.550061e-06, , -0.000520878, 1, 6
388, -1.892895, -1.547723e-06, , -0.0005219099, 1, 6
388.6667, -1.882797, -1.545696e-06, , -0.0005229403, 1, 6
389.3333, -1.872857, -1.543514e-06, , -0.0005239693, 1, 6
390, -1.862601, -1.54102e-06, , -0.0005249967, 1, 6
390.6667, -1.852819, -1.53915e-06, , -0.0005260227, 1, 6
391.3333, -1.842563, -1.537124e-06, , -0.0005270475, 1, 6
392, -1.83278, -1.534318e-06, , -0.0005280704, 1, 6
392.6667, -1.822682, -1.532604e-06, , -0.0005290921, 1, 6
393.3333, -1.812584, -1.530422e-06, , -0.0005301124, 1, 6
394, -1.802644, -1.528395e-06, , -0.0005311313, 1, 6
394.6667, -1.792704, -1.526057e-06, , -0.0005321487, 1, 6
395.3333, -1.781659, -1.523875e-06, , -0.0005331646, 1, 6
396, -1.771719, -1.521849e-06, , -0.0005341792, 1, 6
396.6667, -1.761936, -1.520134e-06, , -0.0005351926, 1, 6
397.3333, -1.751996, -1.51764e-06, , -0.0005362043, 1, 6
398, -1.74174, -1.51577e-06, , -0.0005372149, 1, 6
398.6666, -1.7318, -1.513744e-06, , -0.000538224, 1, 6
399.3333, -1.721701, -1.512029e-06, , -0.000539232, 1, 6
400, -1.711919, -1.510159e-06, , -0.0005402388, 1, 6
400.6666, -1.701821, -1.507665e-06, , -0.0005412439, 1, 6
401.3333, -1.691881, -1.505015e-06, , -0.0005422473, 1, 6
402, -1.682098, -1.503145e-06, , -0.0005432494, 1, 6
402.6666, -1.672, -1.501275e-06, , -0.0005442502, 1, 6
403.3333, -1.661902, -1.498625e-06, , -0.0005452493, 1, 6
404, -1.652119, -1.496599e-06, , -0.000546247, 1, 6
404.6666, -1.641863, -1.494572e-06, , -0.0005472434, 1, 6
405.3333, -1.631923, -1.492702e-06, , -0.0005482385, 1, 6
406, -1.621825, -1.49052e-06, , -0.0005492322, 1, 6
406.6666, -1.612042, -1.488338e-06, , -0.0005502244, 1, 6
407.3333, -1.601944, -1.485844e-06, , -0.000551215, 1, 6
408, -1.592004, -1.48335e-06, , -0.0005522039, 1, 6
408.6666, -1.581906, -1.481012e-06, , -0.0005531912, 1, 6
409.3333, -1.572123, -1.47883e-06, , -0.0005541771, 1, 6
410, -1.561868, -1.476492e-06, , -0.0005551614, 1, 6
410.6666, -1.551927, -1.474466e-06, , -0.0005561444, 1, 6
411.3333, -1.541829, -1.47244e-06, , -0.0005571261, 1, 6
412, -1.531731, -1.469946e-06, , -0.000558106, 1, 6
412.6666, -1.521791, -1.467608e-06, , -0.0005590844, 1, 6
413.3333, -1.511851, -1.465893e-06, , -0.0005600617, 1, 6
414, -1.502068, -1.463088e-06, , -0.000561037, 1, 6
414.6666, -1.492128, -1.46075e-06, , -0.0005620109, 1, 6
415.3333, -1.48203, -1.458723e-06, , -0.0005629834, 1, 6
416, -1.472089, -1.456074e-06, , -0.0005639541, 1, 6
416.6666, -1.461045, -1.45358e-06, , -0.0005649232, 1, 6
417.3333, -1.450789, -1.451709e-06, , -0.000565891, 1, 6
418, -1.440848, -1.449839e-06, , -0.0005668575, 1, 6
418.6666, -1.43075, -1.447501e-06, , -0.0005678225, 1, 6
