Bias,Model,Rs,Rp,Cp,Rp1,Cp1,Rp2,Cp2,Rp3,Cp3,tau1,tau2,tau3
375,R_RC_RC,206.19087274355473,,,5625.272192162076,8.935975527961853e-10,3671.9948232878696,4.275636161525138e-10,,,1.8425165929255018e-07,8.815971516787706e-08,
400,R_RC_RC,110.77423888079147,,,3199.520795499426,1.6844444988330343e-09,1432.507144558431,8.408886546498393e-10,,,1.865930572951656e-07,9.314880070232867e-08,
550,R_RC_RC,16.539444462112282,,,96.76557596991879,1.1324562814753985e-07,10.201242256213286,9.714006573838056e-08,,,1.8730197773232546e-06,1.6066427223258813e-06,
525,R_RC_RC,21.98104698705655,,,22.40902727933982,4.229371618873167e-08,164.372775519207,6.256476782885285e-08,,,9.296601628017451e-07,1.3752391013802986e-06,
350,R_RC_RC,1437.9189886160225,,,17504.713887042504,1.9114031247025779e-10,736.7737500189534,2274256.449234436,,,2.748442847909836e-07,3270196533.3366466,
325,R_RC_RC,1642.3077188191824,,,528.6104921378458,1.5989402886370343e-06,35674.51726566041,1.0683977117119265e-10,,,0.0026259519779595728,1.7546378087132483e-07,
300,R_RC_RC,867.9662933763709,,,13560.590898546112,1.2784865611056722e-10,59569.3917410553,1.0362458930881918e-10,,,1.1096832415743934e-07,8.994265068502449e-08,
450,R_RC_RC,48.29587339875919,,,927.7550537734077,7.385679010068011e-09,255.03360109692593,4.232997519098885e-09,,,3.5669781843411776e-07,2.0443631227966147e-07,
500,R_RC_RC,28.46202335222068,,,49.62921512465692,1.9615215798021132e-08,284.9799538385757,3.246652407761464e-08,,,5.582887301021255e-07,9.240629664625027e-07,
425,R_RC_RC,71.51950392416077,,,1726.551567365338,3.454347826616911e-09,594.6788632631973,1.8518412508265194e-09,,,2.470532429411444e-07,1.3244276760541004e-07,
475,R_RC_RC,36.27026717486139,,,111.60300387021702,9.126683377212269e-09,507.8859647305418,1.5801693152641686e-08,,,3.310272445118552e-07,5.731316324614918e-07,
575,R_RC_RC,12.068172651828451,,,4.600479462333139,2.511499494774796e-07,57.05111404015046,1.974464770338156e-07,,,3.0309209517922167e-06,2.382818174339368e-06,
600,R_RC_RC,8.586078409936398,,,33.272278165965766,3.3911223611507126e-07,1.972357892138859,7.787404425472809e-07,,,2.9116442490528677e-06,6.6863265006995245e-06,
