Bias,Model,Rs,Rp,Cp,Rp1,Cp1,Rp2,Cp2,Rp3,Cp3,tau1,tau2,tau3
375,R_RC_RC,592.7218365442131,,,191.96552835473472,3.7773038859025434e-07,8858.797677074159,6.196700838106209e-10,,,0.00022388904964377486,3.672919901277377e-07,
400,R_RC_RC,224.22383020282734,,,3939.5208244093214,1.7913153830031814e-09,572.7028344122293,2.6317027071290255e-09,,,4.01655596278218e-07,5.900904609476197e-07,
550,R_RC_RC,21.34277614253777,,,102.62451055278171,9.400699777863063e-08,7.372894652497454,1.126316280967459e-07,,,2.006370309421359e-06,2.4038716250384153e-06,
525,R_RC_RC,30.524912895456996,,,14.822458497710615,5.06802777656689e-08,178.41641250488695,5.424391829570505e-08,,,1.547011064314609e-06,1.6557908810846827e-06,
350,R_RC_RC,1208.8477708134328,,,18737.135113241853,3.095813759759436e-10,634.0724854444916,8902816.52130459,,,3.7423675623387467e-07,10762149905.740055,
325,R_RC_RC,1827.480636792575,,,373.99176589741035,4.6173729464893665e-06,39650.37645629522,1.439325720869547e-10,,,0.008438159652559197,2.630339884926612e-07,
300,R_RC_RC,6477.96205344852,,,78772.8184590198,8.671517181167236e-11,2063.716291165479,6.573741464212817e-08,,,5.617375924542822e-07,0.0004258444775435174,
450,R_RC_RC,124.74447016539938,,,1119.7444861225204,6.846963596295519e-09,3229.1881851615685,3211.1954564136854,,,8.54120846061662e-07,400578.875807863,
500,R_RC_RC,42.37261441531524,,,30.041097719708777,2.520478816902004e-08,312.5650217138664,3.0408969685767315e-08,,,1.0679927705055855e-06,1.2885075472620284e-06,
425,R_RC_RC,98.5451270956511,,,262.41679667294375,3.766703390664599e-09,2028.7553447524144,3.784108242167676e-09,,,3.711902643646628e-07,3.7290542766811445e-07,
475,R_RC_RC,55.95615331252931,,,561.8920705772437,1.6129571324245968e-08,61.03310778968896,1.2802242379977143e-08,,,9.025487658848838e-07,7.163642373581611e-07,
575,R_RC_RC,14.70016936835633,,,3.579656935841504,2.9119423675553837e-07,58.81624802547405,1.6117950151090373e-07,,,4.280604599395666e-06,2.3693659709175295e-06,
600,R_RC_RC,10.056320958979882,,,33.35491537142777,2.7600359745633546e-07,1.616371986998158,9.309112319407823e-07,,,2.7755807618539927e-06,9.36154213271587e-06,
