Bias,Model,Rs,Rp,Cp,Rp1,Cp1,Rp2,Cp2,Rp3,Cp3,tau1,tau2,tau3
325,R_RC_RC,1872.999244000476,,,16708.88423636202,3.568969539457113e-10,19583.266375794203,7.003572808315908e-11,,,6.6846772492639e-07,1.3117686575277986e-07,
400,R_RC_RC,242.92676588247474,,,1221.5477278745204,5.562609975186223e-10,2133.183312401444,1.6237768421906798e-09,,,1.351306851137582e-07,3.944588567882394e-07,
350,R_RC_RC,762.4118595637165,,,8792.29754010808,1.2657217097065246e-10,7896.65016987063,5.808825472380463e-10,,,9.65001242387518e-08,4.4287174302786724e-07,
500,R_RC_RC,76.02173642786538,,,54.935452742077246,8.557998368387249e-09,102.191421698254,2.992818150584933e-08,,,6.505938963116373e-07,2.275192326202993e-06,
600,R_RC_RC,25.680470923153955,,,1.900703853267141,1.6758273323875266e-06,5.462763766679768,1.3348703832825998e-07,,,4.303603508160454e-05,3.428010006406818e-06,
450,R_RC_RC,126.31946085026675,,,236.57047602732365,2.279752739390802e-09,450.31856859366906,7.549295552542417e-09,,,2.879771369117648e-07,9.536229439964747e-07,
300,R_RC_RC,3224.691137404552,,,44608.66126630339,4.408238728771473e-11,34544.24554140938,2.534483176990227e-10,,,1.4215208360232878e-07,8.172925438741318e-07,
525,R_RC_RC,58.195203934480446,,,28.935945355065062,1.6310107140212004e-08,48.504802214920424,5.881779320254932e-08,,,9.491700112178632e-07,3.4229134703984556e-06,
425,R_RC_RC,173.0050284809175,,,520.1733203143195,1.1618235155274758e-09,980.9917566239842,3.5035222521851686e-09,,,2.0100131039363064e-07,6.061269670228233e-07,
575,R_RC_RC,33.620356787841665,,,9.56813132990523,6.262769386635975e-08,8.237548847113164,3.311510302873395e-07,,,2.1055654125867377e-06,1.1133415788921715e-05,
550,R_RC_RC,44.14739849290022,,,16.184236400841986,3.096108515324858e-08,21.87319855133779,1.2350763096109012e-07,,,1.3668513640330819e-06,5.4525406009533066e-06,
375,R_RC_RC,417.39488398214615,,,4499.16767074544,8.042650995911348e-10,2982.0799606571213,2.6330614492042986e-10,,,3.356961379347309e-07,1.0990263781084898e-07,
475,R_RC_RC,97.53630139340842,,,212.96332160959463,1.5247302291653582e-08,111.0950832502681,4.428153584783723e-09,,,1.4871654717551306e-06,4.3190572266176715e-07,
