Experiment:, BIAS_SCAN
Start date:, 15 January 2024
Start time:, 13:14:27 +00:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
368, 0.5503683, 0.0005355082, , 0.01934496, , , , , , , , , , 1, 1
369, 0.5503683, 0.0005313739, , 0.01987633, 1000000, -0.001069542, -1.249349e-05, -6.958482e-05, 1.256864e-07, 15.36996, 0.2073051, 15.37135, 0.7727405, 1, 3
370, 0.5502105, 0.0005312185, , 0.02040755, 794328.2, -0.001046496, 0.001696406, -7.386458e-05, 0.00010203, 15.78103, -1.167919, 15.82419, -4.232617, 1, 3
370, 0.5502105, 0.0005312185, , 0.02040755, 630957.3, 0.002461737, 0.00291529, 0.0001219579, 0.0001976074, 16.25133, -2.427833, 16.43168, -8.496742, 1, 3
370, 0.5502105, 0.0005312185, , 0.02040755, 501187.2, 0.00678887, -0.0005758822, 0.0003930757, 5.035257e-05, 16.80767, -3.618111, 17.19269, -12.14842, 1, 3
371, 0.5502105, 0.0005312185, , 0.02093877, 398107.1, 0.003367995, -0.004646684, 0.000248133, -0.0001983034, 17.4159, -4.808109, 18.06742, -15.43354, 1, 3
371, 0.5502105, 0.0005312185, , 0.02093877, 316227.7, -9.931994e-05, 0.004899763, -8.591922e-05, 0.0002418604, 18.11806, -6.025665, 19.09379, -18.39598, 1, 3
371, 0.5502105, 0.0005312185, , 0.02093877, 251188.6, 0.0003491229, -0.004698144, 9.954968e-05, -0.000210177, 18.89999, -7.29083, 20.25749, -21.09454, 1, 3
372, 0.5503683, 0.0005288874, , 0.02146766, 199526.2, 0.002318779, 0.003702596, 2.931966e-05, 0.0002003839, 19.74788, -8.682229, 21.5722, -23.73288, 1, 3
372, 0.5503683, 0.0005288874, , 0.02146766, 158489.3, -0.003579251, 0.002143125, -0.000180107, 1.443261e-05, 20.69356, -10.24093, 23.08896, -26.33011, 1, 3
372, 0.5503683, 0.0005288874, , 0.02146766, 125892.5, 0.001094272, -0.004015013, 0.0001167579, -0.0001198805, 21.75019, -12.05562, 24.86782, -28.99857, 1, 3
373, 0.5487905, 0.0004749607, , 0.02194262, 99999.97, 0.001736697, 0.003712389, -1.767185e-05, 0.0001504557, 23.0012, -14.24453, 27.05479, -31.76973, 1, 3
373, 0.5487905, 0.0004749607, , 0.02194262, 79432.8, -0.002978437, -0.002772111, -2.972e-05, -0.0001330076, 24.61632, -16.89257, 29.85502, -34.45925, 1, 3
373, 0.5487905, 0.0004749607, , 0.02194262, 63095.71, 0.003443119, 0.002157208, 4.390839e-05, 0.0001132751, 26.79955, -20.00788, 33.44445, -36.7441, 1, 3
373, 0.5487905, 0.0004749607, , 0.02194262, 50118.7, -0.003963514, -0.0008255556, -6.848303e-05, -8.165274e-05, 29.8353, -23.51792, 37.98996, -38.24723, 1, 3
374, 0.5503683, 0.000529509, , 0.02247213, 39810.7, 0.002611993, -0.003078056, 9.101932e-05, -1.776362e-05, 34.00199, -27.18167, 43.53135, -38.63933, 1, 3
374, 0.5503683, 0.000529509, , 0.02247213, 31622.76, 0.0007289478, 0.003972771, -3.717448e-05, 7.18731e-05, 39.47, -30.55697, 49.91602, -37.7464, 1, 3
374, 0.5503683, 0.000529509, , 0.02247213, 25118.85, -6.398082e-05, -0.004030721, 4.037999e-05, -5.835303e-05, 46.19516, -33.06325, 56.80819, -35.59243, 1, 3
375, 0.5502105, 0.0005299752, , 0.0230021, 19952.61, 0.002435992, 0.003202841, 5.325719e-06, 6.294397e-05, 53.77355, -34.15115, 63.70161, -32.4193, 1, 3
375, 0.5502105, 0.0005299752, , 0.0230021, 15848.92, 0.001409097, -0.003771495, 4.345439e-05, -3.76694e-05, 61.4711, -33.50444, 70.00888, -28.59232, 1, 3
375, 0.5502105, 0.0005299752, , 0.0230021, 12589.25, 0.002623222, 0.003046324, 1.48927e-05, 5.123145e-05, 68.55351, -31.27522, 75.35067, -24.52324, 1, 3
376, 0.5505261, 0.0005240697, , 0.02352617, 9999.994, 0.0003811068, 0.003995957, -1.315827e-05, 4.87085e-05, 74.48854, -27.94681, 79.55857, -20.56522, 1, 3
376, 0.5505261, 0.0005240697, , 0.02352617, 7943.277, 0.003961245, -0.0006687601, 4.82065e-05, 6.229374e-06, 79.05956, -24.08911, 82.64805, -16.94575, 1, 3
376, 0.5505261, 0.0005240697, , 0.02352617, 6309.569, -0.003577489, 0.001815806, -4.606046e-05, 1.072671e-05, 82.38223, -20.23679, 84.83135, -13.80117, 1, 3
377, 0.5503683, 0.0005299752, , 0.02405615, 5011.869, 0.004005698, -0.0001093507, 4.577567e-05, 7.727534e-06, 84.6904, -16.68569, 86.31846, -11.14566, 1, 3
377, 0.5503683, 0.0005299752, , 0.02405615, 3981.069, -0.00321989, -0.002392177, -3.217876e-05, -3.282136e-05, 86.20501, -13.58627, 87.26907, -8.956382, 1, 3
377, 0.5503683, 0.0005299752, , 0.02405615, 3162.275, 0.0003728491, 0.003989689, -1.447042e-06, 4.556531e-05, 87.21197, -10.95238, 87.897, -7.157927, 1, 3
