Experiment:, BIAS_SCAN
Start date:, 15 January 2024
Start time:, 13:14:27 +00:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
159, 0.3496688, 3.777444e-05, , 0.0003232592, , , , , , , , , , 1, 1
160, 0.3510889, 4.767272e-06, , 0.0003280265, , , , , , , , , , 1, 4
161, 0.3499844, 4.938564e-06, , 0.000332965, 1000000, 0.002058625, 0.00238529, -1.919116e-06, 3.404237e-06, 273.0092, -758.6313, 806.2602, -70.20768, 1, 4
161, 0.3499844, 4.938564e-06, , 0.000332965, 794328.2, 0.00303836, -0.0002145253, 1.295096e-06, 2.806702e-06, 348.8132, -921.5845, 985.3876, -69.2687, 1, 4
161, 0.3499844, 4.938564e-06, , 0.000332965, 630957.3, -0.0001115406, 0.002913564, -2.285136e-06, 8.203177e-07, 448.6918, -1113.936, 1200.907, -68.06049, 1, 4
162, 0.3496688, 5.218861e-06, , 0.0003381839, 501187.2, 0.002588363, -0.002807234, 2.471599e-06, 8.564707e-07, 583.5839, -1338.023, 1459.752, -66.43539, 1, 4
162, 0.3496688, 5.218861e-06, , 0.0003381839, 398107.1, 0.001893544, 0.003246848, -1.196083e-06, 1.767869e-06, 762.7708, -1587.155, 1760.932, -64.33153, 1, 4
162, 0.3496688, 5.218861e-06, , 0.0003381839, 316227.7, -0.003560769, -0.001096157, -3.431621e-07, -1.732742e-06, 1000.361, -1856.874, 2109.195, -61.68716, 1, 4
163, 0.3498266, 5.141001e-06, , 0.0003433249, 251188.6, -0.003255661, 0.002286722, -1.46096e-06, -6.349073e-07, 1302.274, -2131.164, 2497.554, -58.57247, 1, 4
163, 0.3498266, 5.141001e-06, , 0.0003433249, 199526.2, 0.00396233, 8.237466e-05, 7.534812e-07, 1.128233e-06, 1672.501, -2395.012, 2921.188, -55.07238, 1, 4
163, 0.3498266, 5.141001e-06, , 0.0003433249, 158489.3, -8.232086e-05, 0.003944985, -9.301136e-07, 7.105711e-07, 2101.98, -2635.569, 3371.134, -51.42613, 1, 4
163, 0.3498266, 5.141001e-06, , 0.0003433249, 125892.5, -0.003648325, 0.001706035, -9.671788e-07, -4.04571e-07, 2582.42, -2844.156, 3841.63, -47.76137, 1, 4
164, 0.3491955, 5.743975e-06, , 0.0003490688, 99999.97, 0.001414919, 0.003764628, -3.692082e-07, 8.514934e-07, 3115.039, -3012.374, 4333.343, -44.0401, 1, 5
164, 0.3491955, 5.743975e-06, , 0.0003490688, 79432.8, -0.0006087486, -0.00397444, 4.359934e-07, -7.06548e-07, 3688.845, -3137.877, 4842.918, -40.3858, 1, 5
165, 0.3498266, 5.159366e-06, , 0.0003542282, 63095.71, 0.0040311, 4.838151e-05, 5.979135e-07, 4.547631e-07, 4310.133, -3197.298, 5366.559, -36.56838, 1, 5
165, 0.3498266, 5.159366e-06, , 0.0003542282, 50118.7, -0.004022081, -0.0002220679, -5.560378e-07, -3.998541e-07, 4957.185, -3165.402, 5881.62, -32.56019, 1, 5
165, 0.3498266, 5.159366e-06, , 0.0003542282, 39810.7, 0.004016334, 0.0002517822, 5.366945e-07, 3.354828e-07, 5591.789, -3026.24, 6358.162, -28.42197, 1, 5
166, 0.3498266, 5.154689e-06, , 0.0003593829, 31622.76, 0.0006324045, 0.003981217, -1.570435e-07, 5.746524e-07, 6166.736, -2785.772, 6766.769, -24.31068, 1, 5
166, 0.3498266, 5.154689e-06, , 0.0003593829, 25118.85, -3.629366e-05, 0.004026595, -2.026442e-07, 5.298708e-07, 6652.41, -2475.657, 7098.129, -20.41247, 1, 5
166, 0.3498266, 5.154689e-06, , 0.0003593829, 19952.61, -0.002435284, 0.003200334, -4.434643e-07, 3.20406e-07, 7033.822, -2134.683, 7350.614, -16.88244, 1, 5
167, 0.3491955, 5.092331e-06, , 0.0003644752, 15848.92, 0.00397508, 0.0006348881, 4.924466e-07, 2.077537e-07, 7314.207, -1796.47, 7531.595, -13.79947, 1, 5
167, 0.3491955, 5.092331e-06, , 0.0003644752, 12589.25, 0.001792079, -0.00359855, 3.207385e-07, -4.155673e-07, 7512.551, -1485.884, 7658.085, -11.18796, 1, 5
167, 0.3491955, 5.092331e-06, , 0.0003644752, 9999.994, 0.0001063876, 0.004013759, -6.793474e-08, 5.14289e-07, 7643.78, -1216.565, 7739.987, -9.043201, 1, 5
168, 0.3488799, 5.067388e-06, , 0.0003695426, 7943.277, -0.003069902, 0.00259363, -4.321268e-07, 2.800933e-07, 7741.912, -983.9059, 7804.183, -7.242793, 1, 5
168, 0.3488799, 5.067388e-06, , 0.0003695426, 6309.569, 0.001728116, -0.003622615, 2.659012e-07, -4.374002e-07, 7801.016, -791.4575, 7841.062, -5.79316, 1, 5
168, 0.3488799, 5.067388e-06, , 0.0003695426, 5011.869, 0.001563966, 0.003691384, 1.602772e-07, 4.836738e-07, 7842.316, -634.769, 7867.964, -4.627519, 1, 5
169, 0.3498266, 5.146894e-06, , 0.0003746895, 3981.069, -0.003928783, -0.0008169107, -4.905658e-07, -1.355775e-07, 7867.944, -509.2198, 7884.406, -3.703065, 1, 5
169, 0.3498266, 5.146894e-06, , 0.0003746895, 3162.275, 0.002576444, -0.003071645, 3.458991e-07, -3.717911e-07, 7884.445, -405.5463, 7894.868, -2.944485, 1, 5
169, 0.3498266, 5.146894e-06, , 0.0003746895, 2511.885, 0.001025487, 0.003872799, 1.095987e-07, 4.94761e-07, 7899.142, -322.8869, 7905.738, -2.34073, 1, 5
170, 0.3495111, 5.103244e-06, , 0.0003797928, 1995.261, -0.003897659, -0.0009521733, -4.884547e-07, -1.363656e-07, 7907.479, -258.2331, 7911.694, -1.870433, 1, 5
170, 0.3495111, 5.103244e-06, , 0.0003797928, 1584.892, -0.002170413, 0.003371201, -2.852297e-07, 4.185835e-07, 7912.889, -206.8363, 7915.591, -1.497323, 1, 5
