Experiment:, BIAS_SCAN
Start date:, 15 January 2024
Start time:, 13:14:27 +00:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
343, 0.5255964, 0.0003021955, , 0.0113604, , , , , , , , , , 1, 1
344, 0.5254386, 0.0003085186, , 0.01166892, 1000000, -0.001019609, 0.001280399, -5.192828e-05, 5.241924e-05, 22.05307, -2.395484, 22.18279, -6.199367, 1, 3
345, 0.5255964, 0.0003072753, , 0.0119762, 794328.2, -0.003043108, 0.0007615954, -0.0001353576, 8.489257e-06, 22.7454, -4.200014, 23.12992, -10.46201, 1, 3
345, 0.5255964, 0.0003072753, , 0.0119762, 630957.3, 0.004479443, 0.001814538, 0.000160208, 0.0001176305, 23.56973, -5.979599, 24.31641, -14.2355, 1, 3
345, 0.5255964, 0.0003072753, , 0.0119762, 501187.2, 0.005959556, 4.608585e-05, 0.000220283, 7.167532e-05, 24.52561, -7.770889, 25.72727, -17.5807, 1, 3
346, 0.5255964, 0.0003113159, , 0.01228751, 398107.1, 0.002326304, -0.004390014, 0.0001359648, -0.0001202308, 25.62424, -9.628906, 27.37366, -20.59488, 1, 3
346, 0.5255964, 0.0003113159, , 0.01228751, 316227.7, -0.002364613, 0.003757057, -0.0001248904, 8.592493e-05, 26.89832, -11.57672, 29.28379, -23.28647, 1, 3
346, 0.5255964, 0.0003113159, , 0.01228751, 251188.6, 0.002298925, 0.003782248, 1.36468e-05, 0.0001400502, 28.33683, -13.65381, 31.45477, -25.72661, 1, 3
347, 0.5255964, 0.0003116268, , 0.01259914, 199526.2, -0.003921453, 0.001538937, -0.0001234546, -1.42315e-05, 29.9296, -15.91581, 33.89829, -28.00292, 1, 3
347, 0.5255964, 0.0003116268, , 0.01259914, 158489.3, 0.00145817, 0.003818178, -1.806619e-05, 0.0001099575, 31.68983, -18.46791, 36.67845, -30.23239, 1, 3
347, 0.5255964, 0.0003116268, , 0.01259914, 125892.5, -0.004076927, -0.0005288617, -7.905858e-05, -6.619982e-05, 33.60646, -21.45093, 39.869, -32.55, 1, 3
347, 0.5255964, 0.0003116268, , 0.01259914, 99999.97, -3.019927e-07, 0.00406871, -5.330562e-05, 7.620528e-05, 35.85187, -25.07443, 43.75024, -34.96855, 1, 3
348, 0.5241764, 0.0003027685, , 0.01290191, 79432.8, 0.002879138, -0.002848077, 8.257991e-05, -1.068319e-05, 38.67927, -29.48489, 48.63583, -37.31798, 1, 3
348, 0.5241764, 0.0003027685, , 0.01290191, 63095.71, 0.003876312, -0.001174669, 6.827093e-05, 2.815394e-05, 42.46175, -34.7166, 54.84745, -39.26933, 1, 3
