Experiment:, BIAS_SCAN
Start date:, 15 January 2024
Start time:, 13:14:27 +00:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
133, 0.324897, 3.777444e-05, , 0.0002157179, , , , , , , , , , 1, 1
134, 0.3244236, 2.47818e-06, , 0.0002181961, , , , , , , , , , 1, 4
135, 0.3245814, 2.898626e-06, , 0.0002210947, 1000000, 0.002156271, -0.001876474, 1.665767e-06, 1.071814e-06, 402.8517, -1385.702, 1443.073, -73.78978, 1, 4
135, 0.3245814, 2.898626e-06, , 0.0002210947, 794328.2, 0.00283918, -0.0004529275, 7.255072e-07, 1.440467e-06, 541.0427, -1698.511, 1782.601, -72.33127, 1, 4
135, 0.3245814, 2.898626e-06, , 0.0002210947, 630957.3, -0.002822351, 0.0002288446, -5.234623e-07, -1.182534e-06, 721.5841, -2067.279, 2189.595, -70.75845, 1, 4
136, 0.324897, 2.836337e-06, , 0.0002239311, 501187.2, 0.003553976, -0.001243307, 9.117568e-07, 1.068376e-06, 969.238, -2499.37, 2680.722, -68.80406, 1, 4
136, 0.324897, 2.836337e-06, , 0.0002239311, 398107.1, -0.003731311, 4.036643e-05, -4.699965e-07, -1.047229e-06, 1298.913, -2980.079, 3250.853, -66.44928, 1, 4
136, 0.324897, 2.836337e-06, , 0.0002239311, 316227.7, 0.002704915, -0.002540874, 8.898275e-07, 3.296962e-07, 1742.592, -3501.128, 3910.821, -63.53942, 1, 4
137, 0.324897, 2.820765e-06, , 0.0002267518, 251188.6, 0.0015515, 0.003654459, -5.152096e-07, 6.780127e-07, 2314.611, -4047.136, 4662.267, -60.23419, 1, 4
137, 0.324897, 2.820765e-06, , 0.0002267518, 199526.2, 0.001038537, 0.003820233, -4.772523e-07, 5.42721e-07, 3020.541, -4569.746, 5477.796, -56.53583, 1, 4
137, 0.324897, 2.820765e-06, , 0.0002267518, 158489.3, -0.001031814, -0.003806005, 3.774837e-07, -4.933581e-07, 3856.558, -5042.183, 6347.964, -52.58911, 1, 4
137, 0.324897, 2.820765e-06, , 0.0002267518, 125892.5, -0.003246239, 0.002381949, -5.413124e-07, -1.179438e-07, 4809.871, -5448.322, 7267.673, -48.56139, 1, 4
138, 0.3207946, 2.396896e-06, , 0.0002291487, 99999.97, 0.001641884, -0.003669399, 4.560916e-07, -1.793311e-07, 5857.654, -5742.135, 8202.696, -44.42942, 1, 5
138, 0.3207946, 2.396896e-06, , 0.0002291487, 79432.8, 0.004016154, 0.0001493191, 3.233286e-07, 2.958498e-07, 6990.807, -5934.858, 9170.274, -40.32965, 1, 5
139, 0.3247392, 2.817814e-06, , 0.0002319665, 63095.71, -0.003988045, 0.000583536, -3.519657e-07, -1.856943e-07, 8179.322, -5973.28, 10128.25, -36.14029, 1, 5
139, 0.3247392, 2.817814e-06, , 0.0002319665, 50118.7, 0.003863985, 0.001134933, 2.428483e-07, 2.71936e-07, 9381.202, -5831.433, 11045.93, -31.86542, 1, 5
139, 0.3247392, 2.817814e-06, , 0.0002319665, 39810.7, 0.0007907365, 0.003944608, -9.48295e-08, 3.252739e-07, 10523.85, -5499.082, 11873.97, -27.58866, 1, 5
140, 0.3247392, 2.80846e-06, , 0.000234775, 31622.76, -0.004017082, 0.0003308556, -3.035645e-07, -1.031463e-07, 11531.38, -5008.08, 12571.94, -23.47532, 1, 5
140, 0.3247392, 2.80846e-06, , 0.000234775, 25118.85, 0.003427863, -0.002111797, 2.999629e-07, -6.363469e-08, 12364.68, -4417.127, 13129.98, -19.65863, 1, 5
140, 0.3247392, 2.80846e-06, , 0.000234775, 19952.61, -0.001931531, -0.003526866, -6.402402e-08, -2.89603e-07, 13016.58, -3791.938, 13557.66, -16.24169, 1, 5
141, 0.3255281, 2.895762e-06, , 0.0002376708, 15848.92, 0.003741517, 0.001484011, 2.379853e-07, 1.66232e-07, 13493.71, -3189.588, 13865.56, -13.29924, 1, 5
141, 0.3255281, 2.895762e-06, , 0.0002376708, 12589.25, -0.003341294, -0.002234846, -2.033872e-07, -2.003402e-07, 13831.54, -2636.196, 14080.52, -10.79076, 1, 5
141, 0.3255281, 2.895762e-06, , 0.0002376708, 9999.994, 0.00198545, -0.003489583, 1.753816e-07, -2.206709e-07, 14074.26, -2188.394, 14243.38, -8.8381, 1, 5
142, 0.3256859, 2.886408e-06, , 0.0002405572, 7943.277, 0.000904753, 0.003915289, 2.93122e-08, 2.786715e-07, 14233.86, -1749.47, 14340.97, -7.007027, 1, 5
