Experiment:, BIAS_SCAN
Start date:, 15 January 2024
Start time:, 13:14:27 +00:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
497, 0.6751744, 0.007565993, , 0.2830043, , , , , , , , , , 1, 1
498, 0.6751744, 0.007592611, , 0.290597, 1000000, -0.0001934274, 0.0002913983, 4.001853e-05, 7.782518e-05, 1.950505, 3.48838, 3.996657, 60.78854, 1, 2
499, 0.6751744, 0.007615944, , 0.2982129, 794328.2, 0.000290317, 0.0003209414, 0.0001278423, -1.038659e-05, 2.053384, 2.677276, 3.374047, 52.51297, 1, 2
499, 0.6751744, 0.007615944, , 0.2982129, 630957.3, -0.0004500058, -0.0004109351, -0.0002082136, 5.498081e-06, 2.107684, 2.029278, 2.925799, 43.91422, 1, 2
499, 0.6751744, 0.007615944, , 0.2982129, 501187.2, 6.204694e-05, -0.001157562, -0.0002303588, -0.0003761058, 2.164667, 1.490796, 2.628356, 34.555, 1, 2
500, 0.6751744, 0.007615944, , 0.3058288, 398107.1, -0.001505713, 0.000821156, -0.000411573, 0.0005655575, 2.215896, 1.049779, 2.451985, 25.34922, 1, 2
500, 0.6751744, 0.007615944, , 0.3058288, 316227.7, -0.002421558, 0.001007313, -0.0008538449, 0.0007005282, 2.273575, 0.6855932, 2.374696, 16.78061, 1, 2
500, 0.6751744, 0.007615944, , 0.3058288, 251188.6, 0.001325803, -0.003964795, 0.0002870501, -0.001746987, 2.331262, 0.3758549, 2.361366, 9.158633, 1, 2
501, 0.6751744, 0.007626832, , 0.3134557, 199526.2, 0.004650438, 0.002213163, 0.001978805, 0.0008354446, 2.395352, 0.1071245, 2.397747, 2.560664, 1, 2
501, 0.6751744, 0.007626832, , 0.3134557, 158489.3, -0.004720764, 0.002068008, -0.001955371, 0.0007309736, 2.465123, -0.1360708, 2.468875, -3.159429, 1, 2
501, 0.6751744, 0.007626832, , 0.3134557, 125892.5, 0.004236041, 0.002543308, 0.001490062, 0.001213104, 2.545369, -0.3654127, 2.571464, -8.169554, 1, 2
502, 0.6740699, 0.007452612, , 0.3209083, 99999.97, -0.004176064, 0.002036531, -0.001669719, 0.0003964103, 2.641726, -0.5925088, 2.707357, -12.64158, 1, 2
502, 0.6740699, 0.007452612, , 0.3209083, 79432.8, 0.003185719, -0.003101932, 0.001363844, -0.0007140411, 2.767907, -0.8252654, 2.888316, -16.60222, 1, 2
502, 0.6740699, 0.007452612, , 0.3209083, 63095.71, -0.004148246, -0.001217765, -0.001116348, -0.0008186619, 2.936603, -1.06268, 3.122968, -19.89387, 1, 2
502, 0.6740699, 0.007452612, , 0.3209083, 50118.7, 0.003374835, 0.00254492, 0.0006314138, 0.001062853, 3.164083, -1.29556, 3.419049, -22.26705, 1, 2
503, 0.6751744, 0.007640833, , 0.3285491, 39810.7, -0.002581601, 0.003260021, -0.0009719045, 0.0005199622, 3.460329, -1.503009, 3.772653, -23.47792, 1, 2
503, 0.6751744, 0.007640833, , 0.3285491, 31622.76, -0.003471737, 0.002221336, -0.0009774616, 0.0001580725, 3.819413, -1.65489, 4.162521, -23.42631, 1, 2
503, 0.6751744, 0.007640833, , 0.3285491, 25118.85, 0.00156786, 0.003774092, 5.160409e-06, 0.0008962025, 4.221138, -1.725142, 4.560057, -22.2294, 1, 2
504, 0.6753321, 0.007650166, , 0.3361993, 19952.61, 0.001403637, -0.00381174, 0.0005339454, -0.0006274409, 4.627579, -1.700938, 4.930281, -20.18168, 1, 2
504, 0.6753321, 0.007650166, , 0.3361993, 15848.92, -0.003601109, -0.001858961, -0.0005468729, -0.000546101, 4.996733, -1.590423, 5.243738, -17.65589, 1, 2
504, 0.6753321, 0.007650166, , 0.3361993, 12589.25, -0.004037606, -9.492872e-05, -0.0007058544, -0.0002070282, 5.303386, -1.421004, 5.49046, -14.99966, 1, 2
505, 0.6759632, 0.00769061, , 0.3438899, 9999.994, -0.002787922, 0.002907421, -0.0005904278, 0.000394259, 5.539868, -1.225007, 5.673692, -12.46892, 1, 2
505, 0.6759632, 0.00769061, , 0.3438899, 7943.277, -0.002837074, 0.002859725, -0.0005686638, 0.0003984443, 5.709552, -1.028352, 5.801421, -10.21013, 1, 2
505, 0.6759632, 0.00769061, , 0.3438899, 6309.569, 0.0009083087, 0.003916782, 5.696618e-05, 0.0006805031, 5.82662, -0.8470033, 5.887861, -8.27103, 1, 2
506, 0.6751744, 0.007647055, , 0.351537, 5011.869, 0.001239834, -0.003818433, 0.0002815221, -0.000613683, 5.906066, -0.6890439, 5.946125, -6.654452, 1, 2
506, 0.6751744, 0.007647055, , 0.351537, 3981.069, -0.002566114, -0.003091289, -0.0003791456, -0.0005543977, 5.955853, -0.5555191, 5.981705, -5.32872, 1, 2
506, 0.6751744, 0.007647055, , 0.351537, 3162.275, -0.003212554, -0.002405234, -0.000503745, -0.0004392399, 5.987998, -0.4465223, 6.004623, -4.264627, 1, 2
507, 0.6756477, 0.007713944, , 0.3592509, 2511.885, 0.002855098, 0.002815934, 0.0004456977, 0.000494823, 6.011098, -0.3556116, 6.021608, -3.385624, 1, 2
507, 0.6756477, 0.007713944, , 0.3592509, 1995.261, -0.0019611, -0.003503807, -0.0002974675, -0.0005957382, 6.023387, -0.284249, 6.030091, -2.701835, 1, 2
507, 0.6756477, 0.007713944, , 0.3592509, 1584.892, -0.002352406, 0.003251094, -0.0004094548, 0.0005236011, 6.033073, -0.225104, 6.037271, -2.136809, 1, 2
508, 0.6770678, 0.007933275, , 0.3671842, 1258.924, -0.003823211, 0.001206839, -0.0006385151, 0.0001809345, 6.03838, -0.1789907, 6.041032, -1.697874, 1, 2
508, 0.6770678, 0.007933275, , 0.3671842, 999.9991, 0.0007355355, -0.003946576, 0.0001371471, -0.0006500881, 6.040676, -0.1429428, 6.042367, -1.355558, 1, 2
508, 0.6770678, 0.007933275, , 0.3671842, 794.3275, -0.003937239, 0.0007708133, -0.0006536517, 0.0001154475, 6.043214, -0.1118938, 6.04425, -1.060745, 1, 2
509, 0.6751744, 0.007653277, , 0.3748375, 630.9567, -0.003542188, -0.001878656, -0.0005811603, -0.0003194138, 6.045507, -0.09010012, 6.046179, -0.8538529, 1, 2
509, 0.6751744, 0.007653277, , 0.3748375, 501.1867, -0.003018479, 0.002647087, -0.0005043038, 0.0004318933, 6.046194, -0.07094269, 6.04661, -0.6722461, 1, 2
509, 0.6751744, 0.007653277, , 0.3748375, 398.1068, -0.003202272, -0.002417064, -0.0005259163, -0.0004048438, 6.044817, -0.05731515, 6.045089, -0.5432452, 1, 2
510, 0.6753321, 0.007656388, , 0.3824938, 316.2274, -0.003932568, 0.0007737172, -0.0006514379, 0.0001230088, 6.045466, -0.04616166, 6.045643, -0.4374876, 1, 2
510, 0.6753321, 0.007656388, , 0.3824938, 251.1884, -0.0005835715, 0.003971389, -0.0001003762, 0.0006564716, 6.04421, -0.03522384, 6.044313, -0.3338988, 1, 2
510, 0.6753321, 0.007656388, , 0.3824938, 199.526, 0.001084494, -0.003861098, 0.0001820092, -0.0006378056, 6.046549, -0.02513791, 6.046601, -0.2382, 1, 2
511, 0.6753321, 0.007657943, , 0.3901518, 158.4891, 0.001357468, 0.003771181, 0.0002222125, 0.0006246277, 6.045506, -0.02254335, 6.045548, -0.2136517, 1, 2
511, 0.6753321, 0.007657943, , 0.3901518, 125.8924, 0.002491793, -0.003146327, 0.0004136206, -0.0005193177, 6.04529, -0.01668371, 6.045313, -0.1581237, 1, 2
511, 0.6753321, 0.007657943, , 0.3901518, 99.99988, -0.002487244, 0.003146105, -0.0004128632, 0.000519607, 6.043013, -0.01480715, 6.043031, -0.1403912, 1, 2
511, 0.6753321, 0.007657943, , 0.3901518, 79.43272, 0.003977253, 0.0004932508, 0.000657887, 8.267345e-05, 6.044263, -0.009803001, 6.044271, -0.09292615, 1, 2
512, 0.6751744, 0.0076595, , 0.3978113, 63.09565, -0.00211688, 0.003408017, -0.0003510172, 0.0005636626, 6.04187, -0.006954891, 6.041874, -0.06595404, 1, 2
512, 0.6751744, 0.0076595, , 0.3978113, 50.11866, 0.002515816, 0.003124418, 0.0004156813, 0.0005174879, 6.043393, -0.007132999, 6.043397, -0.06762601, 1, 2
512, 0.6751744, 0.0076595, , 0.3978113, 39.81066, 0.001921156, 0.003517852, 0.0003174658, 0.0005820806, 6.045407, -0.003343877, 6.045408, -0.03169184, 1, 2
513, 0.6751744, 0.007650166, , 0.4054614, 31.62273, 0.003180855, -0.002445035, 0.0005265886, -0.0004045241, 6.041878, -0.001803155, 6.041878, -0.01709952, 1, 2
513, 0.6751744, 0.007650166, , 0.4054614, 25.11883, 0.00398365, -0.0004665776, 0.0006591807, -7.70886e-05, 6.043458, -0.001055638, 6.043458, -0.01000811, 1, 2
513, 0.6751744, 0.007650166, , 0.4054614, 19.95259, -0.003997328, -0.0002914461, -0.0006611447, -4.836511e-05, 6.045964, -0.001463591, 6.045964, -0.01387001, 1, 2
514, 0.6751744, 0.007653277, , 0.4131147, 15.84891, 0.002815017, -0.002857656, 0.0004659676, -0.0004727688, 6.042894, -0.001640822, 6.042894, -0.01555748, 1, 2
514, 0.6751744, 0.007653277, , 0.4131147, 12.58923, -0.003637683, 0.001687088, -0.0006018517, 0.0002791453, 6.044083, 0.0001477247, 6.044083, 0.001400378, 1, 2
515, 0.6753321, 0.0076595, , 0.4207742, 9.999984, 0.0003876143, 0.003988684, 6.435091e-05, 0.0006596245, 6.046679, 0.002266508, 6.046679, 0.02147648, 1, 2
515, 0.6753321, 0.0076595, , 0.4207742, 7.943269, -0.003544511, 0.001880423, -0.0005866432, 0.0003112692, 6.041831, 0.0003621212, 6.041831, 0.003434061, 1, 2
515, 0.6753321, 0.0076595, , 0.4207742, 6.309563, 0.001063917, 0.003866175, 0.0001760473, 0.0006395439, 6.045076, 0.0004729435, 6.045076, 0.004482601, 1, 2
516, 0.6751744, 0.007643945, , 0.4284182, 5.011864, -0.003096968, -0.002541399, -0.0005127062, -0.0004204226, 6.042217, 0.002173671, 6.042217, 0.020612, 1, 2
516, 0.6751744, 0.007643945, , 0.4284182, 3.981065, -0.0004188935, -0.003989547, -6.949601e-05, -0.0006605854, 6.039282, 0.001229975, 6.039282, 0.011669, 1, 2
