Experiment:, Experiment 1
Start date:, Wednesday, November 29, 2023
Start time:, 5:24:17 PM +01:00
Time (s), Voltage (V), Current Density (A/cm2)
158, -0.4286729, -1.714072e-06
159, -0.4185748, -1.709396e-06
160, -0.4087922, -1.704719e-06
161, -0.3990097, -1.700042e-06
162, -0.3890694, -1.693806e-06
163, -0.3791291, -1.689129e-06
164, -0.3687154, -1.684452e-06
165, -0.3587751, -1.676658e-06
166, -0.3488348, -1.675099e-06
167, -0.3388945, -1.668863e-06
168, -0.3287964, -1.664186e-06
169, -0.3191717, -1.656391e-06
170, -0.3089158, -1.651714e-06
171, -0.2989755, -1.645478e-06
172, -0.2888774, -1.639243e-06
173, -0.2789371, -1.634566e-06
174, -0.2689968, -1.626771e-06
175, -0.2590565, -1.622094e-06
176, -0.2489584, -1.615858e-06
177, -0.2379624, -1.611181e-06
178, -0.2279184, -1.604946e-06
179, -0.2179218, -1.59871e-06
180, -0.207862, -1.592474e-06
181, -0.1977392, -1.586238e-06
182, -0.1876322, -1.578443e-06
183, -0.1775567, -1.572207e-06
184, -0.16756, -1.565972e-06
185, -0.1574215, -1.559736e-06
186, -0.1474248, -1.550382e-06
187, -0.1374912, -1.542587e-06
188, -0.1275734, -1.533234e-06
189, -0.1175294, -1.520762e-06
190, -0.1073909, -1.505172e-06
191, -0.09739422, -1.486465e-06
192, -0.08750793, -1.464639e-06
193, -0.07749551, -1.452489e-06
194, -0.06748307, -1.410405e-06
195, -0.05756526, -1.352267e-06
196, -0.04742669, -1.269035e-06
197, -0.03743004, -1.150109e-06
198, -0.02752798, -9.803721e-07
199, -0.01731322, -7.295844e-07
200, -0.00745537, -3.732757e-07
