Experiment:, Experiment 1
Start date:, Wednesday, November 29, 2023
Start time:, 5:32:40 PM +01:00
Time (s), Voltage (V), Current Density (A/cm2)
0.666666, -1.000319, -1.988449e-06
1.333332, -0.9902212, -1.968182e-06
1.999998, -0.9804386, -1.961947e-06
2.666664, -0.9701828, -1.95727e-06
3.33333, -0.9604003, -1.955711e-06
3.999996, -0.95046, -1.947916e-06
4.666662, -0.9403619, -1.949475e-06
5.333328, -0.9302638, -1.947916e-06
5.999994, -0.9203235, -1.938562e-06
6.66666, -0.9102255, -1.937003e-06
7.333326, -0.9004429, -1.933885e-06
7.999992, -0.890187, -1.927649e-06
8.666658, -0.8804045, -1.922973e-06
9.333324, -0.8703064, -1.921414e-06
9.99999, -0.8605239, -1.916737e-06
10.66666, -0.8504258, -1.910501e-06
11.33332, -0.8404855, -1.910501e-06
11.99999, -0.829914, -1.904265e-06
12.66665, -0.8196582, -1.899588e-06
13.33332, -0.8097179, -1.89647e-06
13.99999, -0.7999353, -1.893353e-06
14.66665, -0.7896795, -1.887117e-06
15.33332, -0.7797392, -1.885558e-06
15.99998, -0.7696411, -1.879322e-06
16.66665, -0.7598585, -1.874645e-06
17.33332, -0.7497605, -1.873086e-06
17.99998, -0.7398202, -1.868409e-06
18.66665, -0.7295643, -1.862173e-06
19.33331, -0.719624, -1.859055e-06
19.99998, -0.7093681, -1.85282e-06
20.66665, -0.6994278, -1.848143e-06
21.33331, -0.6894875, -1.846584e-06
21.99998, -0.6795472, -1.841907e-06
22.66664, -0.6694491, -1.835671e-06
23.33331, -0.6598244, -1.832553e-06
23.99998, -0.6495685, -1.829435e-06
24.66664, -0.639786, -1.82164e-06
25.33331, -0.6296879, -1.820081e-06
25.99997, -0.6197476, -1.815405e-06
26.66664, -0.6098073, -1.80761e-06
27.33331, -0.6000248, -1.804492e-06
27.99997, -0.5899267, -1.801374e-06
28.66664, -0.5798286, -1.795138e-06
29.3333, -0.5697305, -1.793579e-06
29.99997, -0.559948, -1.788902e-06
30.66664, -0.5498499, -1.781108e-06
31.3333, -0.5399096, -1.779549e-06
31.99997, -0.5296537, -1.773313e-06
32.66663, -0.5200289, -1.767077e-06
33.3333, -0.5096154, -1.765518e-06
33.99997, -0.4988861, -1.759282e-06
34.66663, -0.4886302, -1.751488e-06
35.3333, -0.4785321, -1.74837e-06
35.99996, -0.4687496, -1.743693e-06
36.66663, -0.4589671, -1.737457e-06
37.3333, -0.448869, -1.734339e-06
37.99996, -0.4387709, -1.726544e-06
38.66663, -0.428515, -1.721867e-06
39.33329, -0.4187325, -1.720308e-06
39.99996, -0.4086345, -1.714072e-06
40.66663, -0.3988519, -1.706278e-06
41.33329, -0.3887538, -1.704719e-06
41.99996, -0.3786557, -1.698483e-06
42.66662, -0.3687154, -1.692247e-06
43.33329, -0.3589329, -1.689129e-06
43.99996, -0.3489926, -1.681334e-06
44.66662, -0.3390523, -1.675099e-06
45.33329, -0.329112, -1.67354e-06
45.99995, -0.3193295, -1.664186e-06
46.66662, -0.3089158, -1.65795e-06
47.33329, -0.2989755, -1.656391e-06
47.99995, -0.289193, -1.650155e-06
48.66662, -0.2790949, -1.645478e-06
49.33328, -0.2689968, -1.642361e-06
49.99995, -0.2592143, -1.634566e-06
50.66662, -0.249274, -1.62833e-06
51.33328, -0.2378993, -1.625212e-06
51.99995, -0.227745, -1.615858e-06
52.66661, -0.2177325, -1.611181e-06
53.33328, -0.2077044, -1.604946e-06
53.99995, -0.197755, -1.594033e-06
54.66661, -0.1878372, -1.587797e-06
55.33328, -0.1776198, -1.58312e-06
55.99994, -0.1676546, -1.573766e-06
56.66661, -0.157658, -1.565972e-06
57.33328, -0.1475194, -1.559736e-06
57.99994, -0.1375228, -1.548823e-06
58.66661, -0.1274946, -1.539469e-06
59.33327, -0.1174348, -1.531675e-06
59.99994, -0.1073436, -1.512967e-06
60.66661, -0.09739422, -1.497378e-06
61.33327, -0.08730295, -1.475552e-06
61.99994, -0.07722746, -1.439696e-06
62.6666, -0.06718349, -1.397604e-06
63.33327, -0.05732875, -1.359749e-06
63.99994, -0.04736362, -1.274023e-06
64.6666, -0.03735119, -1.155565e-06
65.33327, -0.0273703, -9.842687e-07
65.99993, -0.01730852, -7.320782e-07
66.6666, -0.007286352, -3.678204e-07
67.33327, 0.002716062, 1.635252e-07
67.99993, 0.01270948, 9.458144e-07
