Experiment:, 12-12-2023
Start date:, Tuesday, December 12, 2023
Start time:, 1:19:50 PM +01:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), V Range (), I Range ()
121.9999, -1.000004, -1.869273e-06, , -0.0002048094, 1, 6
122.6665, -0.9899057, -1.866e-06, , -0.0002060534, 1, 6
123.3332, -0.9799653, -1.862415e-06, , -0.000207295, 1, 6
123.9999, -0.9698672, -1.858986e-06, , -0.0002085343, 1, 6
124.6665, -0.9600847, -1.855557e-06, , -0.0002097713, 1, 6
125.3332, -0.9501444, -1.851505e-06, , -0.0002110057, 1, 6
125.9999, -0.9402041, -1.847764e-06, , -0.0002122375, 1, 6
126.6665, -0.930106, -1.844023e-06, , -0.0002134669, 1, 6
127.3332, -0.9203235, -1.84075e-06, , -0.000214694, 1, 6
127.9999, -0.9100676, -1.836853e-06, , -0.0002159186, 1, 6
128.6665, -0.9004429, -1.833112e-06, , -0.0002171407, 1, 6
129.3332, -0.8903448, -1.829527e-06, , -0.0002183604, 1, 6
129.9999, -0.8804045, -1.825943e-06, , -0.0002195777, 1, 6
130.6665, -0.8704642, -1.822358e-06, , -0.0002207926, 1, 6
131.3332, -0.8603661, -1.818305e-06, , -0.0002220048, 1, 6
131.9999, -0.8501102, -1.815188e-06, , -0.0002232149, 1, 6
132.6665, -0.8404855, -1.810824e-06, , -0.0002244221, 1, 6
133.3332, -0.8297563, -1.807395e-06, , -0.000225627, 1, 6
133.9999, -0.8191848, -1.803186e-06, , -0.0002268292, 1, 6
134.6665, -0.8092446, -1.799913e-06, , -0.0002280291, 1, 6
135.3332, -0.7993042, -1.796016e-06, , -0.0002292264, 1, 6
135.9999, -0.7890484, -1.791964e-06, , -0.0002304211, 1, 6
136.6665, -0.7792659, -1.788067e-06, , -0.0002316131, 1, 6
137.3332, -0.7691678, -1.784171e-06, , -0.0002328026, 1, 6
137.9999, -0.7592275, -1.780274e-06, , -0.0002339894, 1, 6
138.6665, -0.7494449, -1.776221e-06, , -0.0002351736, 1, 6
139.3332, -0.7393468, -1.772325e-06, , -0.0002363551, 1, 6
139.9999, -0.7294065, -1.768272e-06, , -0.000237534, 1, 6
140.6665, -0.7194662, -1.764376e-06, , -0.0002387102, 1, 6
141.3332, -0.7093681, -1.760479e-06, , -0.0002398839, 1, 6
141.9999, -0.6994278, -1.756271e-06, , -0.0002410547, 1, 6
142.6665, -0.6894875, -1.752218e-06, , -0.0002422228, 1, 6
143.3332, -0.6793894, -1.74801e-06, , -0.0002433882, 1, 6
143.9999, -0.6692914, -1.743801e-06, , -0.0002445507, 1, 6
144.6665, -0.6593511, -1.739749e-06, , -0.0002457105, 1, 6
145.3332, -0.6494108, -1.735696e-06, , -0.0002468677, 1, 6
145.9999, -0.6394704, -1.731644e-06, , -0.0002480221, 1, 6
146.6665, -0.6293724, -1.727591e-06, , -0.0002491738, 1, 6
147.3332, -0.6195898, -1.723071e-06, , -0.0002503225, 1, 6
147.9999, -0.6094917, -1.718707e-06, , -0.0002514684, 1, 6
148.6665, -0.5995514, -1.714187e-06, , -0.0002526111, 1, 6
149.3332, -0.5894534, -1.709823e-06, , -0.000253751, 1, 6
149.9999, -0.579513, -1.705303e-06, , -0.0002548879, 1, 6
150.6665, -0.5692572, -1.701094e-06, , -0.0002560219, 1, 6
151.3332, -0.5596324, -1.69673e-06, , -0.0002571531, 1, 6
151.9998, -0.5493766, -1.692522e-06, , -0.0002582814, 1, 6
152.6665, -0.5394362, -1.688002e-06, , -0.0002594068, 1, 6
153.3332, -0.5293382, -1.683482e-06, , -0.0002605291, 1, 6
153.9998, -0.5193979, -1.678961e-06, , -0.0002616484, 1, 6
154.6665, -0.5089842, -1.674753e-06, , -0.0002627649, 1, 6
155.3332, -0.4984127, -1.670077e-06, , -0.0002638783, 1, 6
155.9998, -0.4884724, -1.665245e-06, , -0.0002649885, 1, 6
156.6665, -0.4785321, -1.660725e-06, , -0.0002660956, 1, 6
157.3332, -0.468434, -1.656049e-06, , -0.0002671996, 1, 6
157.9998, -0.4586515, -1.651373e-06, , -0.0002683006, 1, 6
158.6665, -0.4485534, -1.646853e-06, , -0.0002693984, 1, 6
159.3332, -0.4384553, -1.642021e-06, , -0.0002704931, 1, 6
159.9998, -0.428515, -1.637189e-06, , -0.0002715846, 1, 6
160.6665, -0.4187325, -1.632513e-06, , -0.0002726729, 1, 6
161.3332, -0.4086345, -1.627682e-06, , -0.0002737581, 1, 6
161.9998, -0.3985364, -1.622694e-06, , -0.0002748398, 1, 6
162.6665, -0.3884383, -1.61755e-06, , -0.0002759182, 1, 6
163.3332, -0.3784979, -1.612874e-06, , -0.0002769935, 1, 6
163.9998, -0.3683999, -1.607887e-06, , -0.0002780654, 1, 6
164.6665, -0.3586173, -1.602899e-06, , -0.000279134, 1, 6
165.3332, -0.348677, -1.597755e-06, , -0.0002801992, 1, 6
165.9998, -0.3387367, -1.592612e-06, , -0.0002812609, 1, 6
166.6665, -0.3286386, -1.587624e-06, , -0.0002823193, 1, 6
167.3332, -0.3186983, -1.582325e-06, , -0.0002833742, 1, 6
167.9998, -0.3086002, -1.577025e-06, , -0.0002844255, 1, 6
