Experiment:, CHARACTERISTIC
Start date:, 15 January 2024
Start time:, 12:18:49 +00:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), V Range (), I Range ()
0.4, -0.3999564, -2.793255e-10, , -1.117302e-10, 1, 8
0.8, -0.3982208, -2.777612e-10, , -2.228347e-10, 1, 8
1.2, -0.3964852, -2.777612e-10, , -3.339392e-10, 1, 8
1.6, -0.3942762, -2.777612e-10, , -4.450436e-10, 1, 8
2, -0.392225, -2.777612e-10, , -5.561481e-10, 1, 8
2.4, -0.3901739, -2.777612e-10, , -6.672526e-10, 1, 8
2.8, -0.3882805, -2.777612e-10, , -7.78357e-10, 1, 8
3.2, -0.3862293, -2.76197e-10, , -8.888359e-10, 1, 8
3.6, -0.3840203, -2.777612e-10, , -9.999404e-10, 1, 8
4, -0.382127, -2.777612e-10, , -1.111045e-09, 1, 8
4.4, -0.3802336, -2.746328e-10, , -1.220898e-09, 1, 8
4.8, -0.3781824, -2.76197e-10, , -1.331377e-09, 1, 8
5.2, -0.376289, -2.746328e-10, , -1.44123e-09, 1, 8
5.6, -0.3745534, -2.746328e-10, , -1.551083e-09, 1, 8
6, -0.3725022, -2.746328e-10, , -1.660936e-09, 1, 8
6.4, -0.370451, -2.76197e-10, , -1.771415e-09, 1, 8
6.8, -0.3685576, -2.730686e-10, , -1.880642e-09, 1, 8
7.2, -0.3663487, -2.746328e-10, , -1.990496e-09, 1, 8
7.6, -0.3642975, -2.746328e-10, , -2.100349e-09, 1, 8
8, -0.3622463, -2.715043e-10, , -2.20895e-09, 1, 8
8.4, -0.3601952, -2.730686e-10, , -2.318178e-09, 1, 8
8.8, -0.3583018, -2.730686e-10, , -2.427405e-09, 1, 8
9.2, -0.3564084, -2.715043e-10, , -2.536007e-09, 1, 8
9.6, -0.3543572, -2.715043e-10, , -2.644609e-09, 1, 8
10, -0.352306, -2.715043e-10, , -2.75321e-09, 1, 8
10.4, -0.3502549, -2.715043e-10, , -2.861812e-09, 1, 8
10.8, -0.3480459, -2.699401e-10, , -2.969788e-09, 1, 8
11.2, -0.3459947, -2.715043e-10, , -3.07839e-09, 1, 8
11.6, -0.3441013, -2.715043e-10, , -3.186992e-09, 1, 8
12, -0.3420502, -2.699401e-10, , -3.294968e-09, 1, 8
12.4, -0.3403146, -2.715043e-10, , -3.403569e-09, 1, 8
12.8, -0.3382634, -2.683759e-10, , -3.51092e-09, 1, 8
13.2, -0.33637, -2.683759e-10, , -3.61827e-09, 1, 8
13.6, -0.3343188, -2.683759e-10, , -3.72562e-09, 1, 8
14, -0.3322676, -2.668117e-10, , -3.832345e-09, 1, 8
14.4, -0.3302165, -2.683759e-10, , -3.939696e-09, 1, 8
14.8, -0.3283231, -2.652474e-10, , -4.045794e-09, 1, 8
15.2, -0.3261141, -2.652474e-10, , -4.151893e-09, 1, 8
15.6, -0.3240629, -2.683759e-10, , -4.259244e-09, 1, 8
16, -0.3223273, -2.652474e-10, , -4.365343e-09, 1, 8
16.4, -0.3202762, -2.668117e-10, , -4.472068e-09, 1, 8
16.8, -0.3183828, -2.668117e-10, , -4.578792e-09, 1, 8
17.2, -0.316016, -2.652474e-10, , -4.684891e-09, 1, 8
