Experiment:, BIAS_SCAN
Start date:, 15 January 2024
Start time:, 12:57:49 +00:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
398, 0.5754557, 0.0005821702, , 0.02108508, , , , , , , , , , 1, 1
399, 0.5754557, 0.000612497, , 0.02169758, 1000000, -0.0001922159, -0.0007094089, -2.451206e-05, -6.278976e-05, 10.84106, 1.170906, 10.90411, 6.164424, 1, 3
400, 0.5756135, 0.0006205782, , 0.02231815, 794328.2, 0.001292603, 0.0002493107, 0.00011588, 2.304615e-05, 11.14186, -0.06443068, 11.14205, -0.3313239, 1, 3
400, 0.5756135, 0.0006205782, , 0.02231815, 630957.3, 0.002426679, 0.0008752927, 0.0002015707, 9.619816e-05, 11.49345, -1.142805, 11.55013, -5.678311, 1, 3
400, 0.5756135, 0.0006205782, , 0.02231815, 501187.2, 0.005955386, -0.002923543, 0.0005272274, -0.0001511553, 11.90676, -2.131476, 12.09604, -10.14924, 1, 3
401, 0.5756135, 0.0006199566, , 0.02293811, 398107.1, -0.00596665, -0.003366406, -0.0003902562, -0.0003697221, 12.36411, -3.087402, 12.74375, -14.02043, 1, 3
401, 0.5756135, 0.0006199566, , 0.02293811, 316227.7, -0.004205532, 0.00367028, -0.0003784203, 0.0001661796, 12.88734, -4.0396, 13.50562, -17.40386, 1, 3
401, 0.5756135, 0.0006199566, , 0.02293811, 251188.6, 0.004886509, -0.001429641, 0.0003532852, 2.517459e-05, 13.47484, -5.006902, 14.37499, -20.38376, 1, 3
402, 0.5756135, 0.0006196458, , 0.02355776, 199526.2, 0.0004964381, 0.004530299, -8.607661e-05, 0.0002841609, 14.11808, -6.02361, 15.3494, -23.10597, 1, 3
402, 0.5756135, 0.0006196458, , 0.02355776, 158489.3, -0.003284551, -0.002726939, -0.0001082596, -0.0002358368, 14.83085, -7.119204, 16.45105, -25.64225, 1, 3
402, 0.5756135, 0.0006196458, , 0.02355776, 125892.5, 0.0013818, -0.003983061, 0.0001749884, -0.0001616073, 15.6067, -8.348579, 17.69937, -28.14392, 1, 3
402, 0.5756135, 0.0006196458, , 0.02355776, 99999.97, 0.00284169, 0.002997083, 4.751601e-05, 0.0002104193, 16.45397, -9.789328, 19.14586, -30.75063, 1, 3
403, 0.5770335, 0.0007006134, , 0.02425837, 79432.8, -0.004088222, -0.0001379835, -0.0001594166, -0.0001132946, 17.44771, -11.53423, 20.91557, -33.46767, 1, 3
403, 0.5770335, 0.0007006134, , 0.02425837, 63095.71, -0.003921123, 0.001119792, -0.0001653226, -6.081233e-05, 18.6967, -13.65078, 23.14974, -36.13381, 1, 3
403, 0.5770335, 0.0007006134, , 0.02425837, 50118.7, -0.004056191, 0.0001462013, -0.0001255963, -9.251042e-05, 20.38078, -16.17591, 26.01992, -38.4385, 1, 3
404, 0.5754557, 0.0006193349, , 0.0248777, 39810.7, -0.002945715, -0.002771273, -1.60041e-05, -0.000135376, 22.72572, -19.07288, 29.66873, -40.00553, 1, 3
404, 0.5754557, 0.0006193349, , 0.0248777, 31622.76, -0.0003006619, -0.004033139, 7.001086e-05, -9.557333e-05, 25.96299, -22.16469, 34.13723, -40.48749, 1, 3
404, 0.5754557, 0.0006193349, , 0.0248777, 25118.85, 0.002971455, -0.002729663, 0.0001024029, -5.148047e-06, 30.28082, -25.13381, 39.35272, -39.69349, 1, 3
405, 0.5754557, 0.0006199566, , 0.02549766, 19952.61, 0.001346668, -0.003794522, 7.503972e-05, -4.843972e-05, 35.70843, -27.51631, 45.08037, -37.61724, 1, 3
405, 0.5754557, 0.0006199566, , 0.02549766, 15848.92, -0.001741073, -0.003632055, 1.217833e-05, -7.81981e-05, 41.96164, -28.79988, 50.89413, -34.4633, 1, 3
405, 0.5754557, 0.0006199566, , 0.02549766, 12589.25, 0.003904743, -0.0009603908, 6.832746e-05, 2.057352e-05, 48.51667, -28.66416, 56.35159, -30.57505, 1, 3
406, 0.5770335, 0.0006507274, , 0.02614839, 9999.994, -0.003861876, -0.001097662, -4.866679e-05, -4.417859e-05, 54.7285, -27.12662, 61.08242, -26.36568, 1, 3
406, 0.5770335, 0.0006507274, , 0.02614839, 7943.277, 0.003759125, 0.001417191, 4.539991e-05, 4.212751e-05, 60.05577, -24.51127, 64.86523, -22.20242, 1, 3
406, 0.5770335, 0.0006507274, , 0.02614839, 6309.569, 0.003773116, -0.001363665, 5.924722e-05, -1.553953e-06, 64.24377, -21.33152, 67.69265, -18.36824, 1, 3
407, 0.5757713, 0.0006208891, , 0.02676928, 5011.869, 0.004007015, 3.927557e-05, 5.536766e-05, 1.541994e-05, 67.34513, -18.04631, 69.72113, -15.00098, 1, 3
407, 0.5757713, 0.0006208891, , 0.02676928, 3981.069, 0.003129293, -0.002509491, 5.04577e-05, -2.527404e-05, 69.49414, -14.92524, 71.07882, -12.12127, 1, 3
407, 0.5757713, 0.0006208891, , 0.02676928, 3162.275, 0.001936805, -0.003507697, 3.476772e-05, -4.347233e-05, 70.94281, -12.18509, 71.98166, -9.745992, 1, 3
408, 0.5756135, 0.0006187133, , 0.02738799, 2511.885, -0.003945806, 0.0006797416, -5.511098e-05, 1.886806e-06, 71.93541, -9.871234, 72.60953, -7.813532, 1, 3
408, 0.5756135, 0.0006187133, , 0.02738799, 1995.261, 0.00396609, 0.000590627, 5.313342e-05, 1.392724e-05, 72.57158, -7.906414, 73.001, -6.217648, 1, 3
408, 0.5756135, 0.0006187133, , 0.02738799, 1584.892, -0.0008958555, -0.003905927, -7.567241e-06, -5.417608e-05, 72.9827, -6.341872, 73.25773, -4.966273, 1, 3
409, 0.5770335, 0.0006392272, , 0.02802722, 1258.924, 0.002001564, -0.003468089, 3.044701e-05, -4.52382e-05, 73.25731, -5.05993, 73.43185, -3.951181, 1, 3
409, 0.5770335, 0.0006392272, , 0.02802722, 999.9991, 0.001659694, 0.003650209, 1.980766e-05, 5.079728e-05, 73.43318, -4.038694, 73.54416, -3.147994, 1, 3
409, 0.5770335, 0.0006392272, , 0.02802722, 794.3275, 0.002833759, -0.002831984, 4.014545e-05, -3.676318e-05, 73.52732, -3.210486, 73.59738, -2.500166, 1, 3
410, 0.5756135, 0.0006187133, , 0.02864593, 630.9567, 0.003270959, 0.002307266, 4.330374e-05, 3.284737e-05, 73.60201, -2.548662, 73.64612, -1.983224, 1, 3
410, 0.5756135, 0.0006187133, , 0.02864593, 501.1867, 0.001402682, -0.00375521, 2.044363e-05, -5.041722e-05, 73.65375, -2.044291, 73.68211, -1.589861, 1, 3
410, 0.5756135, 0.0006187133, , 0.02864593, 398.1068, -0.003579284, -0.001801805, -4.801344e-05, -2.550758e-05, 73.68701, -1.6198, 73.70481, -1.259283, 1, 3
411, 0.5756135, 0.0006185579, , 0.02926449, 316.2274, 0.002224419, -0.003327284, 3.094098e-05, -4.460377e-05, 73.71796, -1.266432, 73.72883, -0.9842116, 1, 3
411, 0.5756135, 0.0006185579, , 0.02926449, 251.1884, -0.002333896, -0.003259294, -3.10312e-05, -4.464122e-05, 73.72772, -1.031252, 73.73493, -0.8013614, 1, 3
411, 0.5756135, 0.0006185579, , 0.02926449, 199.526, 0.003822445, -0.001195805, 5.201169e-05, -1.566562e-05, 73.72834, -0.7845359, 73.73251, -0.6096557, 1, 3
412, 0.575298, 0.0006180917, , 0.02988258, 158.4891, -0.003817793, -0.001200252, -5.163428e-05, -1.67252e-05, 73.73248, -0.6379296, 73.73524, -0.4957077, 1, 3
