Experiment:, 1N4001_LISSAJOUS
Start date:, Monday, January 15, 2024
Start time:, 10:28:41 AM +01:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
0.001, 0.3997819, 6.666407e-06, , 6.666407e-09, , , , , , , , , , 0, 0
0.002, 0.4005907, 8.443696e-05, , 9.110337e-08, , , , , , , , , , 0, 0
0.003, 0.3993776, 0.0001155455, , 2.066488e-07, , , , , , , , , , 0, 0
0.004, 0.3997819, 3.777444e-05, , 2.444233e-07, , , , , , , , , , 0, 0
0.005, 0.3985689, 5.332893e-05, , 2.977522e-07, , , , , , , , , , 0, 0
0.006, 0.3989733, 0.0001310995, , 4.288517e-07, , , , , , , , , , 0, 0
0.007, 0.400995, 2.222043e-05, , 4.510721e-07, , , , , , , , , , 0, 0
0.008, 0.4001863, 2.222043e-05, , 4.732926e-07, , , , , , , , , , 0, 0
0.009, 0.398897, 3.777444e-05, , 5.11067e-07, , , , , , , , , , 0, 0
0.01, 0.4000015, 0.000146654, , 6.57721e-07, , , , , , , , , , 0, 0
0.011, 0.3992126, -0.0001177671, , 5.399539e-07, , , , , , , , , , 0, 0
0.012, 0.4000015, 0.000162208, , 7.021619e-07, , , , , , , , , , 0, 0
0.013, 0.3992126, -8.888077e-06, , 6.932738e-07, , , , , , , , , , 0, 0
0.014, 0.3995281, 6.888295e-05, , 7.621567e-07, , , , , , , , , , 0, 0
0.015, 0.3993703, 6.666407e-06, , 7.688231e-07, , , , , , , , , , 0, 0
0.016, 0.4000015, -7.110462e-05, , 6.977185e-07, , , , , , , , , , 0, 0
0.017, 0.4007904, 5.332893e-05, , 7.510474e-07, , , , , , , , , , 0, 0
0.018, 0.3998437, 6.888295e-05, , 8.199304e-07, , , , , , , , , , 0, 0
0.019, 0.4003171, -0.0001333212, , 6.866092e-07, , , , , , , , , , 0, 0
0.02, 0.4001593, 0.000146654, , 8.332632e-07, , , , , , , , , , 0, 0
0.021, 0.3993703, 6.666407e-06, , 8.399296e-07, , , , , , , , , , 0, 0
0.022, 0.4000015, -3.999611e-05, , 7.999335e-07, , , , , , , , , , 0, 0
0.023, 0.3996859, 2.222043e-05, , 8.221539e-07, , , , , , , , , , 0, 0
0.024, 0.4009482, 2.222043e-05, , 8.443743e-07, , , , , , , , , , 0, 0
0.025, 0.4000015, 6.666407e-06, , 8.510407e-07, , , , , , , , , , 0, 0
0.026, 0.4004748, -2.44421e-05, , 8.265986e-07, , , , , , , , , , 0, 0
0.027, 0.4006326, 6.666407e-06, , 8.332651e-07, , , , , , , , , , 0, 0
0.028, 0.3998437, 6.666407e-06, , 8.399314e-07, , , , , , , , , , 0, 0
0.029, 0.4007904, 5.332893e-05, , 8.932604e-07, , , , , , , , , , 0, 0
0.03, 0.3998437, 6.888295e-05, , 9.621433e-07, , , , , , , , , , 0, 0
