Experiment:, 1N4001_LISSAJOUS
Start date:, Monday, January 15, 2024
Start time:, 10:32:40 AM +01:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
0.0002, -0.00860678, -8.888077e-06, , -8.888077e-10, , , , , , , , , , 0, 0
0.0003, -0.009415466, -3.999611e-05, , -4.888419e-09, , , , , , , , , , 0, 0
0.0004, 0.1074403, -2.44421e-05, , -7.332629e-09, , , , , , , , , , 0, 0
0.0005, 0.4001863, -8.888077e-06, , -8.221436e-09, , , , , , , , , , 0, 0
0.0006, 0.4001863, 6.666407e-06, , -7.554796e-09, , , , , , , , , , 0, 0
0.0007, 0.4005907, -8.888077e-06, , -8.443603e-09, , , , , , , , , , 0, 0
0.0008, 0.4001863, -2.44421e-05, , -1.088781e-08, , , , , , , , , , 0, 0
0.0009, 0.4001863, -2.44421e-05, , -1.333202e-08, , , , , , , , , , 0, 0
0.001, 0.400995, -5.55506e-05, , -1.888708e-08, , , , , , , , , , 0, 0
0.0011, 0.3997819, -2.44421e-05, , -2.133129e-08, , , , , , , , , , 0, 0
0.0012, 0.4001863, -3.999611e-05, , -2.53309e-08, , , , , , , , , , 0, 0
0.0013, 0.4001863, -7.110462e-05, , -3.244136e-08, , , , , , , , , , 0, 0
0.0014, 0.4005907, -2.44421e-05, , -3.488557e-08, , , , , , , , , , 0, 0
0.0015, 0.4005907, -0.0001022131, , -4.510689e-08, , , , , , , , , , 0, 0
0.0016, 0.4013993, -5.55506e-05, , -5.066195e-08, , , , , , , , , , 0, 0
0.0017, 0.4005907, -2.44421e-05, , -5.310616e-08, , , , , , , , , , 0, 0
0.0018, 0.4005907, -8.888077e-06, , -5.399496e-08, , , , , , , , , , 0, 0
0.0019, 0.3997819, -5.55506e-05, , -5.955002e-08, , , , , , , , , , 0, 0
0.002, 0.400995, -2.44421e-05, , -6.199423e-08, , , , , , , , , , 0, 0
0.0021, 0.400995, -7.110462e-05, , -6.910469e-08, , , , , , , , , , 0, 0
0.0022, 0.4013993, 2.222043e-05, , -6.688265e-08, , , , , , , , , , 0, 0
0.0023, 0.4005907, -8.888077e-06, , -6.777146e-08, , , , , , , , , , 0, 0
0.0024, 0.4005907, -8.888077e-06, , -6.866026e-08, , , , , , , , , , 0, 0
0.0025, 0.400995, -3.999611e-05, , -7.265988e-08, , , , , , , , , , 0, 0
0.0026, 0.4005907, 6.666407e-06, , -7.199323e-08, , , , , , , , , , 0, 0
0.0027, 0.4001863, 2.222043e-05, , -6.97712e-08, , , , , , , , , , 0, 0
0.0028, 0.400995, 6.666407e-06, , -6.910455e-08, , , , , , , , , , 0, 0
0.0029, 0.400995, -3.999611e-05, , -7.310416e-08, , , , , , , , , , 0, 0
0.003, 0.4001863, -2.44421e-05, , -7.554837e-08, , , , , , , , , , 0, 0
0.0031, 0.3993776, -3.999611e-05, , -7.954799e-08, , , , , , , , , , 0, 0
0.0032, 0.4001863, 3.777444e-05, , -7.577054e-08, , , , , , , , , , 0, 0
0.0033, 0.4005907, -8.888077e-06, , -7.665935e-08, , , , , , , , , , 0, 0
0.0034, 0.4001863, -5.55506e-05, , -8.221441e-08, , , , , , , , , , 0, 0
0.0035, 0.4001863, -3.999611e-05, , -8.621402e-08, , , , , , , , , , 0, 0
0.0036, 0.4005907, -3.999611e-05, , -9.021363e-08, , , , , , , , , , 0, 0
0.0037, 0.4005907, -3.999611e-05, , -9.421324e-08, , , , , , , , , , 0, 0
0.0038, 0.400995, 2.222043e-05, , -9.19912e-08, , , , , , , , , , 0, 0
0.0039, 0.400995, 6.666407e-06, , -9.132456e-08, , , , , , , , , , 0, 0
0.004, 0.400995, -8.888077e-06, , -9.221337e-08, , , , , , , , , , 0, 0
0.0041, 0.3997819, -8.888077e-06, , -9.310217e-08, , , , , , , , , , 0, 0
0.0042, 0.4001863, -5.55506e-05, , -9.865723e-08, , , , , , , , , , 0, 0
0.0043, 0.4005907, -5.55506e-05, , -1.042123e-07, , , , , , , , , , 0, 0
0.0044, 0.4001863, -8.888077e-06, , -1.051011e-07, , , , , , , , , , 0, 0
0.0045, 0.400995, -3.999611e-05, , -1.091007e-07, , , , , , , , , , 0, 0
0.0046, 0.4005907, -3.999611e-05, , -1.131003e-07, , , , , , , , , , 0, 0
0.0047, 0.4005907, -3.999611e-05, , -1.170999e-07, , , , , , , , , , 0, 0
0.0048, 0.4005907, -5.55506e-05, , -1.22655e-07, , , , , , , , , , 0, 0
0.0049, 0.4001863, -8.888077e-06, , -1.235438e-07, , , , , , , , , , 0, 0
0.005, 0.4001863, -5.55506e-05, , -1.290989e-07, , , , , , , , , , 0, 0
0.0051, 0.4001863, -8.888077e-06, , -1.299877e-07, , , , , , , , , , 0, 0
0.0052, 0.4005907, -2.44421e-05, , -1.324319e-07, , , , , , , , , , 0, 0
0.0053, 0.4001863, -7.110462e-05, , -1.395423e-07, , , , , , , , , , 0, 0
0.0054, 0.4001863, -8.888077e-06, , -1.404312e-07, , , , , , , , , , 0, 0
0.0055, 0.4005907, -2.44421e-05, , -1.428754e-07, , , , , , , , , , 0, 0
0.0056, 0.4005907, -3.999611e-05, , -1.46875e-07, , , , , , , , , , 0, 0
0.0057, 0.400995, 5.332893e-05, , -1.415421e-07, , , , , , , , , , 0, 0
0.0058, 0.4001863, 6.666407e-06, , -1.408754e-07, , , , , , , , , , 0, 0
0.0059, 0.400995, 2.222043e-05, , -1.386534e-07, , , , , , , , , , 0, 0
