Experiment:, BIAS_SCAN
Start date:, 15 January 2024
Start time:, 10:43:19 +00:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
333, 0.5006667, 0.000193316, , 0.00475601, , , , , , , , , , 1, 1
334, 0.500509, 0.0001660093, , 0.004922019, 1000000, -0.003076244, -0.0009031839, -3.240984e-05, -2.015197e-05, 80.94853, -22.46506, 84.008, -15.51054, 1, 3
335, 0.5009823, 0.0001661647, , 0.005088184, 794328.2, -0.002622684, 0.002201968, -3.559215e-05, 1.469918e-05, 84.77772, -26.85438, 88.92929, -17.57624, 1, 3
335, 0.5009823, 0.0001661647, , 0.005088184, 630957.3, -0.001919701, 0.002634759, -2.832923e-05, 1.956486e-05, 89.36957, -31.28415, 94.68694, -19.29279, 1, 3
335, 0.5009823, 0.0001661647, , 0.005088184, 501187.2, 0.002476564, -0.003315364, 3.439167e-05, -2.207989e-05, 94.81844, -35.52555, 101.2551, -20.53943, 1, 3
336, 0.5006667, 0.0001677187, , 0.005255903, 398107.1, 0.0007416105, -0.003890433, 1.947053e-05, -3.088847e-05, 100.967, -39.63517, 108.4678, -21.43278, 1, 3
336, 0.5006667, 0.0001677187, , 0.005255903, 316227.7, 0.0008302273, -0.003764882, 1.867755e-05, -2.739441e-05, 107.9258, -43.27753, 116.2795, -21.85045, 1, 3
336, 0.5006667, 0.0001677187, , 0.005255903, 251188.6, -0.002655939, -0.003079792, -1.058331e-05, -3.096027e-05, 115.3243, -46.36346, 124.2951, -21.90145, 1, 3
337, 0.500509, 0.0001677187, , 0.005423622, 199526.2, 0.0007432808, 0.003946818, -5.830922e-06, 2.97429e-05, 123.0687, -49.11708, 132.5081, -21.75709, 1, 3
337, 0.500509, 0.0001677187, , 0.005423622, 158489.3, -0.002299673, 0.003245002, -2.362981e-05, 1.544132e-05, 131.0839, -51.66756, 140.899, -21.5122, 1, 3
337, 0.500509, 0.0001677187, , 0.005423622, 125892.5, -0.004046211, 1.344263e-05, -2.522829e-05, -9.717692e-06, 139.4833, -54.26046, 149.6656, -21.25655, 1, 3
338, 0.5001934, 0.0001540721, , 0.005577694, 99999.97, -0.00126027, -0.003839366, 1.236341e-06, -2.536697e-05, 148.5786, -56.92299, 159.1095, -20.96269, 1, 4
338, 0.5001934, 0.0001540721, , 0.005577694, 79432.8, -0.001097404, 0.003876373, -1.401039e-05, 1.916925e-05, 159.0812, -59.02088, 169.677, -20.35541, 1, 4
339, 0.5006667, 0.0001671215, , 0.005744815, 63095.71, -0.003867201, 0.001153424, -2.228592e-05, -1.057489e-06, 170.6864, -59.85495, 180.877, -19.32434, 1, 4
339, 0.5006667, 0.0001671215, , 0.005744815, 50118.7, 0.001691917, -0.003658124, 1.421554e-05, -1.543965e-05, 182.8335, -58.75525, 192.0424, -17.81529, 1, 4
340, 0.5006667, 0.0001670125, , 0.005911828, 39810.7, 0.001736723, 0.003633757, 3.328416e-06, 1.962085e-05, 194.6136, -55.50052, 202.3729, -15.91725, 1, 4
340, 0.5006667, 0.0001670125, , 0.005911828, 31622.76, 0.003476386, 0.002046869, 1.368349e-05, 1.334598e-05, 204.9704, -50.32795, 211.0587, -13.79536, 1, 4
340, 0.5006667, 0.0001670125, , 0.005911828, 25118.85, -0.0006037321, 0.003983189, -6.408926e-06, 1.734634e-05, 213.361, -44.02556, 217.8558, -11.65896, 1, 4
341, 0.5006667, 0.0001671682, , 0.006078996, 19952.61, 0.002826394, 0.002864052, 1.034194e-05, 1.479297e-05, 219.7697, -37.41978, 222.9326, -9.662978, 1, 4
341, 0.5006667, 0.0001671682, , 0.006078996, 15848.92, -0.003856594, 0.001160486, -1.757588e-05, 2.736695e-06, 224.269, -31.10686, 226.416, -7.896734, 1, 4
341, 0.5006667, 0.0001671682, , 0.006078996, 12589.25, -0.003997367, 0.0004447362, -1.758165e-05, -1.327349e-08, 227.3409, -25.4671, 228.7629, -6.391721, 1, 4
342, 0.4994045, 0.0001628236, , 0.006241819, 9999.994, -0.0009338309, 0.003907021, -5.556617e-06, 1.652792e-05, 229.4501, -20.63996, 230.3766, -5.14015, 1, 4
