Experiment:, BIAS_SCAN
Start date:, 15 January 2024
Start time:, 10:43:19 +00:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
252, 0.4246156, 2.222043e-05, , 0.0005280121, , , , , , , , , , 1, 1
253, 0.4216177, 4.06297e-05, , 0.0005686418, , , , , , , , , , 1, 4
254, 0.4244578, 1.928042e-05, , 0.0005879222, 1000000, 0.003293048, 0.0006955912, 6.7317e-06, 9.800352e-06, 205.0389, -195.1754, 283.0802, -43.5882, 1, 4
254, 0.4244578, 1.928042e-05, , 0.0005879222, 794328.2, 0.001561563, 0.003493877, -4.187513e-06, 1.103135e-05, 229.8646, -228.8138, 324.3355, -44.86873, 1, 4
254, 0.4244578, 1.928042e-05, , 0.0005879222, 630957.3, 0.0006692907, 0.003329776, -5.121078e-06, 7.515427e-06, 261.1287, -266.991, 373.46, -45.63597, 1, 4
255, 0.4246156, 1.954515e-05, , 0.0006074674, 501187.2, -0.002644462, -0.003197846, 1.037645e-06, -9.593871e-06, 299.9999, -308.0878, 430.021, -45.76202, 1, 4
255, 0.4246156, 1.954515e-05, , 0.0006074674, 398107.1, 0.003658242, 0.00144425, 3.129806e-06, 7.314364e-06, 347.7866, -351.3275, 494.3547, -45.2902, 1, 4
255, 0.4246156, 1.954515e-05, , 0.0006074674, 316227.7, 0.003517341, -0.001513901, 6.318092e-06, 2.410862e-06, 406.1417, -394.5894, 566.2613, -44.17344, 1, 4
256, 0.4246156, 1.949843e-05, , 0.0006269658, 251188.6, 0.0009025389, 0.003936884, -3.101159e-06, 5.462635e-06, 474.1003, -434.369, 642.9989, -42.49581, 1, 4
256, 0.4246156, 1.949843e-05, , 0.0006269658, 199526.2, 0.001223988, -0.003799923, 4.705476e-06, -2.901461e-06, 549.2402, -468.8843, 722.1615, -40.48726, 1, 4
256, 0.4246156, 1.949843e-05, , 0.0006269658, 158489.3, 0.002627626, -0.002961624, 4.855371e-06, -8.558205e-07, 629.1472, -499.0735, 803.0571, -38.42335, 1, 4
257, 0.4239845, 1.784779e-05, , 0.0006448136, 125892.5, 0.001449799, -0.003765299, 3.836818e-06, -2.445636e-06, 713.5034, -526.5638, 886.7675, -36.42724, 1, 4
257, 0.4239845, 1.784779e-05, , 0.0006448136, 99999.97, 0.001344143, 0.003790004, -1.063894e-06, 3.984335e-06, 803.8328, -551.9957, 975.1135, -34.47756, 1, 4
257, 0.4239845, 1.784779e-05, , 0.0006448136, 79432.8, 0.0002193962, -0.004014005, 2.183073e-06, -3.055788e-06, 903.6604, -573.7833, 1070.434, -32.41369, 1, 4
258, 0.4247734, 1.959186e-05, , 0.0006644055, 63095.71, 0.00173741, 0.003637515, -2.705777e-07, 3.432112e-06, 1013.638, -586.134, 1170.904, -30.03855, 1, 4
258, 0.4247734, 1.959186e-05, , 0.0006644055, 50118.7, -0.003525601, 0.00194793, -3.164787e-06, 9.236783e-08, 1131.009, -582.4915, 1272.194, -27.24934, 1, 4
258, 0.4247734, 1.959186e-05, , 0.0006644055, 39810.7, -0.001145356, 0.003857138, -1.91649e-06, 2.23199e-06, 1248.355, -558.7411, 1367.692, -24.11242, 1, 4
259, 0.4246156, 1.956072e-05, , 0.0006839662, 31622.76, -0.003969625, -0.0007017964, -2.387095e-06, -1.424746e-06, 1355.537, -515.0606, 1450.092, -20.80519, 1, 4
259, 0.4246156, 1.956072e-05, , 0.0006839662, 25118.85, -0.003718309, 0.001544537, -2.645084e-06, 2.313962e-07, 1445.762, -457.4499, 1516.406, -17.55776, 1, 4
260, 0.4247734, 1.960743e-05, , 0.0007035736, 19952.61, 0.002710517, -0.002970935, 2.150964e-06, -1.400573e-06, 1516.523, -393.7458, 1566.805, -14.55474, 1, 4
260, 0.4247734, 1.960743e-05, , 0.0007035736, 15848.92, -0.003091554, 0.002578536, -2.219701e-06, 1.176328e-06, 1568.026, -330.6857, 1602.516, -11.90878, 1, 4
260, 0.4247734, 1.960743e-05, , 0.0007035736, 12589.25, 0.0007787651, 0.003944165, 6.567529e-08, 2.470458e-06, 1603.778, -272.5958, 1626.78, -9.646428, 1, 4
261, 0.4266667, 2.080648e-05, , 0.0007243801, 9999.994, -1.035749e-05, 0.004015114, -3.36561e-07, 2.41951e-06, 1628.558, -222.2563, 1643.654, -7.771394, 1, 4
261, 0.4266667, 2.080648e-05, , 0.0007243801, 7943.277, 0.002830643, -0.002851974, 1.887994e-06, -1.528371e-06, 1644.473, -179.3489, 1654.224, -6.224172, 1, 4
261, 0.4266667, 2.080648e-05, , 0.0007243801, 6309.569, 0.002869861, 0.002805966, 1.574371e-06, 1.832479e-06, 1655.083, -144.1466, 1661.349, -4.977516, 1, 4
262, 0.4247734, 1.945171e-05, , 0.0007438318, 5011.869, 0.001585672, -0.003682599, 1.102108e-06, -2.138118e-06, 1662.824, -115.4937, 1666.83, -3.973175, 1, 4
262, 0.4247734, 1.945171e-05, , 0.0007438318, 3981.069, 0.001508281, -0.003718484, 1.025015e-06, -2.175065e-06, 1666.323, -91.82509, 1668.852, -3.154174, 1, 4
262, 0.4247734, 1.945171e-05, , 0.0007438318, 3162.275, 0.002488767, -0.003143228, 1.570967e-06, -1.814006e-06, 1669.1, -73.50299, 1670.718, -2.521533, 1, 4
263, 0.4250889, 1.968529e-05, , 0.0007635171, 2511.885, 0.003950334, 0.0006658424, 2.346327e-06, 4.80232e-07, 1671.678, -58.36822, 1672.697, -1.999724, 1, 4
263, 0.4250889, 1.968529e-05, , 0.0007635171, 1995.261, -0.002714597, 0.002954666, -1.670248e-06, 1.719682e-06, 1673.06, -46.42073, 1673.704, -1.589322, 1, 4
263, 0.4250889, 1.968529e-05, , 0.0007635171, 1584.892, 0.00373844, 0.001449763, 2.213664e-06, 9.152142e-07, 1673.513, -36.97942, 1673.922, -1.265852, 1, 4
264, 0.4257201, 2.019917e-05, , 0.0007837163, 1258.924, -0.001239895, 0.003809226, -7.791514e-07, 2.261998e-06, 1674.18, -28.5346, 1674.424, -0.9764501, 1, 4
264, 0.4257201, 2.019917e-05, , 0.0007837163, 999.9991, 0.003185061, -0.002438698, 1.923221e-06, -1.429841e-06, 1673.716, -23.68432, 1673.883, -0.8107235, 1, 4
264, 0.4257201, 2.019917e-05, , 0.0007837163, 794.3275, 0.001780814, 0.003589755, 1.040698e-06, 2.156273e-06, 1673.558, -18.1542, 1673.657, -0.6215011, 1, 4
265, 0.4247734, 1.952957e-05, , 0.0008032459, 630.9567, -0.002576157, 0.003065983, -1.552976e-06, 1.816786e-06, 1675.455, -14.1924, 1675.515, -0.485328, 1, 4
265, 0.4247734, 1.952957e-05, , 0.0008032459, 501.1867, -0.002875977, 0.0027967, -1.729334e-06, 1.658107e-06, 1674.372, -11.80337, 1674.413, -0.4038959, 1, 4
265, 0.4247734, 1.952957e-05, , 0.0008032459, 398.1068, -0.003534426, -0.001892061, -2.104458e-06, -1.141388e-06, 1674.538, -9.140582, 1674.563, -0.31275, 1, 4
266, 0.4247734, 1.9514e-05, , 0.0008227599, 316.2274, 0.001351692, -0.003769586, 8.167882e-07, -2.247524e-06, 1674.612, -7.168437, 1674.628, -0.245262, 1, 4
266, 0.4247734, 1.9514e-05, , 0.0008227599, 251.1884, 0.0004220653, 0.003987747, 2.442705e-07, 2.382957e-06, 1674.011, -5.52001, 1674.02, -0.1889308, 1, 4
266, 0.4247734, 1.9514e-05, , 0.0008227599, 199.526, -0.00183917, 0.003560703, -1.10401e-06, 2.122828e-06, 1674.904, -4.6827, 1674.91, -0.1601873, 1, 4
267, 0.4247734, 1.952957e-05, , 0.0008422894, 158.4891, -0.001606931, -0.003668599, -9.55241e-07, -2.192241e-06, 1674.847, -3.214892, 1674.85, -0.1099799, 1, 4
267, 0.4247734, 1.952957e-05, , 0.0008422894, 125.8924, -0.003987764, -0.0004285008, -2.379687e-06, -2.605591e-07, 1675.382, -3.376506, 1675.385, -0.1154718, 1, 4
267, 0.4247734, 1.952957e-05, , 0.0008422894, 99.99988, -0.0007667419, 0.003933711, -4.616213e-07, 2.348747e-06, 1674.298, -2.618362, 1674.3, -0.0896023, 1, 4
268, 0.4246156, 1.957629e-05, , 0.0008618657, 79.43272, -0.002066266, 0.003429388, -1.236246e-06, 2.046935e-06, 1674.315, -1.758119, 1674.316, -0.06016356, 1, 4
268, 0.4246156, 1.957629e-05, , 0.0008618657, 63.09565, -0.001519026, 0.003710258, -9.107731e-07, 2.216614e-06, 1672.974, -2.108403, 1672.975, -0.07220826, 1, 4
268, 0.4246156, 1.957629e-05, , 0.0008618657, 50.11866, -0.002838419, 0.002829298, -1.695967e-06, 1.688637e-06, 1674.556, -0.9315684, 1674.556, -0.03187408, 1, 4
269, 0.4247734, 1.959186e-05, , 0.0008814576, 39.81066, -0.003826551, 0.001177268, -2.285914e-06, 7.019119e-07, 1674.251, -0.9150085, 1674.251, -0.03131318, 1, 4
269, 0.4247734, 1.959186e-05, , 0.0008814576, 31.62273, 0.003968298, -0.0005613237, 2.37149e-06, -3.348089e-07, 1673.398, -0.444941, 1673.398, -0.01523442, 1, 4
270, 0.4247734, 1.957629e-05, , 0.0009010339, 25.11883, -0.001165943, -0.003834295, -6.939966e-07, -2.290662e-06, 1674.399, -1.709651, 1674.4, -0.05850205, 1, 4
270, 0.4247734, 1.957629e-05, , 0.0009010339, 19.95259, 0.0009423079, -0.00389092, 5.635752e-07, -2.325957e-06, 1672.781, -0.1847507, 1672.781, -0.006328046, 1, 4
270, 0.4247734, 1.957629e-05, , 0.0009010339, 15.84891, -0.003653754, -0.001650156, -2.181539e-06, -9.864477e-07, 1674.508, -0.7602611, 1674.508, -0.02601347, 1, 4
271, 0.4249311, 1.959186e-05, , 0.0009206258, 12.58923, -0.003751906, 0.001407013, -2.240402e-06, 8.389085e-07, 1674.97, -0.8331757, 1674.97, -0.02850048, 1, 4
